layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.424,1.0000,0.00003,0.00749,0.9231
0,0,0.20,47.814,0.9999,0.00011,0.01429,0.9231
0,0,0.30,40.007,0.9995,0.00070,0.03510,0.8974
0,0,0.40,36.408,0.9988,0.00156,0.05313,0.8205
0,0,0.50,33.021,0.9975,0.00330,0.07847,0.8205
0,1,0.10,51.142,0.9999,0.00094,0.02116,0.9744
0,1,0.20,43.218,0.9995,nan,0.05270,0.9231
0,1,0.30,38.388,0.9984,nan,0.09190,0.9231
0,1,0.40,35.093,0.9966,nan,0.13430,0.8535
0,1,0.50,31.184,0.9916,nan,0.21063,0.7628
0,2,0.10,61.458,1.0000,nan,0.00825,0.9744
0,2,0.20,52.260,0.9999,nan,0.02379,0.9231
0,2,0.30,45.687,0.9998,nan,0.05070,0.8718
0,2,0.40,41.231,0.9993,nan,0.08469,0.7582
0,2,0.50,35.850,0.9976,nan,0.15734,0.6703
0,3,0.10,61.870,1.0000,nan,0.00741,1.0000
0,3,0.20,54.761,1.0000,nan,0.01681,1.0000
0,3,0.30,48.607,0.9999,nan,0.03413,1.0000
0,3,0.40,44.518,0.9997,nan,0.05465,0.9231
0,3,0.50,38.923,0.9988,nan,0.10408,0.8205
0,4,0.10,62.360,1.0000,0.00003,0.00801,1.0000
0,4,0.20,53.006,0.9999,0.00077,0.02350,1.0000
0,4,0.30,46.044,0.9993,0.00183,0.05239,0.8462
0,4,0.40,42.956,0.9986,0.00351,0.07475,0.8205
0,4,0.50,39.939,0.9972,0.00718,0.10580,0.6996
0,5,0.10,60.869,1.0000,0.00022,0.01044,0.9744
0,5,0.20,49.628,0.9998,0.00191,0.03810,0.9744
0,5,0.30,44.945,0.9994,nan,0.06532,0.9487
0,5,0.40,39.834,0.9979,nan,0.11764,0.8022
0,5,0.50,36.111,0.9951,nan,0.18060,0.7949
0,6,0.10,53.514,1.0000,0.00014,0.00912,0.9744
0,6,0.20,45.246,0.9998,0.00067,0.02363,0.9231
0,6,0.30,38.635,0.9992,nan,0.05059,0.9487
0,6,0.40,35.099,0.9982,nan,0.07601,0.8718
0,6,0.50,31.520,0.9960,nan,0.11476,0.7949
0,7,0.10,55.839,1.0000,0.00054,0.01269,0.9487
0,7,0.20,46.296,0.9998,nan,0.03807,0.9744
0,7,0.30,40.918,0.9991,nan,0.07070,0.9231
0,7,0.40,36.383,0.9976,nan,0.11918,0.8974
0,7,0.50,33.609,0.9954,nan,0.16402,0.7949
0,8,0.10,55.197,1.0000,0.00017,0.00997,0.9487
0,8,0.20,47.061,0.9998,nan,0.02543,0.9231
0,8,0.30,41.996,0.9994,nan,0.04557,0.8718
0,8,0.40,37.786,0.9985,nan,0.07399,0.8718
0,8,0.50,33.653,0.9961,nan,0.11907,0.8278
0,9,0.10,57.534,1.0000,0.00013,0.01039,0.9744
0,9,0.20,49.655,0.9999,0.00063,0.02573,0.8974
0,9,0.30,42.759,0.9994,0.00251,0.05691,0.8718
0,9,0.40,39.384,0.9987,0.00662,0.08393,0.8205
0,9,0.50,36.465,0.9974,0.01434,0.11746,0.7766
0,10,0.10,65.237,1.0000,nan,0.00657,1.0000
0,10,0.20,53.867,1.0000,nan,0.02434,0.9487
0,10,0.30,47.895,0.9998,nan,0.04840,0.8791
0,10,0.40,42.174,0.9993,nan,0.09352,0.8352
0,10,0.50,37.428,0.9979,nan,0.16151,0.7766
0,11,0.10,58.522,1.0000,nan,0.00990,1.0000
0,11,0.20,49.798,0.9999,nan,0.02703,0.9487
0,11,0.30,42.952,0.9995,nan,0.05945,0.8974
0,11,0.40,38.638,0.9986,nan,0.09768,0.8205
0,11,0.50,35.360,0.9970,nan,0.14246,0.8205
1,0,0.10,56.797,1.0000,0.00018,0.00949,0.9744
1,0,0.20,47.156,0.9998,0.00101,0.02878,0.9231
1,0,0.30,41.599,0.9993,nan,0.05457,0.9231
1,0,0.40,37.724,0.9984,nan,0.08526,0.8974
1,0,0.50,33.897,0.9961,nan,0.13247,0.8718
1,1,0.10,64.609,1.0000,nan,0.00686,0.9048
1,1,0.20,54.576,1.0000,nan,0.02176,0.8791
1,1,0.30,48.204,0.9998,nan,0.04532,0.8791
1,1,0.40,42.971,0.9995,nan,0.08279,0.8095
1,1,0.50,37.109,0.9979,nan,0.16259,0.7326
