layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.46678,2.78287,1.68391,2.4854,7.1895,0.0000,0.5640,0.05510,0.2764
1,12,5.71912,3.73656,1.98256,2.6393,7.0055,0.0000,0.6078,0.04834,0.0000
2,12,7.79041,4.21490,3.57551,1.7234,7.0749,0.0000,0.5914,0.06355,0.4330
3,12,5.52801,3.30202,2.22599,2.1376,7.1372,0.0000,0.5771,0.06100,0.4330
4,12,6.59601,4.19343,2.40258,1.8205,6.9957,0.0000,0.6096,0.05682,0.0000
5,12,8.13351,5.13152,3.00199,1.7585,6.7199,0.0000,0.6714,0.03815,0.0000
6,12,8.11086,5.00314,3.10772,1.7676,6.8131,0.0000,0.6576,0.04779,0.2764
7,12,9.04230,5.60610,3.43620,1.7812,6.6606,0.0000,0.6818,0.03855,0.2764
8,12,7.12684,4.72924,2.39760,2.1691,6.7961,0.0000,0.6526,0.04210,0.0000
9,12,6.82338,4.53521,2.28817,2.3363,6.7783,0.0000,0.6595,0.03946,0.0000
10,12,11.52451,6.42235,5.10216,1.5965,6.7138,0.0000,0.6815,0.04028,0.3727
11,12,7.87223,6.07661,1.79562,3.5974,6.5299,0.0000,0.7127,0.02616,0.0000
