layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,58.338,1.0000,0.00001,0.00425,1.0000
0,0,0.20,45.864,0.9999,0.00021,0.01789,0.9487
0,0,0.30,41.785,0.9997,0.00048,0.02861,0.8718
0,0,0.40,36.793,0.9989,0.00152,0.05082,0.8535
0,0,0.50,33.948,0.9979,0.00277,0.07052,0.8095
0,1,0.10,54.211,1.0000,0.00056,0.01486,0.9744
0,1,0.20,43.159,0.9995,nan,0.05306,0.9487
0,1,0.30,37.557,0.9981,nan,0.10113,0.8718
0,1,0.40,34.222,0.9958,nan,0.14847,0.8205
0,1,0.50,31.249,0.9917,nan,0.20906,0.8205
0,2,0.10,61.157,1.0000,nan,0.00854,0.9744
0,2,0.20,52.542,0.9999,nan,0.02303,0.8974
0,2,0.30,46.961,0.9998,nan,0.04378,0.8205
0,2,0.40,41.768,0.9994,nan,0.07960,0.7692
0,2,0.50,37.013,0.9982,nan,0.13762,0.7509
0,3,0.10,63.832,1.0000,nan,0.00591,1.0000
0,3,0.20,55.093,1.0000,nan,0.01617,0.9744
0,3,0.30,49.669,0.9999,nan,0.03020,0.9487
0,3,0.40,43.679,0.9996,nan,0.06020,0.9744
0,3,0.50,38.328,0.9986,nan,0.11145,0.8718
0,4,0.10,63.718,1.0000,0.00003,0.00685,1.0000
0,4,0.20,53.914,0.9999,0.00025,0.02117,0.9487
0,4,0.30,48.962,0.9997,0.00103,0.03744,0.9231
0,4,0.40,44.547,0.9990,nan,0.06224,0.8462
0,4,0.50,41.428,0.9980,0.00571,0.08913,0.8535
0,5,0.10,54.231,0.9999,0.00082,0.02243,0.9744
0,5,0.20,44.767,0.9993,nan,0.06667,0.9048
0,5,0.30,40.234,0.9981,nan,0.11236,0.8397
0,5,0.40,37.029,0.9960,nan,0.16250,0.7372
0,5,0.50,34.102,0.9922,nan,0.22762,0.6419
0,6,0.10,52.729,1.0000,0.00012,0.00998,1.0000
0,6,0.20,42.816,0.9997,0.00081,0.03126,0.9231
0,6,0.30,37.519,0.9990,nan,0.05752,0.9231
0,6,0.40,34.247,0.9978,nan,0.08384,0.9231
0,6,0.50,31.311,0.9958,0.01121,0.11756,0.8718
0,7,0.10,53.348,1.0000,nan,0.01690,0.9744
0,7,0.20,44.384,0.9996,nan,0.04744,0.9487
0,7,0.30,39.284,0.9988,nan,0.08534,0.8974
0,7,0.40,35.779,0.9972,nan,0.12776,0.8718
0,7,0.50,32.435,0.9940,nan,0.18774,0.7766
0,8,0.10,53.431,1.0000,0.00017,0.01222,0.9487
0,8,0.20,46.105,0.9998,nan,0.02839,0.9231
0,8,0.30,41.098,0.9993,nan,0.05053,0.9231
0,8,0.40,37.711,0.9985,nan,0.07463,0.9231
0,8,0.50,35.739,0.9976,nan,0.09366,0.8462
0,9,0.10,61.287,1.0000,0.00005,0.00674,1.0000
0,9,0.20,51.263,0.9999,0.00051,0.02138,0.9231
0,9,0.30,45.370,0.9997,0.00204,0.04213,0.8718
0,9,0.40,40.490,0.9990,0.00723,0.07390,0.7949
0,9,0.50,35.585,0.9968,nan,0.12999,0.7326
0,10,0.10,64.533,1.0000,nan,0.00713,1.0000
0,10,0.20,55.296,1.0000,nan,0.02064,0.9744
0,10,0.30,48.508,0.9998,nan,0.04510,0.9487
0,10,0.40,43.544,0.9995,nan,0.07988,0.8535
0,10,0.50,37.812,0.9981,nan,0.15453,0.7216
0,11,0.10,54.603,1.0000,nan,0.01554,1.0000
0,11,0.20,46.800,0.9998,nan,0.03817,0.9231
0,11,0.30,42.531,0.9994,nan,0.06239,0.8718
0,11,0.40,37.084,0.9980,nan,0.11681,0.8718
0,11,0.50,33.191,0.9951,nan,0.18287,0.7582
1,0,0.10,52.120,0.9999,0.00049,0.01625,1.0000
1,0,0.20,44.615,0.9997,nan,0.03857,0.9744
1,0,0.30,40.345,0.9991,nan,0.06305,0.9231
1,0,0.40,36.340,0.9978,0.01708,0.09999,0.8718
1,0,0.50,33.540,0.9958,nan,0.13803,0.8462
1,1,0.10,66.231,1.0000,nan,0.00569,0.9744
1,1,0.20,55.183,1.0000,nan,0.02029,0.9231
1,1,0.30,48.405,0.9998,nan,0.04429,0.8791
1,1,0.40,42.571,0.9994,nan,0.08669,0.7912
1,1,0.50,37.193,0.9979,nan,0.16102,0.7582
1,2,0.10,60.223,1.0000,0.00019,0.00976,1.0000
1,2,0.20,52.144,0.9999,nan,0.02475,0.9744
1,2,0.30,46.214,0.9997,0.00653,0.04898,0.9744
1,2,0.40,42.436,0.9992,nan,0.07567,0.8974
1,2,0.50,38.991,0.9983,nan,0.11251,0.8022
1,3,0.10,53.715,1.0000,nan,0.01642,0.9744
1,3,0.20,45.398,0.9997,nan,0.04278,0.8974
1,3,0.30,40.630,0.9991,nan,0.07407,0.8718
1,3,0.40,36.841,0.9978,nan,0.11457,0.8205
1,3,0.50,33.599,0.9954,nan,0.16641,0.8205
1,4,0.10,65.462,1.0000,nan,0.00691,0.9487
1,4,0.20,57.431,1.0000,nan,0.01741,0.8791
1,4,0.30,49.676,0.9999,nan,0.04252,0.7851
1,4,0.40,43.524,0.9995,nan,0.08633,0.7521
1,4,0.50,37.707,0.9980,nan,0.16868,0.6932
1,5,0.10,56.676,1.0000,0.00037,0.01196,1.0000
1,5,0.20,47.641,0.9998,0.00169,0.03385,1.0000
1,5,0.30,42.129,0.9992,nan,0.06385,0.9744
1,5,0.40,38.585,0.9982,nan,0.09603,0.9487
1,5,0.50,35.190,0.9960,nan,0.14195,0.9231
1,6,0.10,80.904,1.0000,nan,0.00116,0.9744
1,6,0.20,70.921,1.0000,nan,0.00365,0.9304
1,6,0.30,63.995,1.0000,nan,0.00810,0.8278
1,6,0.40,57.330,1.0000,nan,0.01745,0.7656
1,6,0.50,51.301,0.9999,nan,0.03494,0.7005
1,7,0.10,59.974,1.0000,0.00055,0.01140,0.9744
1,7,0.20,52.548,0.9999,0.00158,0.02681,0.9744
1,7,0.30,48.544,0.9998,nan,0.04250,0.9744
1,7,0.40,45.000,0.9995,nan,0.06392,0.9231
1,7,0.50,42.135,0.9990,nan,0.08889,0.9231
1,8,0.10,58.777,1.0000,0.00004,0.00585,0.9744
1,8,0.20,48.558,0.9999,0.00034,0.01898,0.9487
1,8,0.30,41.528,0.9995,0.00157,0.04264,0.8718
1,8,0.40,37.273,0.9987,0.00363,0.06959,0.7692
1,8,0.50,33.436,0.9967,nan,0.10825,0.7509
1,9,0.10,61.207,1.0000,0.00007,0.00699,1.0000
1,9,0.20,50.852,0.9999,nan,0.02303,0.9231
1,9,0.30,45.134,0.9996,nan,0.04447,0.9487
1,9,0.40,41.342,0.9991,0.00604,0.06882,0.8974
1,9,0.50,38.516,0.9983,0.01077,0.09529,0.8974
1,10,0.10,63.339,1.0000,nan,0.00812,1.0000
1,10,0.20,55.548,1.0000,0.00087,0.01991,0.9487
1,10,0.30,49.935,0.9998,nan,0.03799,0.9231
1,10,0.40,46.004,0.9996,nan,0.05974,0.8462
1,10,0.50,41.705,0.9990,nan,0.09800,0.7766
1,11,0.10,56.987,1.0000,0.00033,0.01203,1.0000
1,11,0.20,47.316,0.9998,nan,0.03664,0.9744
1,11,0.30,41.259,0.9991,nan,0.07358,0.8462
1,11,0.40,37.060,0.9976,nan,0.11932,0.8462
1,11,0.50,33.683,0.9948,nan,0.17602,0.7509
2,0,0.10,69.751,1.0000,nan,0.00423,0.4524
2,0,0.20,58.079,1.0000,nan,0.01622,0.3339
2,0,0.30,49.490,0.9999,nan,0.04359,0.3645
2,0,0.40,42.875,0.9997,nan,0.09337,0.3721
2,0,0.50,36.159,0.9984,nan,0.20230,0.3339
2,1,0.10,62.078,1.0000,nan,0.00869,0.9744
2,1,0.20,54.012,1.0000,nan,0.02200,0.9487
2,1,0.30,48.887,0.9999,nan,0.03968,0.8974
2,1,0.40,44.094,0.9996,nan,0.06891,0.8205
2,1,0.50,39.432,0.9987,nan,0.11785,0.8022
2,2,0.10,63.119,1.0000,0.00029,0.00816,0.9231
2,2,0.20,55.092,1.0000,nan,0.02056,0.8974
2,2,0.30,50.083,0.9999,nan,0.03660,0.8462
2,2,0.40,46.590,0.9998,nan,0.05471,0.7912
2,2,0.50,43.716,0.9996,nan,0.07617,0.7143
2,3,0.10,60.950,1.0000,0.00016,0.00903,1.0000
2,3,0.20,53.047,0.9999,nan,0.02244,0.9487
2,3,0.30,47.341,0.9997,0.00386,0.04329,0.8974
2,3,0.40,44.650,0.9995,0.00801,0.05901,0.8718
2,3,0.50,40.694,0.9988,0.01372,0.09305,0.7509
2,4,0.10,59.635,1.0000,0.00019,0.01040,0.9487
2,4,0.20,51.435,0.9999,0.00142,0.02672,0.9231
2,4,0.30,45.995,0.9997,nan,0.04998,0.8974
2,4,0.40,41.494,0.9990,nan,0.08393,0.7949
2,4,0.50,37.564,0.9976,nan,0.13194,0.8462
2,5,0.10,53.588,0.9999,0.00064,0.02004,0.9487
2,5,0.20,45.895,0.9996,nan,0.04859,0.8718
2,5,0.30,40.774,0.9986,nan,0.08762,0.8205
2,5,0.40,37.175,0.9968,nan,0.13260,0.7582
2,5,0.50,34.658,0.9943,nan,0.17718,0.7253
2,6,0.10,53.760,1.0000,nan,0.01994,0.9744
2,6,0.20,46.145,0.9997,nan,0.04792,0.9487
2,6,0.30,39.098,0.9987,nan,0.10786,0.9231
2,6,0.40,34.378,0.9961,nan,0.18572,0.8095
2,6,0.50,32.074,0.9934,nan,0.24213,0.6703
2,7,0.10,60.596,1.0000,0.00034,0.01097,0.9744
2,7,0.20,50.090,0.9998,0.00401,0.03678,0.9304
2,7,0.30,45.012,0.9994,nan,0.06599,0.8654
2,7,0.40,41.032,0.9984,nan,0.10434,0.8397
2,7,0.50,38.008,0.9968,nan,0.14781,0.8397
2,8,0.10,57.216,1.0000,0.00054,0.01388,0.9744
2,8,0.20,49.475,0.9998,nan,0.03384,0.9231
2,8,0.30,42.891,0.9993,nan,0.07222,0.8791
2,8,0.40,37.895,0.9976,nan,0.12837,0.8462
2,8,0.50,34.388,0.9947,nan,0.19223,0.7656
2,9,0.10,65.891,1.0000,nan,0.00660,0.4481
2,9,0.20,57.625,1.0000,nan,0.01709,0.3794
2,9,0.30,48.740,0.9999,nan,0.04753,0.3840
2,9,0.40,42.917,0.9997,nan,0.09291,0.3690
2,9,0.50,36.040,0.9983,nan,0.20509,0.2836
2,10,0.10,61.084,1.0000,0.00022,0.00929,1.0000
2,10,0.20,54.085,1.0000,0.00124,0.02080,0.9487
2,10,0.30,48.599,0.9998,nan,0.03912,0.9487
2,10,0.40,44.951,0.9996,nan,0.05954,0.9231
2,10,0.50,40.912,0.9990,nan,0.09479,0.7775
2,11,0.10,61.196,1.0000,nan,0.01099,0.9744
2,11,0.20,51.578,0.9999,nan,0.03326,0.9048
2,11,0.30,45.754,0.9995,nan,0.06503,0.8654
2,11,0.40,42.521,0.9989,nan,0.09436,0.7958
2,11,0.50,38.743,0.9975,nan,0.14578,0.7445
3,0,0.10,54.040,1.0000,nan,0.01637,0.9487
3,0,0.20,48.056,0.9999,nan,0.03261,0.8791
3,0,0.30,42.124,0.9996,nan,0.06455,0.8095
3,0,0.40,37.669,0.9987,nan,0.10781,0.7399
3,0,0.50,34.984,0.9977,nan,0.14685,0.7582
3,1,0.10,65.839,1.0000,0.00007,0.00496,0.9744
3,1,0.20,53.095,0.9999,nan,0.02151,0.9231
3,1,0.30,45.746,0.9996,nan,0.05012,0.8974
3,1,0.40,41.813,0.9989,nan,0.07883,0.8791
3,1,0.50,38.509,0.9977,nan,0.11531,0.8278
3,2,0.10,56.187,1.0000,nan,0.01489,0.9744
3,2,0.20,48.206,0.9997,nan,0.03732,0.9304
3,2,0.30,44.028,0.9993,nan,0.06037,0.8791
3,2,0.40,39.677,0.9981,nan,0.09963,0.8535
3,2,0.50,36.308,0.9959,nan,0.14684,0.7839
