layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9353,6.9890,18.92121,0.6299,2.2261,1
2,9,0.9353,7.0029,18.62706,0.6265,2.1880,1
11,6,0.8678,6.4783,8.26621,0.7364,3.3247,1
11,10,0.8678,6.6086,7.89339,0.7086,2.9091,5
1,7,0.8432,6.8412,5.11898,0.6554,2.3486,3
2,3,0.8432,6.9581,4.27817,0.6292,2.0645,2
4,5,0.8347,6.8072,7.60336,0.6675,2.4151,1
5,0,0.8347,6.8357,6.78941,0.6617,2.3925,1
11,3,0.8166,6.6433,8.88387,0.6999,2.8132,1
11,1,0.8114,6.7529,7.64695,0.6740,2.5347,1
11,4,0.7974,6.6424,6.91105,0.6990,2.7527,1
3,7,0.7934,7.0650,4.01100,0.6092,1.9845,2
9,0,0.7876,6.4884,8.41655,0.7230,3.2405,1
9,7,0.7876,6.6294,7.80343,0.6989,2.7826,1
6,9,0.7786,6.7235,7.16169,0.6852,2.6947,1
7,9,0.7786,6.6585,7.99506,0.6910,2.7234,1
8,0,0.7754,6.9149,5.89644,0.6419,2.2069,2
9,1,0.7754,6.8350,6.08261,0.6666,2.4615,2
4,8,0.7746,6.9415,6.28417,0.6345,2.1157,2
4,9,0.7660,7.1193,4.50773,0.5833,1.7902,1
5,4,0.7660,6.9847,4.72821,0.6206,2.0480,1
10,3,0.7633,6.7421,7.87613,0.6844,2.6947,1
6,3,0.7613,6.4834,9.29811,0.7335,3.3247,1
6,10,0.7613,6.5876,9.51363,0.7138,3.0476,1
4,11,0.7486,6.9456,8.42783,0.6387,2.2261,1
5,9,0.7486,7.0300,9.47849,0.6198,2.0813,1
7,8,0.7474,6.9551,6.34758,0.6321,2.0984,1
2,10,0.7450,6.8257,5.97033,0.6574,2.3704,1
5,1,0.7418,6.1729,12.73774,0.7773,4.7407,1
7,7,0.7418,6.0301,13.60027,0.8007,5.4468,1
4,4,0.7409,7.3198,5.06021,0.5290,1.6306,1
7,5,0.7409,7.2073,5.60278,0.5666,1.8417,1
8,1,0.7332,6.7642,5.94868,0.6716,2.5600,1
0,0,0.0000,7.2164,1.77195,0.5636,1.8156,0
0,1,0.0000,7.4395,3.71271,0.4829,1.4798,0
0,2,0.0000,7.0203,7.52905,0.6224,2.1695,0
0,3,0.0000,6.9136,6.74032,0.6463,2.2857,0
0,4,0.0000,7.1608,2.64545,0.5804,1.9104,0
0,5,0.0000,7.4074,5.28816,0.4911,1.5059,0
0,6,0.0000,7.3709,2.32400,0.5120,1.6000,0
0,7,0.0000,7.4355,3.62546,0.4817,1.5148,0
