layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,7,5,5,4
0,1,3,2,0,4
0,2,0,1,7,6
0,3,0,4,1,2
0,4,3,2,5,0
0,5,3,1,7,4
0,6,3,2,5,4
0,7,3,2,0,4
0,8,3,2,5,4
0,9,3,2,5,4
0,10,2,1,3,3
0,11,3,2,5,4
1,0,3,2,5,0
1,1,0,1,3,3
1,2,0,4,5,6
1,3,3,2,0,6
1,4,2,1,3,6
1,5,3,2,0,0
1,6,1,0,2,6
1,7,0,4,1,6
1,8,7,5,5,0
1,9,7,4,5,6
1,10,0,4,1,6
1,11,3,2,0,4
2,0,2,6,3,3
2,1,0,4,3,6
2,2,6,7,4,6
2,3,0,4,5,6
2,4,3,2,0,6
2,5,3,2,0,0
2,6,3,2,0,4
2,7,3,2,0,6
2,8,3,2,0,0
2,9,2,6,3,3
2,10,0,4,1,6
2,11,0,4,7,1
3,0,0,4,1,5
3,1,3,2,5,1
3,2,3,2,5,0
3,3,0,4,5,1
3,4,3,2,0,0
3,5,2,1,3,6
3,6,7,5,5,0
3,7,3,2,5,0
3,8,3,2,7,4
3,9,2,1,3,3
3,10,3,2,0,0
3,11,0,4,5,2
4,0,0,4,7,7
4,1,3,2,0,0
4,2,0,4,1,0
4,3,6,7,4,5
4,4,3,2,0,0
4,5,0,1,3,1
4,6,0,1,7,7
4,7,6,7,4,5
4,8,0,4,1,1
4,9,0,4,5,0
4,10,0,4,7,7
4,11,0,1,3,0
5,0,6,4,1,1
5,1,1,0,2,5
5,2,3,2,0,0
5,3,0,4,7,7
5,4,0,4,5,0
5,5,1,0,2,5
5,6,1,0,2,5
5,7,6,7,4,1
5,8,0,4,1,1
5,9,2,1,3,3
5,10,0,4,1,7
5,11,6,1,1,1
6,0,6,7,4,5
6,1,0,1,7,0
6,2,6,4,1,7
6,3,6,7,4,5
6,4,6,7,4,5
6,5,0,1,3,0
6,6,6,4,1,1
6,7,0,4,1,0
6,8,0,4,1,0
6,9,6,4,1,7
6,10,6,7,4,7
6,11,2,1,3,7
7,0,0,4,7,7
7,1,0,1,3,1
7,2,0,1,3,0
7,3,1,0,2,5
7,4,2,1,3,7
7,5,3,1,7,1
7,6,1,0,2,5
7,7,1,0,2,5
7,8,4,3,6,1
7,9,6,7,4,7
7,10,2,1,3,3
7,11,6,0,2,5
8,0,0,4,1,1
8,1,4,3,6,5
8,2,1,0,2,5
8,3,0,4,1,1
8,4,0,1,3,0
8,5,6,7,4,5
8,6,1,0,2,5
8,7,3,2,0,0
8,8,3,2,7,1
8,9,0,4,1,1
8,10,0,1,3,1
8,11,0,4,1,7
9,0,6,7,4,5
9,1,6,4,1,1
9,2,3,2,0,1
9,3,4,3,6,5
9,4,6,1,4,1
9,5,3,1,7,1
9,6,4,3,6,5
9,7,6,1,1,5
9,8,7,4,5,4
9,9,1,0,2,5
9,10,0,1,7,1
9,11,0,4,5,0
10,0,3,2,0,2
10,1,5,0,2,2
10,2,6,1,3,2
10,3,4,3,6,2
10,4,2,1,3,2
10,5,5,0,2,2
10,6,2,1,3,2
10,7,6,7,4,2
10,8,0,4,1,4
10,9,5,0,2,2
10,10,0,4,7,6
10,11,2,1,3,2
11,0,4,3,6,2
11,1,4,3,6,2
11,2,4,3,6,2
11,3,4,3,6,2
11,4,4,3,6,2
11,5,4,3,6,2
11,6,4,3,6,2
11,7,1,0,2,2
11,8,0,4,1,4
11,9,7,4,5,2
11,10,4,3,6,2
11,11,1,0,2,2
