layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,55.362,1.0000,0.00003,0.00656,1.0000
0,0,0.20,47.173,0.9999,0.00017,0.01684,0.9524
0,0,0.30,40.630,0.9995,0.00089,0.03577,0.8571
0,0,0.40,36.169,0.9987,0.00238,0.05978,0.8810
0,0,0.50,32.426,0.9968,0.00484,0.09197,0.8333
0,1,0.10,56.340,1.0000,0.00030,0.01486,1.0000
0,1,0.20,48.273,0.9997,nan,0.03761,0.9524
0,1,0.30,41.028,0.9985,nan,0.08660,0.9048
0,1,0.40,36.999,0.9963,nan,0.13770,0.8095
0,1,0.50,33.629,0.9919,nan,0.20299,0.8163
0,2,0.10,63.197,1.0000,nan,0.00736,0.9762
0,2,0.20,53.482,1.0000,nan,0.02252,0.9524
0,2,0.30,46.717,0.9998,nan,0.04907,0.9048
0,2,0.40,41.102,0.9992,nan,0.09367,0.7925
0,2,0.50,36.770,0.9977,nan,0.15424,0.7925
0,3,0.10,68.635,1.0000,nan,0.00457,1.0000
0,3,0.20,59.410,1.0000,nan,0.01322,0.9762
0,3,0.30,53.184,0.9999,nan,0.02708,0.9762
0,3,0.40,49.119,0.9998,nan,0.04324,0.9286
0,3,0.50,41.850,0.9991,nan,0.09984,0.9116
0,4,0.10,60.898,1.0000,0.00008,0.01016,1.0000
0,4,0.20,51.687,0.9998,0.00088,0.02933,0.9524
0,4,0.30,47.410,0.9995,0.00203,0.04800,0.9286
0,4,0.40,43.955,0.9988,0.00368,0.07144,0.9116
0,4,0.50,40.288,0.9972,nan,0.10898,0.7993
0,5,0.10,60.233,1.0000,0.00038,0.01058,0.9354
0,5,0.20,49.941,0.9998,0.00167,0.03461,0.9116
0,5,0.30,44.472,0.9992,nan,0.06496,0.8163
0,5,0.40,40.202,0.9979,nan,0.10621,0.8163
0,5,0.50,36.565,0.9951,nan,0.16145,0.7687
0,6,0.10,52.162,1.0000,0.00023,0.01184,0.9762
