layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.67496,1.36718,0.30779,4.44194,7.32883,-0.00000,0.52689,0,0.03577,1.66234,14,196,16
0,1,3.16300,1.74505,1.41795,1.23068,7.42462,-0.00000,0.48654,0,0.08660,1.47977,14,196,16
0,2,6.61582,4.11740,2.49842,1.64800,7.01989,-0.00000,0.61710,0,0.04907,2.15126,14,196,16
0,3,6.77065,4.35558,2.41507,1.80350,6.78570,-0.00000,0.67555,0,0.02708,2.53465,14,196,16
0,4,2.44886,1.53257,0.91629,1.67259,7.25627,-0.00000,0.54754,0,0.04800,1.75342,14,196,16
0,5,4.15588,2.50178,1.65410,1.51248,7.24875,-0.00000,0.54557,0,0.06496,1.67320,14,196,16
0,6,2.03225,1.45814,0.57410,2.53986,7.40220,-0.00000,0.49897,0,0.06217,1.53293,14,196,16
0,7,3.19104,1.82573,1.36532,1.33722,7.32228,-0.00000,0.52166,0,0.06823,1.62025,14,196,16
0,8,2.26802,1.70799,0.56003,3.04981,7.29008,-0.00000,0.53866,0,0.05145,1.64103,14,196,16
0,9,3.55571,2.22446,1.33125,1.67096,7.27035,-0.00000,0.53394,0,0.06871,1.66234,14,196,16
0,10,8.93270,4.35881,4.57389,0.95298,6.76871,-0.00000,0.68549,1,0.02901,2.75269,14,196,16
0,11,4.12692,2.92357,1.20335,2.42954,7.06834,-0.00000,0.58951,0,0.05007,1.88235,14,196,16
1,0,3.72548,2.44135,1.28412,1.90118,7.22060,-0.00000,0.56243,0,0.06009,1.77778,14,196,16
1,1,8.20005,4.02233,4.17772,0.96281,7.10687,-0.00000,0.59714,1,0.06415,1.92481,14,196,16
1,2,3.00073,2.00642,0.99431,2.01789,7.22449,-0.00000,0.55511,0,0.05190,1.76552,14,196,16
1,3,3.39762,2.21207,1.18555,1.86586,7.16621,-0.00000,0.57035,0,0.05067,1.84173,14,196,16
1,4,9.79822,5.12269,4.67553,1.09564,7.04014,-0.00000,0.61264,0,0.06716,2.04800,14,196,16
1,5,3.06011,1.96063,1.09949,1.78322,7.34284,-0.00000,0.51543,0,0.08556,1.54217,14,196,16
1,6,13.19687,8.52523,4.67164,1.82489,6.17764,-0.00000,0.78009,0,0.01246,3.87879,14,196,16
1,7,3.10156,2.15428,0.94729,2.27416,7.17501,-0.00000,0.56981,0,0.04635,1.84173,14,196,16
1,8,2.29626,1.76539,0.53088,3.32543,7.34486,-0.00000,0.51571,0,0.05754,1.61006,14,196,16
1,9,3.44053,2.49474,0.94579,2.63773,6.99356,-0.00000,0.61727,0,0.03561,2.09836,14,196,16
1,10,5.51085,3.61555,1.89530,1.90764,6.96354,-0.00000,0.61415,0,0.05045,1.93939,14,196,16
1,11,3.26990,1.87795,1.39195,1.34915,7.34829,-0.00000,0.51343,0,0.07776,1.54217,14,196,16
2,0,16.89510,5.46107,11.43403,0.47762,7.00339,-0.00000,0.62471,1,0.04119,2.16949,14,196,16
2,1,6.42217,4.33884,2.08332,2.08266,6.68896,-0.00000,0.68899,0,0.03462,2.72340,14,196,16
2,2,7.88713,5.09622,2.79091,1.82600,6.66791,-0.00000,0.68124,0,0.04211,2.56000,14,196,16
2,3,3.69994,2.41316,1.28678,1.87536,7.06655,-0.00000,0.60337,0,0.04934,2.06452,14,196,16
2,4,4.27461,2.85612,1.41848,2.01350,7.13504,-0.00000,0.57419,0,0.08043,1.81560,14,196,16
2,5,2.88251,1.85314,1.02937,1.80026,7.38634,-0.00000,0.49849,0,0.07674,1.52381,14,196,16
2,6,5.64198,2.88341,2.75857,1.04525,7.27714,-0.00000,0.53438,0,0.09688,1.64103,14,196,16
2,7,3.79916,2.52604,1.27312,1.98413,7.21163,-0.00000,0.55344,0,0.05517,1.77778,14,196,16
