layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.064,1.0000,0.00007,0.00855,1.0000
0,0,0.20,45.178,0.9998,0.00028,0.02119,0.9524
0,0,0.30,39.258,0.9993,0.00121,0.04189,0.9286
0,0,0.40,35.511,0.9984,0.00258,0.06448,0.9048
0,0,0.50,31.250,0.9959,0.00815,0.10532,0.8639
0,1,0.10,58.378,1.0000,0.00023,0.01175,1.0000
0,1,0.20,46.381,0.9996,0.00364,0.04676,0.9524
0,1,0.30,41.452,0.9987,nan,0.08247,0.8810
0,1,0.40,37.204,0.9964,nan,0.13449,0.7993
0,1,0.50,34.109,0.9927,nan,0.19208,0.7755
0,2,0.10,65.606,1.0000,nan,0.00558,1.0000
0,2,0.20,56.441,1.0000,nan,0.01602,0.9762
0,2,0.30,49.554,0.9999,nan,0.03540,0.9524
0,2,0.40,42.246,0.9993,nan,0.08211,0.8571
0,2,0.50,37.949,0.9982,nan,0.13466,0.7857
0,3,0.10,65.681,1.0000,nan,0.00642,1.0000
0,3,0.20,56.703,1.0000,nan,0.01806,1.0000
0,3,0.30,52.096,0.9999,nan,0.03069,0.9286
0,3,0.40,48.203,0.9998,nan,0.04805,0.9524
0,3,0.50,42.156,0.9992,nan,0.09640,0.8878
0,4,0.10,62.114,1.0000,0.00007,0.00883,1.0000
0,4,0.20,54.484,0.9999,0.00050,0.02126,1.0000
0,4,0.30,46.650,0.9993,0.00192,0.05239,0.9524
0,4,0.40,42.395,0.9983,0.00539,0.08550,0.8988
0,4,0.50,38.888,0.9961,0.01209,0.12803,0.7517
0,5,0.10,55.435,0.9999,0.00066,0.01839,0.9524
0,5,0.20,48.221,0.9997,nan,0.04219,0.9286
0,5,0.30,44.218,0.9992,nan,0.06689,0.8878
0,5,0.40,40.356,0.9979,nan,0.10435,0.9116
0,5,0.50,36.628,0.9951,nan,0.16028,0.7857
0,6,0.10,53.906,1.0000,0.00006,0.00969,1.0000
0,6,0.20,44.550,0.9998,0.00075,0.02845,0.9286
0,6,0.30,38.363,0.9990,nan,0.05799,0.9286
0,6,0.40,34.235,0.9974,nan,0.09329,0.8810
0,6,0.50,31.020,0.9945,nan,0.13507,0.8095
0,7,0.10,53.092,0.9999,nan,0.01854,1.0000
0,7,0.20,45.100,0.9996,nan,0.04654,0.9762
0,7,0.30,40.181,0.9988,nan,0.08199,0.8810
0,7,0.40,36.612,0.9973,nan,0.12365,0.8571
0,7,0.50,33.542,0.9944,nan,0.17609,0.8163
0,8,0.10,56.183,1.0000,0.00014,0.00940,1.0000
0,8,0.20,47.007,0.9998,nan,0.02703,0.9524
0,8,0.30,42.252,0.9994,nan,0.04673,0.8810
0,8,0.40,37.937,0.9984,nan,0.07679,0.8810
0,8,0.50,34.692,0.9966,nan,0.11159,0.8401
0,9,0.10,56.149,1.0000,0.00026,0.01232,1.0000
0,9,0.20,47.738,0.9998,0.00132,0.03244,0.9286
0,9,0.30,42.969,0.9995,0.00325,0.05618,0.9048
0,9,0.40,39.807,0.9989,0.00790,0.08084,0.9048
0,9,0.50,36.345,0.9976,0.01642,0.12044,0.8163
0,10,0.10,66.750,1.0000,nan,0.00592,0.9762
0,10,0.20,59.262,1.0000,nan,0.01402,0.9762
0,10,0.30,53.327,0.9999,nan,0.02776,0.9524
0,10,0.40,48.030,0.9998,nan,0.05108,0.8810
0,10,0.50,42.161,0.9993,nan,0.10039,0.8469
0,11,0.10,58.927,1.0000,nan,0.01033,1.0000
0,11,0.20,49.260,0.9999,nan,0.03142,0.9048
0,11,0.30,42.688,0.9993,nan,0.06697,0.8810
0,11,0.40,38.966,0.9984,nan,0.10280,0.8810
0,11,0.50,35.845,0.9967,nan,0.14724,0.8095
1,0,0.10,53.993,1.0000,0.00033,0.01279,1.0000
1,0,0.20,45.430,0.9998,nan,0.03427,0.9524
1,0,0.30,40.022,0.9992,nan,0.06388,0.9286
1,0,0.40,36.401,0.9982,nan,0.09692,0.8333
1,0,0.50,33.173,0.9962,nan,0.14054,0.7857
1,1,0.10,62.539,1.0000,nan,0.00941,0.9286
1,1,0.20,55.614,1.0000,nan,0.02087,0.8401
1,1,0.30,48.911,0.9999,nan,0.04516,0.8163
1,1,0.40,43.484,0.9995,nan,0.08435,0.6803
1,1,0.50,38.842,0.9986,nan,0.14394,0.6156
1,2,0.10,64.021,1.0000,0.00006,0.00674,0.9524
1,2,0.20,54.985,0.9999,0.00044,0.01907,0.9286
1,2,0.30,48.337,0.9997,0.00261,0.04099,0.9286
1,2,0.40,44.086,0.9991,nan,0.06687,0.9286
