layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.67496,1.34252,0.33244,4.03837,7.39127,-0.00000,0.50283,0,0.04189,1.59006,14,196,16
0,1,3.16300,1.73481,1.42819,1.21469,7.43958,-0.00000,0.48105,0,0.08247,1.48837,14,196,16
0,2,6.61582,3.83660,2.77921,1.38046,7.00071,-0.00000,0.62497,0,0.03540,2.13333,14,196,16
0,3,6.77065,4.43986,2.33079,1.90487,6.79053,-0.00000,0.67360,0,0.03069,2.48544,14,196,16
0,4,2.44886,1.58680,0.86206,1.84070,7.28735,-0.00000,0.53642,0,0.05239,1.67320,14,196,16
0,5,4.15588,2.27357,1.88231,1.20786,7.24500,-0.00000,0.55025,0,0.06689,1.71812,14,196,16
0,6,2.03225,1.41005,0.62220,2.26624,7.42770,-0.00000,0.48885,0,0.05799,1.53293,14,196,16
0,7,3.19104,1.52676,1.66429,0.91736,7.38210,-0.00000,0.50461,1,0.08199,1.56098,14,196,16
0,8,2.26802,1.62821,0.63982,2.54479,7.31015,-0.00000,0.53118,0,0.04673,1.69536,14,196,16
0,9,3.55571,1.87065,1.68506,1.11014,7.16853,-0.00000,0.57428,0,0.05618,1.82857,14,196,16
0,10,8.93270,4.61682,4.31588,1.06973,6.78511,-0.00000,0.67992,0,0.02776,2.63918,14,196,16
0,11,4.12692,2.33814,1.78878,1.30711,7.14242,-0.00000,0.57563,0,0.06697,1.77778,14,196,16
1,0,3.72548,2.24012,1.48535,1.50814,7.23490,-0.00000,0.55757,0,0.06388,1.75342,14,196,16
1,1,8.20005,3.48723,4.71282,0.73995,7.01610,-0.00000,0.62367,1,0.04516,2.16949,14,196,16
1,2,3.00073,1.77194,1.22879,1.44202,7.18920,-0.00000,0.56896,0,0.04099,1.84173,14,196,16
1,3,3.39762,1.98229,1.41532,1.40059,7.21704,-0.00000,0.55579,0,0.05175,1.72973,14,196,16
1,4,9.79822,4.27211,5.52611,0.77308,6.95148,-0.00000,0.64011,1,0.03621,2.22609,14,196,16
1,5,3.06011,1.73762,1.32249,1.31390,7.24349,-0.00000,0.54940,0,0.05538,1.66234,14,196,16
1,6,13.19687,6.18295,7.01392,0.88153,6.00594,-0.00000,0.80739,1,0.00332,5.22449,14,196,16
1,7,3.10156,1.90737,1.19419,1.59721,7.10577,-0.00000,0.59235,0,0.04894,1.91045,14,196,16
1,8,2.29626,1.66883,0.62744,2.65975,7.30072,-0.00000,0.53500,0,0.04988,1.66234,14,196,16
1,9,3.44053,2.07262,1.36792,1.51516,6.91380,-0.00000,0.64088,0,0.03374,2.28571,14,196,16
1,10,5.51085,2.96229,2.54855,1.16234,6.89608,-0.00000,0.63727,0,0.03746,2.22609,14,196,16
1,11,3.26990,1.89393,1.37597,1.37644,7.41616,-0.00000,0.48927,0,0.09668,1.46286,14,196,16
2,0,16.89510,5.54936,11.34574,0.48911,6.87885,-0.00000,0.65681,1,0.02287,2.46154,14,196,16
2,1,6.42217,3.37557,3.04660,1.10798,6.67315,-0.00000,0.69245,0,0.02895,2.72340,14,196,16
2,2,7.88713,3.82081,4.06632,0.93962,6.47031,-0.00000,0.72220,1,0.02968,3.32468,14,196,16
2,3,3.69994,2.03763,1.66230,1.22579,6.96285,-0.00000,0.63330,0,0.03462,2.15126,14,196,16
2,4,4.27461,2.42807,1.84654,1.31493,7.11745,-0.00000,0.58080,0,0.08322,1.75342,14,196,16
2,5,2.88251,1.67058,1.21193,1.37844,7.28878,-0.00000,0.53849,0,0.06334,1.68421,14,196,16
2,6,5.64198,2.64328,2.99869,0.88148,7.23359,-0.00000,0.55166,1,0.08223,1.69536,14,196,16
2,7,3.79916,2.25867,1.54048,1.46621,7.15065,-0.00000,0.57484,0,0.04736,1.81560,14,196,16
2,8,3.99423,2.25107,1.74316,1.29137,7.23198,-0.00000,0.55238,0,0.07311,1.71812,14,196,16
2,9,16.47846,5.48962,10.98884,0.49956,6.89613,-0.00000,0.65297,1,0.02636,2.41509,14,196,16
2,10,5.97763,2.65121,3.32642,0.79702,6.97829,-0.00000,0.62672,1,0.05076,2.06452,14,196,16
2,11,4.26784,2.05685,2.21099,0.93029,7.05517,-0.00000,0.60152,1,0.04462,1.96923,14,196,16
3,0,6.31785,2.89374,3.42411,0.84510,6.83378,-0.00000,0.66807,1,0.03415,2.58586,14,196,16
3,1,3.59817,2.10123,1.49694,1.40369,7.16372,-0.00000,0.57577,0,0.05829,1.81560,14,196,16
3,2,3.47615,1.99755,1.47859,1.35098,7.38418,-0.00000,0.50331,0,0.07531,1.60000,14,196,16
3,3,4.15971,2.25850,1.90121,1.18793,6.96086,-0.00000,0.63640,0,0.03279,2.15126,14,196,16
