layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.67496,1.66226,0.01270,130.91354,7.07685,0.67605,0.51982,0,0.05200,1.89630,14,196,16
0,1,3.16300,3.02267,0.14033,21.53924,7.17694,1.04604,0.54623,4,0.08793,1.71812,14,196,16
0,2,6.61582,5.30258,1.31324,4.03780,6.72367,1.64222,0.68915,4,0.03232,2.81319,14,196,16
0,3,6.77065,5.35385,1.41679,3.77885,6.54324,1.77860,0.72543,4,0.01874,3.32468,14,196,16
0,4,2.44886,2.34081,0.10805,21.66364,6.86986,1.05861,0.59668,0,0.06161,2.16949,14,196,16
0,5,4.15588,3.65540,0.50048,7.30386,6.86916,1.28163,0.64023,4,0.05220,2.32727,14,196,16
0,6,2.03225,1.99793,0.03432,58.21333,7.21322,0.96845,0.51790,0,0.07237,1.75342,14,196,16
0,7,3.19104,3.03188,0.15916,19.04923,7.11550,1.11049,0.57339,4,0.07811,1.85507,14,196,16
0,8,2.26802,2.06641,0.20161,10.24945,7.09498,1.56534,0.55867,0,0.05240,1.92481,14,196,16
0,9,3.55571,3.29461,0.26109,12.61864,6.88276,1.30181,0.63184,4,0.06446,2.24561,14,196,16
0,10,8.93270,6.99107,1.94163,3.60062,6.51144,1.56126,0.73335,4,0.01427,3.36842,14,196,16
0,11,4.12692,3.52470,0.60222,5.85287,6.84652,1.59922,0.64409,4,0.05629,2.26549,14,196,16
1,0,3.72548,3.33326,0.39222,8.49852,6.84348,1.39037,0.64522,0,0.05287,2.46154,14,196,16
1,1,8.20005,7.19237,1.00768,7.13759,6.60673,1.31457,0.71495,4,0.01283,3.01176,14,196,16
1,2,3.00073,2.82857,0.17216,16.43013,6.90631,1.28827,0.61988,0,0.04958,2.15126,14,196,16
1,3,3.39762,3.15736,0.24026,13.14149,6.92527,1.28736,0.62166,4,0.05862,2.09836,14,196,16
1,4,9.79822,8.79401,1.00422,8.75707,6.57346,1.31132,0.71974,4,0.01120,3.16049,14,196,16
1,5,3.06011,2.88934,0.17078,16.91882,6.95831,1.20837,0.59391,0,0.07029,1.92481,14,196,16
1,6,13.19687,11.02739,2.16948,5.08295,5.45097,1.57226,0.86723,4,0.00107,7.31429,14,196,16
1,7,3.10156,2.89900,0.20256,14.31161,6.73242,1.28044,0.64343,0,0.05038,2.37037,14,196,16
1,8,2.29626,2.15804,0.13823,15.61210,7.01670,1.36090,0.57419,0,0.06253,1.98450,14,196,16
1,9,3.44053,3.06793,0.37260,8.23379,6.60613,1.50744,0.68736,0,0.03960,2.84444,14,196,16
1,10,5.51085,4.69658,0.81426,5.76788,6.48737,1.60159,0.71045,4,0.03431,3.08434,14,196,16
1,11,3.26990,3.10483,0.16507,18.80912,7.10380,1.22473,0.57029,4,0.07385,1.81560,14,196,16
