layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.07798,3.52035,0.55764,24.9018,6.9103,1.2991,0.6147,0.05356,1.8856
1,12,5.16652,4.59572,0.57079,11.5584,6.6842,1.3623,0.6640,0.04309,2.0000
2,12,6.85173,6.10263,0.74910,9.2047,6.7027,1.3466,0.6659,0.04931,1.1055
3,12,5.24394,4.62294,0.62100,9.0940,6.8509,1.3777,0.6456,0.04547,1.1055
4,12,7.42585,6.25532,1.17052,6.8796,6.4697,1.5047,0.7190,0.03303,0.0000
5,12,8.08908,6.82703,1.26205,5.7018,6.3803,1.5171,0.7411,0.02320,0.0000
6,12,8.37423,7.13388,1.24036,6.0815,6.4119,1.4580,0.7412,0.02316,0.0000
7,12,8.55676,7.03130,1.52546,5.1634,6.3374,1.5285,0.7415,0.02289,0.0000
8,12,7.77419,6.45714,1.31705,5.5589,6.3695,1.5383,0.7353,0.02892,0.0000
9,12,7.51767,6.20220,1.31547,5.1182,6.2738,1.5648,0.7380,0.03244,0.0000
10,12,11.39868,7.50379,3.89489,2.5886,6.3152,1.5084,0.7388,0.03055,1.4907
11,12,11.52216,6.53113,4.99103,1.4484,5.8799,1.6426,0.8027,0.01965,1.2802
