layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.67496,1.36821,0.30675,4.46029,7.31264,-0.00000,0.53328,0,0.04060,1.71812,14,196,16
0,1,3.16300,1.74368,1.41932,1.22854,7.42794,-0.00000,0.48624,0,0.08329,1.49708,14,196,16
0,2,6.61582,4.06806,2.54776,1.59672,7.01174,-0.00000,0.61903,0,0.04754,2.13333,14,196,16
0,3,6.77065,4.36468,2.40597,1.81411,6.77442,-0.00000,0.67800,0,0.02769,2.61224,14,196,16
0,4,2.44886,1.52976,0.91910,1.66440,7.23689,-0.00000,0.55411,0,0.04451,1.77778,14,196,16
0,5,4.15588,2.49970,1.65618,1.50932,7.25005,-0.00000,0.54620,0,0.06296,1.71812,14,196,16
0,6,2.03225,1.47913,0.55312,2.67418,7.37998,-0.00000,0.50631,0,0.05721,1.54217,14,196,16
0,7,3.19105,1.86209,1.32896,1.40117,7.31801,-0.00000,0.52120,0,0.06666,1.62025,14,196,16
0,8,2.26802,1.70649,0.56154,3.03894,7.29657,-0.00000,0.53702,0,0.05806,1.65161,14,196,16
0,9,3.55571,2.20786,1.34785,1.63807,7.25730,-0.00000,0.53827,0,0.06275,1.67320,14,196,16
0,10,8.93270,4.36646,4.56625,0.95625,6.78501,-0.00000,0.68139,1,0.03079,2.72340,14,196,16
0,11,4.12692,2.91445,1.21247,2.40373,7.08052,-0.00000,0.58482,0,0.05771,1.86861,14,196,16
1,0,3.72548,2.44349,1.28199,1.90602,7.23566,-0.00000,0.55843,0,0.06016,1.79021,14,196,16
1,1,8.20005,4.00175,4.19830,0.95318,7.09355,-0.00000,0.60136,1,0.05356,1.98450,14,196,16
1,2,3.00073,2.02345,0.97728,2.07049,7.21140,-0.00000,0.56008,0,0.04888,1.80282,14,196,16
1,3,3.39762,2.20728,1.19034,1.85432,7.17844,-0.00000,0.56657,0,0.04930,1.82857,14,196,16
1,4,9.79822,5.06342,4.73480,1.06940,7.01844,-0.00000,0.61837,0,0.06056,2.03175,14,196,16
1,5,3.06012,1.96701,1.09310,1.79948,7.32404,-0.00000,0.52124,0,0.08053,1.56098,14,196,16
1,6,13.19687,8.37377,4.82310,1.73618,6.08126,-0.00000,0.79750,0,0.00763,4.57143,14,196,16
1,7,3.10156,2.14847,0.95309,2.25421,7.18078,-0.00000,0.56760,0,0.05089,1.84173,14,196,16
1,8,2.29626,1.77440,0.52186,3.40012,7.32687,-0.00000,0.52183,0,0.05203,1.63057,14,196,16
1,9,3.44053,2.53793,0.90261,2.81178,6.97190,-0.00000,0.62155,0,0.03547,2.16949,14,196,16
1,10,5.51085,3.56972,1.94113,1.83899,6.98630,-0.00000,0.60871,0,0.05240,1.95420,14,196,16
1,11,3.26990,1.89221,1.37770,1.37345,7.32712,-0.00000,0.52107,0,0.07464,1.57055,14,196,16
2,0,16.89510,5.53924,11.35586,0.48779,7.05214,-0.00000,0.61193,1,0.06123,2.13333,14,196,16
2,1,6.42217,4.30072,2.12145,2.02726,6.73595,-0.00000,0.67667,0,0.03049,2.61224,14,196,16
2,2,7.88713,5.03829,2.84884,1.76854,6.66628,-0.00000,0.68060,0,0.04282,2.56000,14,196,16
2,3,3.69994,2.43580,1.26414,1.92684,7.07323,-0.00000,0.60031,0,0.05204,2.03175,14,196,16
2,4,4.27461,2.83150,1.44311,1.96208,7.12078,-0.00000,0.58076,0,0.06697,1.84173,14,196,16
2,5,2.88251,1.85844,1.02407,1.81476,7.36742,-0.00000,0.50641,0,0.06311,1.57055,14,196,16
2,6,5.64198,2.90597,2.73601,1.06212,7.22359,-0.00000,0.55229,0,0.07892,1.70667,14,196,16
2,7,3.79916,2.51419,1.28497,1.95662,7.18574,-0.00000,0.56222,0,0.04813,1.82857,14,196,16
2,8,3.99424,2.49313,1.50111,1.66086,7.31750,-0.00000,0.52193,0,0.09651,1.58025,14,196,16
2,9,16.47846,5.37718,11.10128,0.48437,7.04977,-0.00000,0.61264,1,0.05161,2.11570,14,196,16
2,10,5.97764,3.20197,2.77567,1.15359,7.05886,-0.00000,0.59994,0,0.05904,1.92481,14,196,16
2,11,4.26784,2.35116,1.91669,1.22668,7.18777,-0.00000,0.56269,0,0.05406,1.77778,14,196,16
3,0,6.31785,3.21704,3.10081,1.03748,6.97998,-0.00000,0.63131,0,0.04717,2.08130,14,196,16
3,1,3.59817,2.05667,1.54150,1.33420,7.23674,-0.00000,0.55015,0,0.07904,1.66234,14,196,16
3,2,3.47615,2.12779,1.34836,1.57806,7.30119,-0.00000,0.53317,0,0.07328,1.62025,14,196,16
3,3,4.15971,2.30132,1.85839,1.23834,7.14819,-0.00000,0.58568,0,0.04489,1.88235,14,196,16
3,4,3.36740,1.76839,1.59901,1.10593,7.26581,-0.00000,0.54618,0,0.05551,1.65161,14,196,16
3,5,10.91376,5.57276,5.34101,1.04339,6.92253,-0.00000,0.64709,0,0.04244,2.30631,14,196,16
3,6,3.11927,2.14069,0.97859,2.18753,7.16758,-0.00000,0.58034,0,0.04968,1.84173,14,196,16
3,7,3.14388,1.98520,1.15868,1.71333,7.19051,-0.00000,0.57111,0,0.04644,1.82857,14,196,16
3,8,4.41906,2.18982,2.22924,0.98232,7.17522,-0.00000,0.57507,1,0.04895,1.84173,14,196,16
3,9,10.09056,4.50785,5.58271,0.80747,6.88224,-0.00000,0.65403,1,0.05545,2.28571,14,196,16
3,10,5.03345,1.92098,3.11247,0.61719,7.30058,-0.00000,0.53167,1,0.08329,1.61006,14,196,16
3,11,5.28798,3.42490,1.86308,1.83830,6.94938,-0.00000,0.63189,0,0.04377,2.20690,14,196,16
4,0,8.23356,3.27906,4.95451,0.66183,6.59259,-0.00000,0.70842,1,0.03548,2.97674,14,196,16
4,1,3.48606,1.74365,1.74241,1.00071,7.33661,-0.00000,0.52150,0,0.08009,1.59006,14,196,16
4,2,5.64911,2.49207,3.15704,0.78937,6.89205,-0.00000,0.64400,1,0.04279,2.15126,14,196,16
4,3,11.42294,4.51154,6.91140,0.65277,6.22700,-0.00000,0.77264,1,0.01918,4.06349,14,196,16
4,4,5.42004,2.38827,3.03178,0.78774,6.88362,-0.00000,0.65382,1,0.03885,2.37037,14,196,16
4,5,7.59872,3.03169,4.56703,0.66382,6.82601,-0.00000,0.66562,1,0.04396,2.34862,14,196,16
4,6,9.15648,3.47960,5.67688,0.61294,6.23914,-0.00000,0.76250,1,0.01701,4.12903,14,196,16
4,7,10.05636,3.66467,6.39169,0.57335,6.62298,-0.00000,0.70380,1,0.04151,2.90909,14,196,16
4,8,7.16783,2.81333,4.35450,0.64608,6.64091,-0.00000,0.70165,1,0.02722,2.84444,14,196,16
4,9,5.20230,2.39674,2.80556,0.85428,6.77436,-0.00000,0.67099,1,0.03587,2.46154,14,196,16
4,10,6.99015,2.83339,4.15675,0.68164,6.90001,-0.00000,0.65007,1,0.04187,2.34862,14,196,16
4,11,8.72660,3.48345,5.24315,0.66438,6.77635,-0.00000,0.67649,1,0.03126,2.43810,14,196,16
5,0,6.36818,2.95652,3.41166,0.86659,6.73136,-0.00000,0.68854,1,0.02674,2.63918,14,196,16
5,1,12.91211,4.27124,8.64087,0.49431,6.17066,-0.00000,0.78559,1,0.01674,4.41379,14,196,16
5,2,5.03936,2.37499,2.66437,0.89139,6.94481,-0.00000,0.63587,1,0.04230,2.15126,14,196,16
5,3,6.57834,2.61520,3.96314,0.65988,6.84647,-0.00000,0.65987,1,0.03529,2.34862,14,196,16
5,4,4.62695,2.60510,2.02185,1.28847,6.93788,-0.00000,0.63796,0,0.03846,2.11570,14,196,16
5,5,10.00124,4.17944,5.82180,0.71789,6.16584,-0.00000,0.78348,1,0.01235,4.41379,14,196,16
5,6,10.70886,3.75033,6.95853,0.53895,6.32368,-0.00000,0.75904,1,0.02345,4.00000,14,196,16
5,7,8.81944,3.48038,5.33906,0.65187,6.54443,-0.00000,0.71945,1,0.03544,3.12195,14,196,16
5,8,6.00641,2.57053,3.43588,0.74814,6.75205,-0.00000,0.67789,1,0.02553,2.48544,14,196,16
5,9,10.20447,3.91695,6.28752,0.62297,7.04014,-0.00000,0.61756,1,0.05853,2.11570,14,196,16
5,10,6.99154,3.26722,3.72432,0.87727,6.78417,-0.00000,0.67683,1,0.03152,2.53465,14,196,16
5,11,8.81211,3.40465,5.40746,0.62962,6.39404,-0.00000,0.75088,1,0.01402,3.65714,14,196,16
6,0,10.84612,3.60975,7.23637,0.49883,6.54790,-0.00000,0.72311,1,0.02539,3.12195,14,196,16
6,1,6.76469,2.47996,4.28474,0.57879,6.75681,-0.00000,0.67982,1,0.02365,2.53465,14,196,16
6,2,8.22346,3.43726,4.78620,0.71816,6.61200,-0.00000,0.70791,1,0.02593,2.75269,14,196,16
6,3,10.20552,4.10808,6.09743,0.67374,6.28929,-0.00000,0.76529,1,0.02047,4.12903,14,196,16
6,4,9.61410,3.05625,6.55785,0.46604,6.74093,-0.00000,0.68801,1,0.04022,2.78261,14,196,16
6,5,7.86923,2.75473,5.11451,0.53861,6.80533,-0.00000,0.66677,1,0.04270,2.46154,14,196,16
6,6,8.65276,3.28147,5.37129,0.61093,6.56195,-0.00000,0.72105,1,0.02318,3.01176,14,196,16
6,7,4.62936,1.99678,2.63258,0.75849,7.04227,-0.00000,0.60756,1,0.05827,1.95420,14,196,16
6,8,6.80910,3.10858,3.70052,0.84004,6.74114,-0.00000,0.69022,1,0.02662,2.78261,14,196,16
6,9,7.45350,3.57786,3.87564,0.92317,6.65278,-0.00000,0.70658,1,0.02415,2.84444,14,196,16
6,10,9.32851,3.49193,5.83658,0.59828,6.38356,-0.00000,0.74607,1,0.01664,3.41333,14,196,16
6,11,10.09448,3.88746,6.20702,0.62630,7.06314,-0.00000,0.61155,1,0.05831,2.13333,14,196,16
7,0,8.07594,3.87223,4.20371,0.92115,6.70154,-0.00000,0.69811,1,0.01720,2.75269,14,196,16
7,1,5.77247,2.51816,3.25431,0.77379,6.82357,-0.00000,0.66187,1,0.03139,2.43810,14,196,16
7,2,6.35447,2.72669,3.62778,0.75161,6.80058,-0.00000,0.67634,1,0.02865,2.61224,14,196,16
7,3,10.62077,4.12437,6.49640,0.63487,5.98891,-0.00000,0.80381,1,0.01300,5.56522,14,196,16
