layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9189,7.0521,16.89510,0.6119,2.1333,1
2,9,0.9189,7.0498,16.47846,0.6126,2.1157,1
4,11,0.8301,6.7764,8.72660,0.6765,2.4381,2
6,6,0.8301,6.5620,8.65276,0.7210,3.0118,1
6,9,0.8283,6.6528,7.45350,0.7066,2.8444,2
7,9,0.8283,6.4153,7.51509,0.7395,3.4133,2
5,10,0.8212,6.7842,6.99154,0.6768,2.5347,1
11,0,0.8156,5.9148,16.84319,0.8219,6.2439,1
11,10,0.8156,6.0967,15.98458,0.7991,5.1200,1
11,1,0.7984,6.1043,12.60957,0.7955,5.4468,1
11,4,0.7984,6.0784,13.73482,0.8000,5.2245,1
7,8,0.7973,6.7643,6.52605,0.6819,2.5859,1
8,9,0.7973,6.7435,6.19859,0.6826,2.7234,1
5,11,0.7926,6.3940,8.81211,0.7509,3.6571,1
8,0,0.7926,6.3210,8.26440,0.7599,3.7647,1
8,11,0.7835,6.6165,6.46685,0.7057,2.8132,2
9,3,0.7835,6.6689,6.50472,0.6965,2.7826,1
5,5,0.7831,6.1658,10.00124,0.7835,4.4138,1
9,6,0.7831,6.2310,9.37587,0.7712,3.8788,1
6,2,0.7662,6.6120,8.22346,0.7079,2.7527,1
6,10,0.7662,6.3836,9.32851,0.7461,3.4133,1
4,0,0.7519,6.5926,8.23356,0.7084,2.9767,1
9,0,0.7519,6.5098,7.47941,0.7253,3.2000,1
4,10,0.7519,6.9000,6.99015,0.6501,2.3486,1
5,3,0.7519,6.8465,6.57834,0.6599,2.3486,1
5,7,0.7479,6.5444,8.81944,0.7194,3.1220,1
10,3,0.7381,6.5664,11.56374,0.7204,3.0118,1
10,7,0.7381,6.3996,12.66433,0.7492,3.8788,1
0,0,0.0000,7.3126,1.67496,0.5333,1.7181,0
0,1,0.0000,7.4279,3.16300,0.4862,1.4971,0
0,2,0.0000,7.0117,6.61582,0.6190,2.1333,0
0,3,0.0000,6.7744,6.77065,0.6780,2.6122,0
0,4,0.0000,7.2369,2.44886,0.5541,1.7778,0
0,5,0.0000,7.2500,4.15588,0.5462,1.7181,0
0,6,0.0000,7.3800,2.03225,0.5063,1.5422,0
0,7,0.0000,7.3180,3.19105,0.5212,1.6203,0
0,8,0.0000,7.2966,2.26802,0.5370,1.6516,0
0,9,0.0000,7.2573,3.55571,0.5383,1.6732,0
0,10,0.0000,6.7850,8.93270,0.6814,2.7234,0
0,11,0.0000,7.0805,4.12692,0.5848,1.8686,0
1,0,0.0000,7.2357,3.72548,0.5584,1.7902,0
1,1,0.0000,7.0935,8.20005,0.6014,1.9845,0
1,2,0.0000,7.2114,3.00073,0.5601,1.8028,0
1,3,0.0000,7.1784,3.39762,0.5666,1.8286,0
1,4,0.0000,7.0184,9.79822,0.6184,2.0317,0
1,5,0.0000,7.3240,3.06012,0.5212,1.5610,0
