layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,55.568,1.0000,0.00002,0.00579,0.9722
0,0,0.20,47.205,0.9999,0.00012,0.01516,0.9722
0,0,0.30,39.893,0.9995,0.00071,0.03518,0.8611
0,0,0.40,35.169,0.9985,0.00177,0.06061,0.8611
0,0,0.50,32.188,0.9971,0.00401,0.08543,0.7381
0,1,0.10,52.820,0.9999,nan,0.02235,1.0000
0,1,0.20,43.020,0.9992,nan,0.06907,0.9444
0,1,0.30,38.513,0.9976,nan,0.11605,0.9444
0,1,0.40,35.057,0.9948,nan,0.17276,0.8611
0,1,0.50,31.428,0.9879,nan,0.26237,0.8056
0,2,0.10,59.096,1.0000,nan,0.01126,1.0000
0,2,0.20,50.602,0.9999,nan,0.02993,1.0000
0,2,0.30,45.235,0.9997,nan,0.05552,0.9167
0,2,0.40,40.285,0.9990,nan,0.09816,0.8333
0,2,0.50,35.915,0.9972,nan,0.16233,0.7579
0,3,0.10,61.688,1.0000,nan,0.00768,0.9722
0,3,0.20,51.481,0.9999,nan,0.02486,0.9167
0,3,0.30,46.593,0.9998,nan,0.04365,0.8889
0,3,0.40,43.922,0.9997,nan,0.05936,0.8889
0,3,0.50,38.814,0.9989,nan,0.10688,0.8194
0,4,0.10,57.266,1.0000,0.00043,0.01414,0.9444
0,4,0.20,48.660,0.9997,0.00144,0.03808,0.9167
0,4,0.30,43.265,0.9989,nan,0.07086,0.7778
0,4,0.40,39.701,0.9975,0.01163,0.10681,0.7857
0,4,0.50,37.314,0.9956,0.01893,0.14059,0.7986
0,5,0.10,59.521,1.0000,0.00015,0.01023,0.9722
0,5,0.20,46.626,0.9997,nan,0.04513,0.9722
0,5,0.30,39.638,0.9984,nan,0.10089,0.8968
0,5,0.40,35.111,0.9956,nan,0.16992,0.8889
0,5,0.50,31.898,0.9907,nan,0.24596,0.8413
0,6,0.10,56.495,1.0000,0.00013,0.01364,1.0000
0,6,0.20,48.505,0.9997,nan,0.03422,1.0000
0,6,0.30,41.287,0.9987,nan,0.07857,0.9722
0,6,0.40,38.872,0.9977,0.01382,0.10375,0.9444
0,6,0.50,34.970,0.9943,nan,0.16260,0.8889
0,7,0.10,52.047,0.9999,nan,0.01866,0.9722
0,7,0.20,43.335,0.9995,nan,0.05087,0.9444
0,7,0.30,37.473,0.9980,nan,0.09991,0.8333
0,7,0.40,34.622,0.9962,nan,0.13872,0.8889
0,7,0.50,31.305,0.9919,nan,0.20324,0.7857
0,8,0.10,65.870,1.0000,0.00002,0.00448,1.0000
0,8,0.20,51.774,0.9999,0.00059,0.02269,0.9722
0,8,0.30,44.821,0.9994,0.00249,0.05052,0.9444
0,8,0.40,40.498,0.9983,nan,0.08310,0.9167
0,8,0.50,35.746,0.9948,nan,0.14362,0.8056
0,9,0.10,56.686,1.0000,0.00038,0.01501,1.0000
0,9,0.20,47.344,0.9997,0.00248,0.04400,0.9444
0,9,0.30,44.776,0.9995,0.00470,0.05913,0.8611
0,9,0.40,41.342,0.9988,nan,0.08781,0.8611
0,9,0.50,37.737,0.9973,nan,0.13298,0.8135
0,10,0.10,61.828,1.0000,nan,0.00876,0.9722
0,10,0.20,52.928,1.0000,nan,0.02440,0.9722
0,10,0.30,46.862,0.9998,nan,0.04906,0.9444
