layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.21909,1.88610,0.33300,5.66403,7.25361,-0.00000,0.55212,0,0.03518,1.76552,12,144,16
0,1,5.14564,2.81703,2.32861,1.20975,7.51221,-0.00000,0.45100,0,0.11605,1.40659,12,144,16
0,2,7.58980,3.96483,3.62497,1.09376,7.13798,-0.00000,0.58614,0,0.05552,1.93939,12,144,16
0,3,9.42583,5.81507,3.61076,1.61048,6.94749,-0.00000,0.63889,0,0.04365,2.32727,12,144,16
0,4,3.29609,2.15712,1.13897,1.89392,7.39860,-0.00000,0.49583,0,0.07086,1.55152,12,144,16
0,5,7.26710,3.40524,3.86186,0.88176,7.37067,-0.00000,0.50556,1,0.10089,1.54217,12,144,16
0,6,4.11839,2.71180,1.40659,1.92793,7.33661,-0.00000,0.52052,0,0.07857,1.61006,12,144,16
0,7,4.19179,2.25258,1.93921,1.16159,7.44546,-0.00000,0.47874,0,0.09991,1.46286,12,144,16
0,8,3.38200,2.36311,1.01889,2.31931,7.32134,-0.00000,0.52524,0,0.05052,1.60000,12,144,16
0,9,4.65989,2.05473,2.60516,0.78872,7.25645,-0.00000,0.54904,1,0.05913,1.70667,12,144,16
0,10,11.28451,5.51304,5.77147,0.95522,7.05766,-0.00000,0.61213,1,0.04906,2.08130,12,144,16
0,11,4.76413,1.95190,2.81223,0.69408,7.25204,-0.00000,0.54946,1,0.05044,1.75342,12,144,16
1,0,5.98350,2.45855,3.52495,0.69747,7.12833,-0.00000,0.59079,1,0.03531,1.92481,12,144,16
1,1,8.88068,3.44711,5.43357,0.63441,7.19822,-0.00000,0.57021,1,0.07374,1.80282,12,144,16
1,2,5.28598,2.90082,2.38517,1.21619,6.90718,-0.00000,0.63912,0,0.05214,2.18803,12,144,16
1,3,6.02877,2.37905,3.64971,0.65185,6.83801,-0.00000,0.65020,1,0.04111,2.28571,12,144,16
1,4,11.09077,4.44386,6.64691,0.66856,7.13566,-0.00000,0.58939,1,0.06584,1.92481,12,144,16
1,5,4.98460,2.35554,2.62906,0.89596,6.91336,-0.00000,0.63849,1,0.04558,2.11570,12,144,16
1,6,14.12009,4.63701,9.48308,0.48898,5.88046,-0.00000,0.81524,1,0.00694,5.33333,12,144,16
1,7,7.46648,2.73444,4.73205,0.57785,6.86772,-0.00000,0.64556,1,0.05188,2.28571,12,144,16
1,8,2.71847,1.75075,0.96772,1.80916,7.33117,-0.00000,0.52219,0,0.06173,1.54217,12,144,16
1,9,5.97104,2.64905,3.32200,0.79743,6.59650,-0.00000,0.70457,1,0.03350,3.12195,12,144,16
1,10,5.89111,2.96506,2.92605,1.01333,6.99226,-0.00000,0.61431,0,0.03676,2.04800,12,144,16
1,11,4.27453,2.46299,1.81154,1.35961,7.37335,-0.00000,0.50895,0,0.06969,1.51479,12,144,16
2,0,20.93959,7.15489,13.78469,0.51905,7.22935,-0.00000,0.55934,1,0.10152,1.88235,12,144,16
2,1,9.94589,3.46950,6.47640,0.53571,6.73207,-0.00000,0.68508,1,0.03891,2.61224,12,144,16
2,2,6.00166,2.50019,3.50147,0.71404,6.98843,-0.00000,0.62388,1,0.04958,2.09836,12,144,16
2,3,5.25183,2.61986,2.63197,0.99540,6.81548,-0.00000,0.66352,1,0.03922,2.41509,12,144,16
2,4,5.62972,2.26456,3.36516,0.67294,7.03584,-0.00000,0.61011,1,0.05498,1.96923,12,144,16
2,5,3.22524,1.90240,1.32285,1.43811,7.31162,-0.00000,0.53079,0,0.06159,1.67320,12,144,16
2,6,7.30153,3.72274,3.57878,1.04023,7.14000,-0.00000,0.58324,0,0.06304,1.86861,12,144,16
2,7,5.42490,2.57558,2.84932,0.90393,6.99270,-0.00000,0.61749,1,0.05115,2.01575,12,144,16
2,8,5.07147,2.14654,2.92493,0.73388,7.26099,-0.00000,0.54412,1,0.06866,1.61006,12,144,16
2,9,20.71381,7.08567,13.62813,0.51993,7.22907,-0.00000,0.55935,1,0.10680,1.88235,12,144,16
2,10,7.30656,2.53233,4.77423,0.53042,6.91665,-0.00000,0.64900,1,0.02651,2.41509,12,144,16
2,11,6.26350,2.29457,3.96893,0.57813,7.11760,-0.00000,0.58366,1,0.05222,1.88235,12,144,16
3,0,6.70539,4.08200,2.62339,1.55600,6.80175,-0.00000,0.67103,0,0.03242,2.66667,12,144,16
3,1,4.73092,3.18120,1.54972,2.05276,6.99963,-0.00000,0.62100,0,0.04426,2.11570,12,144,16
3,2,4.93004,3.26067,1.66937,1.95323,7.18749,-0.00000,0.56372,0,0.06834,1.76552,12,144,16
3,3,4.75619,3.19872,1.55748,2.05378,7.02249,-0.00000,0.61353,0,0.03947,2.03175,12,144,16
3,4,5.41876,3.68415,1.73462,2.12390,6.91694,-0.00000,0.63684,0,0.03117,2.20690,12,144,16
3,5,12.10065,4.31770,7.78294,0.55477,7.10669,-0.00000,0.59751,1,0.06987,1.98450,12,144,16
3,6,4.14520,2.88196,1.26323,2.28142,7.00759,-0.00000,0.62016,0,0.03994,2.09836,12,144,16
3,7,4.33813,2.41820,1.91993,1.25953,7.00439,-0.00000,0.61739,0,0.04234,2.00000,12,144,16
3,8,5.35131,2.82378,2.52753,1.11721,7.07771,-0.00000,0.60330,0,0.05328,2.01575,12,144,16
3,9,10.41562,3.53179,6.88383,0.51306,7.21059,-0.00000,0.56388,1,0.06385,1.82857,12,144,16
3,10,5.77265,2.26766,3.50500,0.64698,7.35431,-0.00000,0.51608,1,0.08588,1.63057,12,144,16
3,11,6.22465,2.96645,3.25821,0.91045,7.04568,-0.00000,0.60505,1,0.05931,2.00000,12,144,16
4,0,9.13699,6.22747,2.90953,2.14037,6.28282,-0.00000,0.74547,0,0.02645,3.93846,12,144,16
4,1,3.03462,1.99382,1.04080,1.91565,7.39199,-0.00000,0.49921,0,0.04972,1.62025,12,144,16
4,2,5.88244,3.67220,2.21024,1.66145,7.09380,-0.00000,0.57911,0,0.07671,1.77778,12,144,16
4,3,12.22721,8.40398,3.82323,2.19813,6.19020,-0.00000,0.76278,0,0.02070,4.19672,12,144,16
4,4,6.39270,4.00085,2.39185,1.67270,7.00261,-0.00000,0.61140,0,0.05905,1.96923,12,144,16
4,5,9.10198,5.09056,4.01142,1.26901,6.88616,-0.00000,0.64912,0,0.05047,2.28571,12,144,16
4,6,8.99523,5.58648,3.40875,1.63887,6.67606,-0.00000,0.68665,0,0.03494,2.63918,12,144,16
4,7,9.78514,5.54408,4.24106,1.30724,6.85554,-0.00000,0.65612,0,0.04886,2.39252,12,144,16
4,8,7.05256,4.59776,2.45480,1.87297,6.73506,-0.00000,0.67021,0,0.03322,2.41509,12,144,16
4,9,6.28064,4.48425,1.79639,2.49627,6.81755,-0.00000,0.64465,0,0.05340,2.28571,12,144,16
4,10,8.80904,5.05107,3.75797,1.34409,6.98369,-0.00000,0.62625,0,0.03746,2.15126,12,144,16
4,11,9.40736,5.88862,3.51874,1.67350,6.90775,-0.00000,0.63934,0,0.05731,2.16949,12,144,16
5,0,8.93133,6.49431,2.43702,2.66486,6.39590,-0.00000,0.73129,0,0.02934,3.24051,12,144,16
5,1,14.29098,9.19747,5.09350,1.80573,6.08568,-0.00000,0.79267,0,0.00850,4.65455,12,144,16
5,2,6.07479,4.16255,1.91224,2.17680,6.88137,-0.00000,0.63767,0,0.05223,2.22609,12,144,16
5,3,8.10167,4.72785,3.37383,1.40133,6.99426,-0.00000,0.61877,0,0.05757,2.04800,12,144,16
5,4,5.92868,4.26821,1.66047,2.57048,6.88069,-0.00000,0.63606,0,0.04552,2.16949,12,144,16
