layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,52.003,1.0000,0.00004,0.00873,0.9444
0,0,0.20,42.974,0.9998,0.00035,0.02468,0.9444
0,0,0.30,39.042,0.9994,0.00089,0.03881,0.9444
0,0,0.40,35.839,0.9987,0.00175,0.05611,0.9167
0,0,0.50,32.459,0.9973,0.00386,0.08280,0.8611
0,1,0.10,53.980,0.9999,nan,0.01956,1.0000
0,1,0.20,44.383,0.9994,nan,0.05904,0.9167
0,1,0.30,38.284,0.9975,nan,0.11915,0.8333
0,1,0.40,34.532,0.9941,nan,0.18353,0.8413
0,1,0.50,30.501,0.9850,nan,0.29191,0.8016
0,2,0.10,60.075,1.0000,nan,0.01006,1.0000
0,2,0.20,51.121,0.9999,nan,0.02819,0.9167
0,2,0.30,45.737,0.9997,nan,0.05240,0.8889
0,2,0.40,41.537,0.9992,nan,0.08498,0.8135
0,2,0.50,36.814,0.9977,nan,0.14637,0.7460
0,3,0.10,61.081,1.0000,nan,0.00823,1.0000
0,3,0.20,52.093,0.9999,nan,0.02317,0.9444
0,3,0.30,44.803,0.9997,nan,0.05364,0.8492
0,3,0.40,41.836,0.9995,nan,0.07547,0.8214
0,3,0.50,37.520,0.9985,nan,0.12405,0.7659
0,4,0.10,58.192,1.0000,0.00022,0.01271,0.9722
0,4,0.20,50.284,0.9998,0.00152,0.03158,0.9167
0,4,0.30,45.185,0.9993,nan,0.05681,0.8690
0,4,0.40,40.835,0.9981,nan,0.09373,0.8056
0,4,0.50,37.225,0.9955,nan,0.14204,0.7778
0,5,0.10,52.325,0.9999,nan,0.02342,1.0000
0,5,0.20,43.622,0.9994,nan,0.06378,0.9444
0,5,0.30,38.934,0.9982,nan,0.10942,0.9167
0,5,0.40,34.083,0.9944,nan,0.19125,0.8333
0,5,0.50,31.267,0.9892,nan,0.26450,0.8611
0,6,0.10,58.588,1.0000,0.00010,0.01072,0.9722
0,6,0.20,49.686,0.9998,0.00083,0.02988,0.9167
0,6,0.30,43.705,0.9992,nan,0.05948,0.8889
0,6,0.40,37.826,0.9971,nan,0.11703,0.8611
0,6,0.50,33.830,0.9926,0.02818,0.18539,0.8056
0,7,0.10,54.124,1.0000,0.00020,0.01469,1.0000
