layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.21909,1.88377,0.33533,5.61774,7.26540,-0.00000,0.54848,0,0.03881,1.74150,12,144,16
0,1,5.14563,2.71710,2.42854,1.11882,7.53457,-0.00000,0.43741,0,0.11915,1.43017,12,144,16
0,2,7.58980,4.61649,2.97330,1.55265,7.00883,-0.00000,0.61912,0,0.05240,2.11570,12,144,16
0,3,9.42583,6.11951,3.30633,1.85085,6.91507,-0.00000,0.64354,0,0.05364,2.22609,12,144,16
0,4,3.29609,2.04209,1.25400,1.62845,7.39008,-0.00000,0.50206,0,0.05681,1.53293,12,144,16
0,5,7.26710,3.41124,3.85586,0.88469,7.41212,-0.00000,0.49415,1,0.10942,1.47977,12,144,16
0,6,4.11839,2.74631,1.37209,2.00155,7.38152,-0.00000,0.50346,0,0.05948,1.56098,12,144,16
0,7,4.19179,2.25419,1.93760,1.16339,7.41090,-0.00000,0.49314,0,0.05888,1.54217,12,144,16
0,8,3.38200,2.31633,1.06567,2.17359,7.31983,-0.00000,0.53083,0,0.05588,1.65161,12,144,16
0,9,4.65989,2.48785,2.17204,1.14540,7.34090,-0.00000,0.50975,0,0.06748,1.59006,12,144,16
0,10,11.28451,5.75739,5.52712,1.04166,7.07432,-0.00000,0.60802,0,0.05927,2.01575,12,144,16
0,11,4.76413,2.40856,2.35558,1.02249,7.31134,-0.00000,0.52438,0,0.07202,1.58025,12,144,16
1,0,5.98350,3.25366,2.72984,1.19189,7.19754,-0.00000,0.56766,0,0.06438,1.76552,12,144,16
1,1,8.88068,4.15884,4.72184,0.88077,7.12633,-0.00000,0.59329,1,0.06803,1.93939,12,144,16
1,2,5.28598,3.21098,2.07500,1.54746,7.05342,-0.00000,0.60387,0,0.04333,1.96923,12,144,16
1,3,6.02876,3.34401,2.68475,1.24556,6.91490,-0.00000,0.62849,0,0.05275,2.15126,12,144,16
1,4,11.09077,5.20842,5.88236,0.88543,7.09169,-0.00000,0.60248,1,0.06762,1.95420,12,144,16
1,5,4.98460,2.88195,2.10265,1.37063,7.06570,-0.00000,0.59872,0,0.05855,1.95420,12,144,16
1,6,14.12009,7.21719,6.90289,1.04553,5.77597,-0.00000,0.83116,0,0.00605,6.91892,12,144,16
1,7,7.46648,4.01075,3.45573,1.16061,6.78674,-0.00000,0.66696,0,0.03187,2.43810,12,144,16
1,8,2.71847,1.92622,0.79225,2.43133,7.31151,-0.00000,0.52968,0,0.05528,1.61006,12,144,16
1,9,5.97104,3.39049,2.58055,1.31386,6.74658,-0.00000,0.67656,0,0.03265,2.66667,12,144,16
1,10,5.89111,3.45264,2.43847,1.41590,7.11692,-0.00000,0.58031,0,0.06290,1.85507,12,144,16
1,11,4.27453,2.48260,1.79193,1.38543,7.39080,-0.00000,0.50311,0,0.07404,1.57055,12,144,16
2,0,20.93959,7.42392,13.51567,0.54928,7.13870,-0.00000,0.58748,1,0.08026,1.89630,12,144,16
2,1,9.94589,4.98704,4.95885,1.00568,6.74524,-0.00000,0.68283,0,0.02810,2.66667,12,144,16
2,2,6.00166,3.20773,2.79393,1.14810,7.18786,-0.00000,0.55778,0,0.08406,1.71812,12,144,16
