layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.8688,7.1387,20.93959,0.5875,1.8963,1
2,9,0.8688,7.1469,20.71380,0.5855,1.8963,1
11,0,0.8558,6.2672,13.97885,0.7743,4.2667,1
11,6,0.8558,6.3493,13.07457,0.7611,3.9385,2
10,4,0.8520,6.7547,15.76343,0.6833,2.7234,1
10,6,0.8520,6.7411,14.68467,0.6864,2.6947,1
6,6,0.8428,6.6163,8.95252,0.7020,2.9091,5
7,1,0.8428,6.7096,7.95952,0.6786,2.5347,2
5,10,0.8137,6.8412,7.61714,0.6640,2.4151,1
6,9,0.8137,6.7923,8.18067,0.6712,2.4854,1
5,7,0.8104,6.6169,9.72552,0.7054,3.0843,1
6,5,0.8065,6.8316,7.79023,0.6608,2.4151,1
7,10,0.8065,6.7697,8.17838,0.6770,2.6667,2
5,6,0.8006,6.4830,12.37913,0.7361,3.5556,1
6,3,0.8006,6.3611,11.71628,0.7523,3.8788,1
5,3,0.7997,6.9220,8.10167,0.6392,2.2456,1
8,4,0.7997,6.9645,9.35908,0.6224,2.0645,1
3,2,0.7958,7.2451,4.93004,0.5544,1.7067,1
3,6,0.7958,7.1173,4.14520,0.5939,1.9394,1
7,9,0.7941,6.3302,9.29183,0.7536,4.0635,1
8,11,0.7941,6.4961,8.86572,0.7209,3.2000,1
1,4,0.7914,7.0917,11.09077,0.6025,1.9542,1
3,5,0.7914,7.0539,12.10064,0.6132,2.0813,1
10,7,0.7897,6.5645,13.24971,0.7178,3.2405,1
4,11,0.7844,6.9003,9.40736,0.6448,2.2456,1
7,2,0.7844,6.8543,8.14961,0.6451,2.1695,3
1,9,0.7755,6.7466,5.97104,0.6766,2.6667,1
2,3,0.7755,6.9634,5.25183,0.6316,2.0813,1
5,11,0.7627,6.6016,9.34481,0.7068,2.9425,2
8,0,0.7627,6.3568,8.59568,0.7461,3.9385,1
6,11,0.7287,7.1320,10.46031,0.5887,1.8963,1
7,4,0.7287,7.1064,10.11029,0.5952,1.9845,1
0,0,0.0000,7.2654,2.21909,0.5485,1.7415,0
0,1,0.0000,7.5346,5.14563,0.4374,1.4302,0
0,2,0.0000,7.0088,7.58980,0.6191,2.1157,0
0,3,0.0000,6.9151,9.42583,0.6435,2.2261,0
0,4,0.0000,7.3901,3.29609,0.5021,1.5329,0
0,5,0.0000,7.4121,7.26710,0.4941,1.4798,0
0,6,0.0000,7.3815,4.11839,0.5035,1.5610,0
0,7,0.0000,7.4109,4.19179,0.4931,1.5422,0
0,8,0.0000,7.3198,3.38200,0.5308,1.6516,0
0,9,0.0000,7.3409,4.65989,0.5098,1.5901,0
0,10,0.0000,7.0743,11.28451,0.6080,2.0157,0
0,11,0.0000,7.3113,4.76413,0.5244,1.5802,0
1,0,0.0000,7.1975,5.98350,0.5677,1.7655,0
1,1,0.0000,7.1263,8.88068,0.5933,1.9394,0
1,2,0.0000,7.0534,5.28598,0.6039,1.9692,0
1,3,0.0000,6.9149,6.02876,0.6285,2.1513,0
1,5,0.0000,7.0657,4.98460,0.5987,1.9542,0
1,6,0.0000,5.7760,14.12009,0.8312,6.9189,0
1,7,0.0000,6.7867,7.46648,0.6670,2.4381,0
1,8,0.0000,7.3115,2.71847,0.5297,1.6101,0
1,10,0.0000,7.1169,5.89111,0.5803,1.8551,0
1,11,0.0000,7.3908,4.27453,0.5031,1.5706,0
2,1,0.0000,6.7452,9.94589,0.6828,2.6667,0
2,2,0.0000,7.1879,6.00166,0.5578,1.7181,0
2,4,0.0000,7.1176,5.62972,0.5805,1.7778,0
2,5,0.0000,7.3783,3.22524,0.5046,1.5515,0
2,6,0.0000,7.1895,7.30153,0.5679,1.7297,0
2,7,0.0000,7.1191,5.42490,0.5773,1.8286,0
2,8,0.0000,7.3233,5.07147,0.5228,1.5802,0
2,10,0.0000,7.1259,7.30656,0.5869,1.8963,0
2,11,0.0000,7.0911,6.26350,0.5837,1.8417,0
3,0,0.0000,6.8475,6.70539,0.6646,2.3486,0
3,1,0.0000,7.0230,4.73092,0.6152,1.9692,0
3,3,0.0000,7.0841,4.75619,0.5989,1.9104,0
3,4,0.0000,7.1400,5.41876,0.5746,1.7415,0
3,7,0.0000,7.0906,4.33813,0.5979,1.9104,0
3,8,0.0000,7.1202,5.35131,0.5908,1.8551,0
3,9,0.0000,7.1375,10.41562,0.5859,1.8686,0
3,10,0.0000,7.3705,5.77265,0.5103,1.5329,0
3,11,0.0000,6.8759,6.22465,0.6525,2.4151,0
4,0,0.0000,6.3808,9.13699,0.7332,3.6056,0
4,1,0.0000,7.3018,3.03462,0.5365,1.6623,0
4,2,0.0000,7.0573,5.88244,0.5932,1.8417,0
4,3,0.0000,6.2109,12.22721,0.7642,4.4912,0
4,4,0.0000,7.0195,6.39270,0.6117,1.9542,0
4,5,0.0000,6.8276,9.10198,0.6609,2.3273,0
4,6,0.0000,6.6888,8.99523,0.6808,2.6122,0
4,7,0.0000,6.8356,9.78514,0.6627,2.4151,0
4,8,0.0000,6.7541,7.05256,0.6745,2.5600,0
