layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.920,1.0000,0.00007,0.01109,0.9722
0,0,0.20,39.360,0.9994,0.00078,0.03741,0.9167
0,0,0.30,35.368,0.9986,0.00197,0.05923,0.8611
0,0,0.40,31.936,0.9969,0.00462,0.08794,0.7857
0,0,0.50,29.630,0.9947,0.00763,0.11467,0.7034
0,1,0.10,53.032,0.9999,nan,0.02181,1.0000
0,1,0.20,45.140,0.9995,nan,0.05411,0.9167
0,1,0.30,38.654,0.9977,nan,0.11418,0.8333
0,1,0.40,34.773,0.9944,nan,0.17850,0.8135
0,1,0.50,31.265,0.9875,nan,0.26734,0.7857
0,2,0.10,75.369,1.0000,0.00006,0.00173,1.0000
0,2,0.20,61.627,1.0000,0.00088,0.00841,1.0000
0,2,0.30,55.132,1.0000,nan,0.01777,0.9722
0,2,0.40,47.877,0.9998,nan,0.04095,0.8889
0,2,0.50,43.299,0.9995,nan,0.06937,0.8135
0,3,0.10,66.509,1.0000,0.00022,0.00441,1.0000
0,3,0.20,59.510,1.0000,0.00118,0.00986,0.9722
0,3,0.30,52.878,1.0000,nan,0.02117,0.9444
0,3,0.40,48.071,0.9999,nan,0.03682,0.8968
0,3,0.50,43.560,0.9996,nan,0.06188,0.8214
0,4,0.10,58.514,1.0000,0.00014,0.01225,1.0000
0,4,0.20,50.047,0.9998,nan,0.03246,0.9722
0,4,0.30,44.622,0.9992,nan,0.06061,0.8611
0,4,0.40,39.519,0.9974,nan,0.10907,0.7857
0,4,0.50,35.856,0.9939,nan,0.16629,0.6825
0,5,0.10,52.079,0.9999,0.00123,0.02409,0.9722
0,5,0.20,44.970,0.9995,nan,0.05461,0.9444
0,5,0.30,40.393,0.9987,nan,0.09249,0.8611
0,5,0.40,35.464,0.9959,nan,0.16314,0.6954
0,5,0.50,32.104,0.9911,nan,0.24020,0.7024
0,6,0.10,59.189,1.0000,0.00011,0.01000,0.9722
0,6,0.20,46.947,0.9996,0.00203,0.04095,0.9722
0,6,0.30,42.173,0.9989,0.00489,0.07095,0.8889
0,6,0.40,38.586,0.9975,nan,0.10722,0.8333
0,6,0.50,34.941,0.9943,0.02044,0.16314,0.7500
0,7,0.10,50.348,0.9999,0.00115,0.02269,0.9722
0,7,0.20,43.427,0.9995,nan,0.05034,0.9722
0,7,0.30,39.487,0.9988,nan,0.07923,0.8889
0,7,0.40,35.124,0.9966,nan,0.13093,0.8333
0,7,0.50,31.344,0.9919,nan,0.20233,0.7857
