layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.21909,2.20158,0.01751,125.73953,7.01757,0.98031,0.51762,0,0.05923,1.92481,12,144,16
0,1,5.14563,4.98690,0.15874,31.41634,7.33710,0.97118,0.49277,4,0.11418,1.61006,12,144,16
0,2,7.58980,6.11781,1.47198,4.15617,6.62630,1.70154,0.70777,4,0.01777,3.08434,12,144,16
0,3,9.42583,7.31392,2.11191,3.46318,6.56061,1.79407,0.72255,4,0.02117,3.12195,12,144,16
0,4,3.29609,3.19292,0.10317,30.94873,7.06964,0.99491,0.55163,0,0.06061,1.80282,12,144,16
0,5,7.26710,6.76830,0.49880,13.56921,7.16032,1.14448,0.57039,4,0.09249,1.86861,12,144,16
0,6,4.11839,4.00639,0.11200,35.77135,7.06070,1.18196,0.57630,0,0.07095,1.95420,12,144,16
0,7,4.19179,3.86301,0.32878,11.74950,7.24651,1.20388,0.53028,4,0.07923,1.72973,12,144,16
0,8,3.38200,3.15730,0.22470,14.05104,7.03132,1.33069,0.56892,0,0.06649,1.95420,12,144,16
0,9,4.65989,4.35043,0.30946,14.05817,6.97499,1.27410,0.61060,4,0.06908,2.01575,12,144,16
0,10,11.28451,9.22130,2.06321,4.46939,6.60284,1.53504,0.71287,4,0.01140,3.12195,12,144,16
0,11,4.76413,4.44401,0.32012,13.88251,7.00894,1.27056,0.61162,4,0.06548,2.11570,12,144,16
1,0,5.98350,5.34155,0.64194,8.32094,6.72879,1.30995,0.67843,4,0.04507,2.69474,12,144,16
1,1,8.88068,7.93605,0.94464,8.40117,6.68630,1.34733,0.69830,4,0.00939,2.78261,12,144,16
1,2,5.28598,4.43030,0.85568,5.17753,6.70186,1.61884,0.67893,4,0.04117,2.61224,12,144,16
1,3,6.02876,5.36557,0.66320,8.09045,6.44264,1.45042,0.70976,4,0.03625,3.12195,12,144,16
1,4,11.09077,9.71154,1.37923,7.04129,6.62554,1.38371,0.70943,4,0.01007,3.04762,12,144,16
1,5,4.98460,4.48978,0.49482,9.07358,6.69772,1.39904,0.67664,4,0.04192,2.69474,12,144,16
1,6,14.12009,11.62803,2.49205,4.66605,5.00953,1.61349,0.89272,4,0.00103,15.05882,12,144,16
1,7,7.46648,6.57064,0.89584,7.33458,6.29705,1.45554,0.75057,4,0.02303,3.71014,12,144,16
1,8,2.71847,2.60811,0.11036,23.63292,6.99536,1.26064,0.58095,0,0.05070,1.95420,12,144,16
1,9,5.97104,5.21935,0.75170,6.94343,6.35516,1.49475,0.74136,4,0.02757,3.82090,12,144,16
1,10,5.89111,4.99061,0.90050,5.54204,6.76665,1.60407,0.65695,4,0.04125,2.41509,12,144,16
1,11,4.27453,4.01049,0.26404,15.18897,7.20023,1.19878,0.54308,4,0.09077,1.74150,12,144,16
2,0,20.93958,18.72742,2.21216,8.46565,6.28330,1.20203,0.74028,4,0.00000,3.28205,12,144,16
2,1,9.94589,8.56317,1.38272,6.19299,6.24392,1.52503,0.77749,4,0.01101,4.06349,12,144,16
2,2,6.00166,5.37767,0.62399,8.61820,6.81658,1.42998,0.64885,4,0.06679,2.34862,12,144,16
2,3,5.25183,4.65310,0.59872,7.77173,6.48613,1.43729,0.72690,4,0.03111,3.36842,12,144,16
2,4,5.62972,5.09239,0.53733,9.47720,6.80499,1.37252,0.64902,4,0.05778,2.30631,12,144,16
2,5,3.22524,3.04885,0.17639,17.28439,7.04601,1.24116,0.57415,0,0.06354,1.95420,12,144,16
2,6,7.30153,6.62786,0.67367,9.83850,6.95742,1.34258,0.62337,4,0.07507,2.13333,12,144,16
