layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.483,1.0000,0.00003,0.00736,1.0000
0,0,0.20,43.851,0.9998,0.00029,0.02231,0.9167
0,0,0.30,39.178,0.9994,0.00080,0.03820,0.8889
0,0,0.40,34.725,0.9984,0.00224,0.06379,0.8889
0,0,0.50,31.749,0.9968,0.00407,0.08985,0.8214
0,1,0.10,56.121,1.0000,0.00251,0.01528,1.0000
0,1,0.20,43.875,0.9993,nan,0.06260,0.9444
0,1,0.30,38.331,0.9975,nan,0.11850,0.9167
0,1,0.40,35.478,0.9953,nan,0.16459,0.8889
0,1,0.50,31.543,0.9882,nan,0.25889,0.8056
0,2,0.10,61.652,1.0000,nan,0.00839,0.9722
0,2,0.20,52.276,0.9999,nan,0.02468,0.8889
0,2,0.30,44.803,0.9996,nan,0.05835,0.8889
0,2,0.40,40.224,0.9989,nan,0.09885,0.8889
0,2,0.50,36.274,0.9974,nan,0.15575,0.7937
0,3,0.10,62.562,1.0000,nan,0.00694,0.9722
0,3,0.20,53.441,1.0000,nan,0.01984,0.9444
0,3,0.30,46.967,0.9998,nan,0.04180,0.8611
0,3,0.40,42.290,0.9995,nan,0.07163,0.8413
0,3,0.50,37.409,0.9985,nan,0.12564,0.8214
0,4,0.10,60.691,1.0000,0.00007,0.00953,0.9722
0,4,0.20,49.398,0.9997,0.00115,0.03498,0.9167
0,4,0.30,44.563,0.9992,nan,0.06103,0.9167
0,4,0.40,41.511,0.9983,nan,0.08672,0.9167
0,4,0.50,38.128,0.9964,nan,0.12801,0.8135
0,5,0.10,59.789,1.0000,0.00024,0.00992,0.9722
0,5,0.20,46.496,0.9997,nan,0.04581,0.9444
0,5,0.30,40.246,0.9986,nan,0.09407,0.8889
0,5,0.40,35.302,0.9957,nan,0.16621,0.9167
0,5,0.50,31.231,0.9891,nan,0.26559,0.7579
0,6,0.10,56.227,1.0000,0.00061,0.01407,0.9722
0,6,0.20,47.448,0.9997,0.00159,0.03866,0.9167
0,6,0.30,41.113,0.9986,nan,0.08016,0.9167
0,6,0.40,38.486,0.9975,nan,0.10846,0.9167
0,6,0.50,35.251,0.9947,nan,0.15741,0.8611
0,7,0.10,49.441,0.9999,nan,0.02519,0.9444
0,7,0.20,42.415,0.9994,nan,0.05656,0.9444
0,7,0.30,37.838,0.9982,nan,0.09580,0.8611
0,7,0.40,34.962,0.9965,nan,0.13339,0.8333
0,7,0.50,32.547,0.9939,nan,0.17616,0.7778
0,8,0.10,57.799,1.0000,0.00014,0.01134,1.0000
0,8,0.20,48.417,0.9997,0.00136,0.03339,0.9722
0,8,0.30,44.089,0.9992,0.00394,0.05496,0.8611
0,8,0.40,40.022,0.9981,nan,0.08779,0.8889
0,8,0.50,36.507,0.9956,nan,0.13158,0.7778
0,9,0.10,55.658,1.0000,0.00046,0.01689,0.9722
0,9,0.20,48.611,0.9998,0.00153,0.03802,0.9444
0,9,0.30,44.442,0.9994,0.00403,0.06145,0.8413
0,9,0.40,40.666,0.9986,0.01167,0.09491,0.8690
0,9,0.50,37.127,0.9968,nan,0.14265,0.8690
0,10,0.10,61.056,1.0000,nan,0.00957,0.9722
0,10,0.20,52.091,0.9999,nan,0.02687,0.9444
0,10,0.30,45.276,0.9997,nan,0.05888,0.8968
0,10,0.40,39.868,0.9991,nan,0.10974,0.7579
0,10,0.50,34.589,0.9969,nan,0.20153,0.6627
0,11,0.10,58.484,1.0000,nan,0.01298,1.0000
0,11,0.20,49.214,0.9998,nan,0.03775,0.9167
0,11,0.30,45.151,0.9995,nan,0.06027,0.8889
0,11,0.40,40.267,0.9985,nan,0.10576,0.8056
0,11,0.50,37.930,0.9974,nan,0.13841,0.7500
1,0,0.10,60.357,1.0000,nan,0.00848,1.0000
1,0,0.20,53.802,1.0000,nan,0.01803,0.9722
1,0,0.30,47.729,0.9998,nan,0.03628,0.9722
1,0,0.40,42.658,0.9994,nan,0.06506,0.9444
1,0,0.50,37.276,0.9981,nan,0.12089,0.8611
1,1,0.10,60.035,1.0000,nan,0.01061,0.8214
1,1,0.20,49.756,0.9999,nan,0.03463,0.8214
1,1,0.30,42.525,0.9995,nan,0.07962,0.7857
1,1,0.40,37.860,0.9985,nan,0.13623,0.7857
1,1,0.50,33.880,0.9961,nan,0.21543,0.6706
1,2,0.10,61.780,1.0000,0.00016,0.00833,0.9722
1,2,0.20,51.912,0.9999,nan,0.02594,0.8889
1,2,0.30,46.451,0.9997,nan,0.04864,0.8889
1,2,0.40,43.253,0.9994,nan,0.07029,0.8611
1,2,0.50,39.502,0.9985,nan,0.10824,0.7579
1,3,0.10,62.011,1.0000,0.00032,0.00774,0.9444
1,3,0.20,52.257,0.9999,nan,0.02380,0.9444
1,3,0.30,47.683,0.9998,nan,0.04029,0.8889
1,3,0.40,43.265,0.9995,nan,0.06701,0.8690
1,3,0.50,40.277,0.9990,nan,0.09451,0.8690
1,4,0.10,60.540,1.0000,nan,0.01112,0.9167
1,4,0.20,49.688,0.9999,nan,0.03877,0.8135
1,4,0.30,44.188,0.9996,nan,0.07303,0.7460
1,4,0.40,40.767,0.9992,nan,0.10829,0.6905
1,4,0.50,34.565,0.9966,nan,0.22114,0.6131
1,5,0.10,62.921,1.0000,0.00010,0.00645,1.0000
1,5,0.20,53.900,1.0000,0.00079,0.01821,1.0000
1,5,0.30,48.238,0.9998,0.00217,0.03495,0.8889
1,5,0.40,45.000,0.9997,nan,0.05075,0.9167
1,5,0.50,39.836,0.9989,nan,0.09195,0.8214
1,6,0.10,88.364,1.0000,nan,0.00046,1.0000
1,6,0.20,75.530,1.0000,nan,0.00200,0.9167
1,6,0.30,70.576,1.0000,nan,0.00354,0.8413
1,6,0.40,63.464,1.0000,nan,0.00803,0.8214
1,6,0.50,56.076,1.0000,nan,0.01880,0.6954
1,7,0.10,58.130,1.0000,0.00077,0.01353,1.0000
1,7,0.20,50.098,0.9999,nan,0.03411,0.9444
1,7,0.30,46.326,0.9998,nan,0.05266,0.9444
1,7,0.40,42.676,0.9994,nan,0.08016,0.8968
1,7,0.50,39.611,0.9988,nan,0.11409,0.8333
1,8,0.10,56.839,1.0000,0.00005,0.00727,1.0000
1,8,0.20,45.600,0.9998,0.00072,0.02651,0.9722
1,8,0.30,39.744,0.9993,0.00293,0.05203,1.0000
1,8,0.40,35.397,0.9981,nan,0.08582,0.9444
1,8,0.50,31.661,0.9955,nan,0.13194,0.8611
1,9,0.10,62.850,1.0000,0.00022,0.00614,1.0000
1,9,0.20,52.625,1.0000,0.00236,0.01992,0.9722
1,9,0.30,48.181,0.9999,0.00474,0.03323,0.9722
1,9,0.40,44.725,0.9997,nan,0.04946,0.9167
1,9,0.50,41.332,0.9994,nan,0.07311,0.9167
1,10,0.10,64.875,1.0000,0.00038,0.00655,1.0000
1,10,0.20,54.048,0.9999,0.00151,0.02280,0.9167
1,10,0.30,48.528,0.9998,nan,0.04304,0.8611
1,10,0.40,43.784,0.9993,nan,0.07432,0.8056
1,10,0.50,40.855,0.9986,nan,0.10412,0.8333
1,11,0.10,55.151,1.0000,nan,0.01222,0.9722
1,11,0.20,45.268,0.9997,nan,0.03811,0.8611
1,11,0.30,40.759,0.9992,nan,0.06405,0.7778
1,11,0.40,35.819,0.9974,nan,0.11312,0.8889
1,11,0.50,31.663,0.9932,nan,0.18252,0.8611
2,0,0.10,54.851,1.0000,nan,0.02171,0.3476
2,0,0.20,47.344,0.9999,nan,0.05152,0.3624
2,0,0.30,40.644,0.9995,nan,0.11142,0.3988
2,0,0.40,35.463,0.9983,nan,0.20231,0.3277
2,0,0.50,30.867,0.9951,nan,0.34344,0.3591
2,1,0.10,64.638,1.0000,nan,0.00633,1.0000
2,1,0.20,56.040,1.0000,nan,0.01704,0.9167
2,1,0.30,49.974,0.9999,nan,0.03427,0.8611
2,1,0.40,45.217,0.9997,nan,0.05925,0.8690
2,1,0.50,41.817,0.9994,nan,0.08765,0.8492
2,2,0.10,62.846,1.0000,0.00032,0.00701,1.0000
2,2,0.20,50.359,0.9999,nan,0.02953,0.9444
2,2,0.30,46.108,0.9997,nan,0.04818,0.9722
2,2,0.40,42.317,0.9994,nan,0.07454,0.8611
2,2,0.50,38.861,0.9986,nan,0.11096,0.8413
2,3,0.10,64.351,1.0000,0.00010,0.00582,1.0000
2,3,0.20,55.327,1.0000,0.00073,0.01644,0.9167
2,3,0.30,49.847,0.9999,0.00232,0.03089,0.8889
2,3,0.40,46.341,0.9997,0.00449,0.04625,0.8889
2,3,0.50,41.811,0.9993,nan,0.07792,0.7857
2,4,0.10,60.868,1.0000,0.00016,0.00808,0.9167
2,4,0.20,53.218,1.0000,nan,0.01949,0.9444
2,4,0.30,46.090,0.9998,0.00447,0.04429,0.8611
2,4,0.40,41.855,0.9994,nan,0.07211,0.8333
2,4,0.50,38.368,0.9986,nan,0.10774,0.7500
2,5,0.10,56.344,1.0000,0.00026,0.01461,1.0000
2,5,0.20,49.616,0.9998,0.00134,0.03169,0.9722
2,5,0.30,44.552,0.9993,0.00423,0.05677,0.9444
2,5,0.40,41.158,0.9984,0.00737,0.08391,0.8889
2,5,0.50,37.461,0.9964,nan,0.12842,0.8333
2,6,0.10,58.539,1.0000,nan,0.01058,0.9444
2,6,0.20,49.016,0.9999,nan,0.03168,0.9167
2,6,0.30,42.763,0.9994,nan,0.06508,0.9167
2,6,0.40,38.251,0.9984,nan,0.10939,0.8611
2,6,0.50,35.143,0.9967,nan,0.15647,0.8611
2,7,0.10,59.291,1.0000,0.00051,0.01208,0.9722
2,7,0.20,50.871,0.9999,nan,0.03185,0.9246
2,7,0.30,46.402,0.9997,nan,0.05328,0.9167
2,7,0.40,42.898,0.9992,nan,0.07975,0.8413
2,7,0.50,40.416,0.9986,nan,0.10613,0.7708
2,8,0.10,59.141,1.0000,0.00031,0.01120,0.9444
2,8,0.20,48.279,0.9998,nan,0.03912,0.9444
2,8,0.30,43.422,0.9994,nan,0.06843,0.8690
2,8,0.40,39.258,0.9984,nan,0.11053,0.8413
2,8,0.50,36.581,0.9971,nan,0.15043,0.7986
2,9,0.10,54.625,1.0000,nan,0.02228,0.3638
2,9,0.20,46.650,0.9999,nan,0.05581,0.3740
2,9,0.30,40.691,0.9995,nan,0.11082,0.4484
2,9,0.40,35.269,0.9982,nan,0.20688,0.3409
2,9,0.50,30.799,0.9949,nan,0.34611,0.3145
2,10,0.10,69.006,1.0000,nan,0.00416,1.0000
2,10,0.20,58.473,1.0000,nan,0.01398,0.9444
2,10,0.30,52.796,0.9999,nan,0.02687,0.9444
2,10,0.40,47.636,0.9998,nan,0.04867,0.8135
2,10,0.50,42.438,0.9993,nan,0.08855,0.7579
2,11,0.10,63.798,1.0000,nan,0.00763,0.9524
2,11,0.20,54.179,0.9999,nan,0.02311,0.9048
2,11,0.30,46.892,0.9997,nan,0.05346,0.8214
2,11,0.40,43.581,0.9993,nan,0.07827,0.7659
2,11,0.50,39.471,0.9982,nan,0.12564,0.7460
3,0,0.10,63.710,1.0000,nan,0.00522,0.9722
3,0,0.20,54.876,1.0000,nan,0.01445,0.8611
3,0,0.30,49.856,0.9999,nan,0.02575,0.8333
3,0,0.40,44.438,0.9998,nan,0.04804,0.8056
3,0,0.50,39.700,0.9993,nan,0.08290,0.7302
3,1,0.10,62.347,1.0000,nan,0.00695,0.9722
3,1,0.20,52.919,0.9999,nan,0.02057,0.9167
3,1,0.30,46.256,0.9997,nan,0.04430,0.8214
3,1,0.40,43.087,0.9994,nan,0.06381,0.7937
3,1,0.50,40.532,0.9989,nan,0.08564,0.7857
3,2,0.10,60.282,1.0000,nan,0.00887,1.0000
3,2,0.20,50.016,0.9999,nan,0.02892,0.9722
3,2,0.30,44.678,0.9996,nan,0.05346,0.8968
3,2,0.40,39.693,0.9987,nan,0.09490,0.8889
3,2,0.50,34.951,0.9962,nan,0.16383,0.8135
3,3,0.10,61.028,1.0000,nan,0.00614,0.9722
3,3,0.20,49.077,0.9999,nan,0.02431,0.9246
3,3,0.30,44.547,0.9997,nan,0.04096,0.9246
3,3,0.40,39.814,0.9992,nan,0.07062,0.8968
3,3,0.50,36.683,0.9983,nan,0.10127,0.8611
3,4,0.10,58.439,1.0000,0.00030,0.00960,1.0000
3,4,0.20,51.251,0.9999,nan,0.02196,0.9722
3,4,0.30,45.522,0.9998,nan,0.04247,0.9722
3,4,0.40,41.322,0.9994,nan,0.06888,0.8889
3,4,0.50,38.015,0.9988,nan,0.10080,0.7778
3,5,0.10,59.541,1.0000,nan,0.01249,0.8611
3,5,0.20,50.332,0.9999,nan,0.03606,0.7500
3,5,0.30,43.469,0.9996,nan,0.07948,0.6349
3,5,0.40,39.427,0.9990,nan,0.12657,0.5526
3,5,0.50,34.603,0.9970,nan,0.22056,0.5308
3,6,0.10,60.974,1.0000,0.00019,0.00617,1.0000
3,6,0.20,52.436,1.0000,nan,0.01650,0.9722
3,6,0.30,45.916,0.9998,nan,0.03494,0.9167
3,6,0.40,41.596,0.9994,nan,0.05746,0.9444
3,6,0.50,38.043,0.9987,nan,0.08650,0.8690
3,7,0.10,63.300,1.0000,0.00012,0.00613,1.0000
3,7,0.20,54.305,1.0000,0.00072,0.01727,0.9444
3,7,0.30,46.945,0.9997,nan,0.04031,0.8413
3,7,0.40,42.495,0.9993,0.00891,0.06728,0.8889
3,7,0.50,38.384,0.9982,nan,0.10800,0.7302
3,8,0.10,55.789,1.0000,nan,0.01469,0.9167
