layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.8687,7.2509,20.93959,0.5527,1.8417,1
2,9,0.8687,7.2517,20.71381,0.5523,1.8286,1
11,0,0.8563,6.2256,13.97885,0.7769,4.6545,1
11,6,0.8563,6.2220,13.07457,0.7793,4.6545,1
10,4,0.8545,6.6469,15.76343,0.7066,2.9767,1
10,6,0.8545,6.8273,14.68467,0.6613,2.3486,1
6,6,0.8334,6.6538,8.95252,0.6934,2.7527,4
7,1,0.8334,6.7916,7.95952,0.6608,2.4151,2
5,7,0.8083,6.8143,9.72552,0.6616,2.4381,1
6,5,0.8051,7.0900,7.79023,0.5976,1.9248,1
7,10,0.8051,6.9528,8.17838,0.6376,2.2655,1
5,6,0.8050,6.4073,12.37913,0.7475,3.6056,1
6,3,0.8050,6.2269,11.71628,0.7695,4.0000,1
5,10,0.8044,6.8425,7.61715,0.6625,2.4615,1
6,9,0.8044,6.5973,8.18067,0.7041,2.8764,1
5,3,0.8003,6.9139,8.10168,0.6424,2.2655,1
8,4,0.8003,6.9993,9.35908,0.6143,1.9692,1
3,2,0.7934,7.1621,4.93004,0.5726,1.8028,1
3,6,0.7934,6.9682,4.14520,0.6330,2.2456,1
1,4,0.7910,7.1142,11.09077,0.5964,2.0000,1
3,5,0.7910,7.1027,12.10065,0.5992,1.9692,1
6,7,0.7909,7.1214,5.56525,0.5845,1.8417,1
7,5,0.7909,6.8890,6.05465,0.6394,2.1695,1
1,9,0.7834,6.6060,5.97104,0.7022,3.0118,1
2,3,0.7834,6.7944,5.25183,0.6701,2.4151,1
4,11,0.7828,6.9103,9.40736,0.6387,2.2261,1
7,2,0.7828,6.8914,8.14961,0.6352,2.1333,3
5,11,0.7631,6.6498,9.34481,0.6939,2.7527,2
8,0,0.7631,6.5345,8.59568,0.7084,2.9767,1
0,0,0.0000,7.2731,2.21909,0.5461,1.7534,0
0,1,0.0000,7.4879,5.14564,0.4619,1.4382,0
0,2,0.0000,7.1287,7.58980,0.5886,1.9692,0
0,3,0.0000,6.9744,9.42583,0.6325,2.2655,0
0,4,0.0000,7.3759,3.29609,0.5045,1.5802,0
0,5,0.0000,7.3632,7.26710,0.5100,1.5329,0
0,6,0.0000,7.3244,4.11839,0.5261,1.6410,0
0,7,0.0000,7.4387,4.19179,0.4825,1.4971,0
0,8,0.0000,7.3083,3.38200,0.5321,1.6410,0
0,9,0.0000,7.2409,4.65989,0.5546,1.7534,0
0,10,0.0000,7.0677,11.28451,0.6097,2.0813,0
0,11,0.0000,7.2629,4.76413,0.5463,1.7297,0
1,0,0.0000,7.1106,5.98350,0.5966,1.9394,0
1,1,0.0000,7.1921,8.88068,0.5723,1.8551,0
1,2,0.0000,6.9276,5.28598,0.6324,2.0317,0
1,3,0.0000,6.8314,6.02877,0.6510,2.3063,0
1,5,0.0000,6.8749,4.98460,0.6502,2.2655,0
1,6,0.0000,5.7464,14.12009,0.8362,6.2439,0
1,7,0.0000,6.8129,7.46648,0.6618,2.5098,0
1,8,0.0000,7.3021,2.71847,0.5337,1.6000,0
1,10,0.0000,7.0114,5.89111,0.6082,1.9692,0
1,11,0.0000,7.3567,4.27453,0.5150,1.5610,0
