layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.38027,2.81354,1.56672,2.3362,7.2125,0.0000,0.5537,0.06152,0.0000
1,12,5.84878,3.78635,2.06243,2.4214,7.0159,0.0000,0.5999,0.05746,0.0000
2,12,7.91881,4.32697,3.59184,1.9233,7.0898,0.0000,0.5875,0.06741,0.3727
3,12,5.93851,3.66996,2.26855,2.2313,7.0967,0.0000,0.5899,0.06492,0.2764
4,12,7.73030,4.96484,2.76546,1.8679,6.8184,0.0000,0.6525,0.04703,0.0000
5,12,9.24704,5.90878,3.33826,1.8070,6.6602,0.0000,0.6875,0.03695,0.0000
6,12,8.61668,5.38676,3.22991,1.7464,6.8105,0.0000,0.6592,0.04815,0.0000
7,12,9.49889,6.09206,3.40683,1.9258,6.5913,0.0000,0.6947,0.03804,0.2764
8,12,7.48229,4.99336,2.48893,2.3144,6.7582,0.0000,0.6606,0.04169,0.0000
9,12,7.10746,4.84563,2.26182,2.4342,6.6989,0.0000,0.6683,0.04062,0.0000
10,12,12.57488,7.32518,5.24971,1.7121,6.6000,0.0000,0.6995,0.03748,0.0000
11,12,9.21154,7.67201,1.53953,5.0119,6.1964,0.0000,0.7659,0.01609,0.0000
