layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9227,7.1198,18.93243,0.5926,2.0317,1
2,9,0.9227,7.1190,18.68824,0.5928,2.0317,1
5,0,0.8164,6.7745,9.01456,0.6707,2.5600,3
6,6,0.8164,6.7439,8.67622,0.6781,2.5347,4
5,3,0.8119,6.7501,8.19557,0.6725,2.4615,1
6,2,0.8119,6.9143,8.18991,0.6386,2.2655,1
5,1,0.8089,5.9864,13.39257,0.8000,5.3333,1
7,3,0.8089,5.8101,12.71802,0.8188,6.4000,1
11,0,0.8082,5.7335,11.70745,0.8362,6.4000,2
11,4,0.8082,5.9282,10.91490,0.8100,6.0952,1
4,8,0.8052,6.6943,7.40517,0.6787,2.5859,2
8,0,0.8052,6.5706,7.71669,0.7111,3.0476,3
1,7,0.8028,7.0444,4.43939,0.5972,1.8686,3
2,3,0.8028,6.8986,4.54332,0.6361,2.1513,2
11,10,0.8027,5.8611,10.94845,0.8194,6.0952,2
4,7,0.7893,6.5089,10.84699,0.7236,3.2000,1
5,6,0.7893,6.5806,11.41432,0.7100,2.9767,1
9,6,0.7846,5.9311,10.36748,0.8037,5.8182,1
4,11,0.7838,6.8047,9.39006,0.6626,2.4151,2
7,2,0.7830,6.9386,7.99603,0.6371,2.2261,2
7,1,0.7829,6.6989,8.27605,0.6850,2.5600,1
9,1,0.7779,6.6715,7.35695,0.6923,2.8132,3
1,5,0.7688,7.0506,4.68766,0.6001,1.9248,1
1,9,0.7684,6.8813,3.73306,0.6382,2.1880,1
4,3,0.7639,6.5235,10.68674,0.7218,3.2821,1
5,11,0.7639,6.4373,9.98297,0.7331,3.2821,2
2,7,0.7624,6.9565,4.18880,0.6093,2.0480,1
6,8,0.7600,6.8447,7.46634,0.6607,2.5347,1
5,10,0.7446,6.8839,7.17107,0.6515,2.3925,2
6,9,0.7446,6.7563,7.24105,0.6698,2.4854,1
10,3,0.7415,6.3933,10.46388,0.7467,3.7647,1
9,3,0.7401,6.5866,7.21304,0.6913,2.8444,1
4,10,0.7350,6.8347,6.94930,0.6574,2.3704,1
0,0,0.0000,7.2098,1.90134,0.5675,1.8963,0
0,1,0.0000,7.4037,4.35341,0.4883,1.4713,0
0,2,0.0000,6.9909,6.39042,0.6259,2.2069,0
0,3,0.0000,6.8707,8.12693,0.6550,2.3925,0
0,4,0.0000,7.3289,2.66620,0.5217,1.6516,0
0,5,0.0000,7.3209,4.86914,0.5175,1.5422,0
0,6,0.0000,7.4061,2.51587,0.4974,1.5515,0
0,7,0.0000,7.4315,2.87475,0.4748,1.4713,0
0,8,0.0000,7.2514,2.65565,0.5493,1.6954,0
0,9,0.0000,7.2404,3.74701,0.5432,1.6516,0
0,10,0.0000,6.8482,8.62161,0.6638,2.4615,0
0,11,0.0000,7.2470,3.84087,0.5403,1.7067,0
1,0,0.0000,7.2867,3.10443,0.5322,1.6732,0
1,1,0.0000,6.9733,8.57940,0.6334,2.2655,0
1,2,0.0000,7.0777,4.34612,0.5925,1.8551,0
1,3,0.0000,7.3765,4.60333,0.4983,1.5238,0
1,4,0.0000,7.0249,9.16649,0.6189,2.1333,0
1,6,0.0000,5.9679,14.18379,0.8096,4.8302,0
1,8,0.0000,7.2988,2.39633,0.5318,1.6203,0
1,10,0.0000,6.9251,5.97267,0.6209,1.9692,0
1,11,0.0000,7.2839,4.97267,0.5260,1.5515,0
2,1,0.0000,6.8519,8.05169,0.6529,2.3704,0
2,2,0.0000,6.9055,7.41589,0.6371,2.2261,0
2,4,0.0000,7.0408,4.97119,0.5965,1.9248,0
