layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.38027,2.58745,1.79281,1.9211,7.2277,0.0000,0.5548,0.05523,0.2764
1,12,5.84878,3.06040,2.78837,1.3530,7.0247,0.0000,0.6011,0.05362,0.4330
2,12,7.91881,3.50782,4.41099,1.0234,7.0769,0.0000,0.5969,0.06177,0.5000
3,12,5.93851,2.98734,2.95117,1.2408,7.1198,0.0000,0.5879,0.05433,0.4930
4,12,7.73030,3.93051,3.79979,1.0663,6.8609,0.0000,0.6465,0.04340,0.4330
5,12,9.24704,4.58612,4.66091,1.0164,6.6813,0.0000,0.6851,0.03438,0.4930
6,12,8.61667,4.12531,4.49137,0.9445,6.8588,0.0000,0.6524,0.04172,0.4714
7,12,9.49889,4.85601,4.64288,1.1225,6.6490,0.0000,0.6860,0.03504,0.4714
8,12,7.48229,3.93044,3.55185,1.2514,6.8084,0.0000,0.6550,0.03961,0.4930
9,12,7.10746,3.84375,3.26371,1.2825,6.7599,0.0000,0.6616,0.03734,0.4330
10,12,12.57488,7.46901,5.10588,1.7157,6.6373,0.0000,0.6939,0.03634,0.2764
11,12,9.21154,7.52117,1.69037,4.4420,6.4473,0.0000,0.7319,0.02227,0.0000
