layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.90134,1.59522,0.30613,5.21096,7.19053,-0.00000,0.57338,0,0.03140,1.95420,13,169,16
0,1,4.35341,2.27828,2.07513,1.09790,7.39423,-0.00000,0.49259,0,0.10125,1.47977,13,169,16
0,2,6.39042,4.02341,2.36701,1.69978,7.00466,-0.00000,0.62272,0,0.05165,2.18803,13,169,16
0,3,8.12693,5.16589,2.96104,1.74462,6.89772,-0.00000,0.64924,0,0.03781,2.34862,13,169,16
0,4,2.66620,1.90304,0.76315,2.49366,7.32846,-0.00000,0.52235,0,0.05565,1.65161,13,169,16
0,5,4.86914,2.61739,2.25175,1.16238,7.32655,-0.00000,0.51655,0,0.08408,1.60000,13,169,16
0,6,2.51587,1.80799,0.70788,2.55408,7.39116,-0.00000,0.50336,0,0.05335,1.57055,13,169,16
0,7,2.87475,1.90218,0.97258,1.95581,7.44240,-0.00000,0.47073,0,0.08074,1.44633,13,169,16
0,8,2.65565,2.10905,0.54660,3.85847,7.26933,-0.00000,0.54450,0,0.05242,1.68421,13,169,16
0,9,3.74701,2.24169,1.50532,1.48918,7.23064,-0.00000,0.54515,0,0.06184,1.69536,13,169,16
0,10,8.62161,5.13705,3.48456,1.47423,6.81651,-0.00000,0.67094,0,0.03251,2.48544,13,169,16
0,11,3.84087,2.59334,1.24753,2.07878,7.23654,-0.00000,0.54327,0,0.03987,1.70667,13,169,16
1,0,3.10443,2.35250,0.75193,3.12859,7.26464,-0.00000,0.54160,0,0.05131,1.69536,13,169,16
1,1,8.57940,4.25475,4.32465,0.98384,6.96140,-0.00000,0.63640,1,0.05866,2.28571,13,169,16
1,2,4.34612,3.07764,1.26848,2.42624,7.06506,-0.00000,0.59694,0,0.05277,1.91045,13,169,16
1,3,4.60333,2.87888,1.72445,1.66945,7.37716,-0.00000,0.49803,0,0.08093,1.56098,13,169,16
1,4,9.16649,4.61510,4.55140,1.01400,7.00937,-0.00000,0.62364,0,0.04620,2.11570,13,169,16
1,5,4.68766,3.27608,1.41158,2.32086,7.08438,-0.00000,0.58876,0,0.06094,1.81560,13,169,16
1,6,14.18379,9.13126,5.05253,1.80726,5.90686,-0.00000,0.81955,0,0.00601,5.22449,13,169,16
1,7,4.43939,3.37244,1.06695,3.16081,7.04698,-0.00000,0.59697,0,0.04659,1.85507,13,169,16
1,8,2.39633,1.91997,0.47637,4.03046,7.27597,-0.00000,0.53902,0,0.05343,1.64103,13,169,16
1,9,3.73306,2.99367,0.73939,4.04883,6.89347,-0.00000,0.63737,0,0.03611,2.20690,13,169,16
1,10,5.97267,4.04101,1.93167,2.09198,6.92407,-0.00000,0.62390,0,0.05004,2.03175,13,169,16
1,11,4.97267,2.96331,2.00936,1.47475,7.27672,-0.00000,0.53032,0,0.08743,1.57055,13,169,16
2,0,18.93243,7.23494,11.69749,0.61850,7.14128,-0.00000,0.58790,1,0.09052,2.00000,13,169,16
2,1,8.05168,5.24577,2.80592,1.86954,6.80988,-0.00000,0.66130,0,0.04673,2.43810,13,169,16
2,2,7.41589,4.56727,2.84862,1.60333,6.85167,-0.00000,0.65049,0,0.05551,2.34862,13,169,16
2,3,4.54332,3.41097,1.13234,3.01231,6.90355,-0.00000,0.63564,0,0.03969,2.13333,13,169,16
2,4,4.97119,3.57458,1.39660,2.55948,7.07426,-0.00000,0.58487,0,0.07658,1.89630,13,169,16
2,5,4.16364,2.54055,1.62309,1.56526,7.27412,-0.00000,0.54253,0,0.06145,1.71812,13,169,16
2,6,7.41849,3.85908,3.55941,1.08419,7.18090,-0.00000,0.57098,0,0.07846,1.80282,13,169,16
2,7,4.18880,3.35139,0.83741,4.00209,6.97677,-0.00000,0.60488,0,0.04262,2.03175,13,169,16
2,8,4.83897,3.29254,1.54643,2.12913,7.27240,-0.00000,0.52724,0,0.10667,1.60000,13,169,16
2,9,18.68825,7.13124,11.55700,0.61705,7.13347,-0.00000,0.58997,1,0.08642,2.01575,13,169,16
2,10,7.14159,3.93210,3.20949,1.22515,7.22429,-0.00000,0.55355,0,0.09770,1.70667,13,169,16
2,11,4.67143,3.08165,1.58977,1.93842,7.15333,-0.00000,0.56341,0,0.05813,1.77778,13,169,16
3,0,6.48350,4.02699,2.45650,1.63932,7.05338,-0.00000,0.61086,0,0.06892,2.03175,13,169,16
3,1,3.70488,2.59617,1.10871,2.34162,7.10848,-0.00000,0.58868,0,0.03977,1.92481,13,169,16
3,2,4.32597,2.98135,1.34462,2.21725,7.25765,-0.00000,0.54541,0,0.06963,1.75342,13,169,16
3,3,4.42061,2.90942,1.51119,1.92525,7.09905,-0.00000,0.59622,0,0.05526,1.89630,13,169,16
3,4,3.99106,2.59688,1.39418,1.86267,7.28324,-0.00000,0.53582,0,0.07139,1.62025,13,169,16
3,5,12.10484,6.08548,6.01937,1.01098,6.93778,-0.00000,0.64268,0,0.04472,2.32727,13,169,16
3,6,3.61812,3.06292,0.55520,5.51682,7.03228,-0.00000,0.60278,0,0.04613,1.93939,13,169,16
3,7,3.72007,2.71502,1.00505,2.70139,7.18880,-0.00000,0.56283,0,0.06113,1.77778,13,169,16
3,8,5.05678,3.30343,1.75334,1.88407,7.06719,-0.00000,0.60187,0,0.04629,1.96923,13,169,16
3,9,11.97282,5.69452,6.27830,0.90702,6.89929,-0.00000,0.65082,1,0.03792,2.32727,13,169,16
3,10,5.73527,3.34939,2.38588,1.40384,7.21377,-0.00000,0.55567,0,0.10324,1.72973,13,169,16
3,11,6.12825,4.21091,1.91735,2.19622,6.89140,-0.00000,0.63814,0,0.05219,2.16949,13,169,16
4,0,6.68894,4.01802,2.67092,1.50436,7.06811,-0.00000,0.59676,0,0.07010,1.92481,13,169,16
4,1,3.99785,2.23717,1.76068,1.27063,7.33797,-0.00000,0.52074,0,0.06420,1.67320,13,169,16
4,2,6.32981,4.30063,2.02918,2.11940,6.80264,-0.00000,0.66237,0,0.03939,2.48544,13,169,16
4,3,10.68674,6.95555,3.73119,1.86416,6.50853,-0.00000,0.72616,0,0.03132,3.28205,13,169,16
4,4,5.68591,3.39933,2.28657,1.48665,7.09765,-0.00000,0.59025,0,0.05497,1.91045,13,169,16
4,5,10.45201,5.91558,4.53643,1.30402,6.73931,-0.00000,0.68532,0,0.04014,2.58586,13,169,16
4,6,8.64631,5.69704,2.94928,1.93167,6.41699,-0.00000,0.72969,0,0.03200,3.41333,13,169,16
4,7,10.84699,6.62675,4.22024,1.57023,6.47074,-0.00000,0.73347,0,0.02706,3.36842,13,169,16
4,8,7.40517,5.12339,2.28178,2.24535,6.66181,-0.00000,0.68535,0,0.03726,2.63918,13,169,16
4,9,5.68454,4.16265,1.52188,2.73520,6.77370,-0.00000,0.66402,0,0.04037,2.46154,13,169,16
4,10,6.94930,4.33098,2.61832,1.65411,6.74650,-0.00000,0.67870,0,0.03094,2.58586,13,169,16
4,11,9.39006,5.81645,3.57361,1.62761,6.77821,-0.00000,0.67064,0,0.04297,2.41509,13,169,16
5,0,9.01456,5.76840,3.24616,1.77699,6.66680,-0.00000,0.69545,0,0.03050,2.72340,13,169,16
5,1,13.39257,8.72771,4.66486,1.87095,5.88395,-0.00000,0.81746,0,0.01297,5.95349,13,169,16
5,2,5.82805,3.64169,2.18636,1.66564,6.95185,-0.00000,0.63236,0,0.04947,2.16949,13,169,16
5,3,8.19557,5.03962,3.15595,1.59687,6.66172,-0.00000,0.69361,0,0.03588,2.69474,13,169,16
5,4,5.77175,3.67338,2.09836,1.75060,7.03391,-0.00000,0.60705,0,0.05006,1.96923,13,169,16
5,5,11.99438,8.16436,3.83002,2.13167,6.02368,-0.00000,0.79795,0,0.01320,4.49123,13,169,16
5,6,11.41432,7.22739,4.18694,1.72617,6.52387,-0.00000,0.72354,0,0.02946,3.12195,13,169,16
5,7,10.54616,6.33249,4.21367,1.50285,6.67040,-0.00000,0.69545,0,0.03297,2.75269,13,169,16
5,8,7.14014,4.69364,2.44650,1.91851,6.65374,-0.00000,0.68953,0,0.03046,2.66667,13,169,16
5,9,10.51290,5.43365,5.07925,1.06977,6.93817,-0.00000,0.64326,0,0.05827,2.28571,13,169,16
5,10,7.17107,4.57788,2.59319,1.76535,6.84785,-0.00000,0.66000,0,0.03270,2.39252,13,169,16
5,11,9.98297,6.66789,3.31508,2.01138,6.35075,-0.00000,0.75160,0,0.02281,3.50685,13,169,16
6,0,10.27374,5.78753,4.48621,1.29007,6.79744,-0.00000,0.66265,0,0.06356,2.41509,13,169,16
6,1,6.29932,3.54008,2.75925,1.28299,6.98299,-0.00000,0.62489,0,0.05063,2.11570,13,169,16
6,2,8.18991,4.98830,3.20161,1.55806,6.87257,-0.00000,0.64972,0,0.05363,2.32727,13,169,16
6,3,10.04356,6.63206,3.41150,1.94403,6.61429,-0.00000,0.70685,0,0.02862,2.87640,13,169,16
6,4,9.06183,5.48186,3.57997,1.53126,6.65025,-0.00000,0.69411,0,0.04328,2.75269,13,169,16
6,5,9.59071,5.19852,4.39219,1.18358,6.94442,-0.00000,0.63472,0,0.05717,2.15126,13,169,16
6,6,8.67622,5.55231,3.12390,1.77736,6.67406,-0.00000,0.69428,0,0.03150,2.63918,13,169,16
6,7,5.14189,3.12585,2.01604,1.55049,7.08444,-0.00000,0.59230,0,0.05386,1.85507,13,169,16
6,8,7.46634,4.79626,2.67007,1.79630,6.79390,-0.00000,0.67469,0,0.02523,2.56000,13,169,16
6,9,7.24105,5.27152,1.96953,2.67654,6.73931,-0.00000,0.67685,0,0.03705,2.56000,13,169,16
