layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.38027,2.78121,1.59906,2.2350,7.2107,0.0000,0.5546,0.05688,0.0000
1,12,5.84878,3.73972,2.10906,2.3464,7.0072,0.0000,0.6027,0.05253,0.2764
2,12,7.91881,4.26851,3.65030,1.8520,7.0830,0.0000,0.5894,0.07004,0.3727
3,12,5.93851,3.62771,2.31081,2.1339,7.0860,0.0000,0.5943,0.05805,0.2764
4,12,7.73030,4.88196,2.84834,1.7761,6.7835,0.0000,0.6620,0.04256,0.0000
5,12,9.24704,5.82901,3.41803,1.7322,6.6006,0.0000,0.7006,0.03323,0.0000
6,12,8.61668,5.29828,3.31839,1.6545,6.7731,0.0000,0.6687,0.04261,0.0000
7,12,9.49889,5.98508,3.51381,1.8223,6.5599,0.0000,0.7018,0.03487,0.2764
8,12,7.48229,4.90725,2.57504,2.1805,6.7118,0.0000,0.6725,0.03863,0.0000
9,12,7.10746,4.77620,2.33125,2.3096,6.6644,0.0000,0.6766,0.03971,0.0000
10,12,12.57488,7.32244,5.25244,1.7129,6.5986,0.0000,0.7006,0.03824,0.0000
11,12,9.21154,7.65241,1.55913,4.9505,6.2537,0.0000,0.7597,0.01603,0.0000
