layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,55.262,1.0000,0.00001,0.00468,1.0000
0,0,0.20,45.595,0.9999,0.00012,0.01423,0.9744
0,0,0.30,38.740,0.9996,0.00059,0.03133,0.9231
0,0,0.40,34.714,0.9990,0.00141,0.04981,0.9231
0,0,0.50,31.624,0.9979,0.00279,0.07109,0.8205
0,1,0.10,56.432,1.0000,0.00045,0.01313,0.9487
0,1,0.20,44.750,0.9996,nan,0.05038,0.8974
0,1,0.30,39.499,0.9986,nan,0.09222,0.8462
0,1,0.40,36.933,0.9974,nan,0.12391,0.8791
0,1,0.50,32.671,0.9931,nan,0.20239,0.7912
0,2,0.10,60.712,1.0000,nan,0.00927,1.0000
0,2,0.20,52.922,0.9999,nan,0.02272,0.9744
0,2,0.30,46.863,0.9998,nan,0.04564,0.9048
0,2,0.40,40.280,0.9990,nan,0.09739,0.8022
0,2,0.50,36.705,0.9978,nan,0.14698,0.7079
0,3,0.10,65.242,1.0000,0.00036,0.00465,1.0000
0,3,0.20,55.676,1.0000,nan,0.01400,1.0000
0,3,0.30,48.874,0.9999,nan,0.03064,0.9487
0,3,0.40,44.383,0.9997,nan,0.05138,0.9231
0,3,0.50,39.140,0.9990,nan,0.09396,0.8462
0,4,0.10,58.668,1.0000,0.00011,0.01261,1.0000
0,4,0.20,49.218,0.9997,0.00123,0.03743,0.9231
0,4,0.30,44.336,0.9990,0.00360,0.06566,0.8462
0,4,0.40,40.078,0.9973,nan,0.10721,0.7949
0,4,0.50,36.917,0.9943,nan,0.15427,0.6777
0,5,0.10,54.930,0.9999,0.00038,0.01890,0.9487
0,5,0.20,46.755,0.9996,nan,0.04844,0.9231
0,5,0.30,40.330,0.9981,nan,0.10150,0.8278
0,5,0.40,36.278,0.9951,nan,0.16183,0.7766
0,5,0.50,33.942,0.9916,nan,0.21177,0.6886
0,6,0.10,50.943,0.9999,0.00019,0.01368,1.0000
0,6,0.20,42.234,0.9996,0.00229,0.03729,0.9487
0,6,0.30,37.987,0.9990,nan,0.06081,0.9744
0,6,0.40,33.826,0.9974,nan,0.09818,0.8974
0,6,0.50,30.336,0.9941,nan,0.14672,0.8718
0,7,0.10,54.355,1.0000,nan,0.01454,1.0000
0,7,0.20,46.421,0.9997,nan,0.03626,1.0000
0,7,0.30,39.435,0.9986,nan,0.08104,0.8718
0,7,0.40,35.340,0.9964,nan,0.12986,0.7949
0,7,0.50,31.351,0.9910,nan,0.20553,0.8022
0,8,0.10,56.001,1.0000,0.00022,0.00880,1.0000
0,8,0.20,46.457,0.9998,nan,0.02640,0.9744
0,8,0.30,40.237,0.9992,nan,0.05403,0.9487
0,8,0.40,36.512,0.9982,nan,0.08295,0.9231
0,8,0.50,33.541,0.9963,nan,0.11680,0.8791
0,9,0.10,55.173,1.0000,0.00011,0.01192,0.9487
0,9,0.20,47.838,0.9998,0.00101,0.02773,0.9487
0,9,0.30,42.290,0.9993,0.00304,0.05251,0.8974
0,9,0.40,36.783,0.9976,0.00927,0.09900,0.8205
0,9,0.50,33.690,0.9951,0.02018,0.14134,0.7692
0,10,0.10,64.470,1.0000,nan,0.00719,1.0000
0,10,0.20,57.183,1.0000,nan,0.01664,0.9231
0,10,0.30,49.831,0.9999,nan,0.03879,0.9487
0,10,0.40,43.946,0.9995,nan,0.07638,0.8974
0,10,0.50,38.627,0.9984,nan,0.14091,0.8205
0,11,0.10,58.453,1.0000,nan,0.00930,1.0000
0,11,0.20,48.959,0.9999,nan,0.02773,1.0000
0,11,0.30,42.478,0.9994,nan,0.05848,0.9744
0,11,0.40,36.424,0.9977,nan,0.11741,0.8974
0,11,0.50,33.922,0.9960,nan,0.15661,0.8462
1,0,0.10,59.604,1.0000,nan,0.00783,1.0000
1,0,0.20,50.496,0.9999,nan,0.02234,1.0000
1,0,0.30,46.011,0.9997,0.00287,0.03744,1.0000
1,0,0.40,41.549,0.9993,0.00619,0.06259,0.9231
1,0,0.50,37.449,0.9982,nan,0.10034,0.8791
1,1,0.10,67.354,1.0000,nan,0.00470,0.9744
1,1,0.20,53.548,1.0000,nan,0.02302,0.9231
1,1,0.30,45.067,0.9997,nan,0.06112,0.8462
1,1,0.40,40.127,0.9991,nan,0.10795,0.7582
1,1,0.50,35.123,0.9972,nan,0.19205,0.6190
1,2,0.10,58.296,1.0000,0.00033,0.01240,0.9744
1,2,0.20,47.978,0.9998,nan,0.04067,0.9231
1,2,0.30,42.860,0.9994,nan,0.07332,0.8974
1,2,0.40,38.570,0.9983,nan,0.12014,0.8974
1,2,0.50,35.578,0.9967,nan,0.16955,0.8535
1,3,0.10,66.496,1.0000,0.00006,0.00471,0.9487
1,3,0.20,58.374,1.0000,0.00029,0.01199,0.9231
1,3,0.30,51.313,0.9999,nan,0.02704,0.9487
1,3,0.40,46.344,0.9998,nan,0.04791,0.8462
1,3,0.50,42.612,0.9995,nan,0.07363,0.7582
1,4,0.10,65.317,1.0000,nan,0.00703,0.9423
1,4,0.20,54.247,1.0000,nan,0.02514,0.8910
1,4,0.30,46.404,0.9997,nan,0.06203,0.7885
1,4,0.40,42.584,0.9993,nan,0.09628,0.7851
1,4,0.50,35.947,0.9969,nan,0.20673,0.6566
1,5,0.10,62.340,1.0000,0.00007,0.00670,1.0000
1,5,0.20,51.685,0.9999,0.00063,0.02285,0.9744
1,5,0.30,44.702,0.9996,0.00268,0.05105,0.9487
1,5,0.40,40.560,0.9988,nan,0.08224,0.8974
1,5,0.50,37.354,0.9976,0.01309,0.11896,0.8022
1,6,0.10,77.288,1.0000,nan,0.00177,0.9487
1,6,0.20,67.551,1.0000,nan,0.00542,0.8718
1,6,0.30,59.744,1.0000,nan,0.01331,0.7839
1,6,0.40,53.293,1.0000,nan,0.02797,0.6337
1,6,0.50,48.062,0.9999,nan,0.05108,0.5577
1,7,0.10,58.911,1.0000,0.00038,0.01303,0.9744
1,7,0.20,50.595,0.9999,nan,0.03393,0.8718
1,7,0.30,45.142,0.9995,nan,0.06358,0.8974
1,7,0.40,41.796,0.9990,nan,0.09345,0.8278
1,7,0.50,37.144,0.9970,nan,0.15967,0.7692
1,8,0.10,55.606,1.0000,0.00006,0.00816,0.9744
1,8,0.20,47.808,0.9999,0.00034,0.02002,0.9231
1,8,0.30,42.596,0.9996,0.00167,0.03647,0.8462
1,8,0.40,38.332,0.9990,0.00430,0.05959,0.8718
1,8,0.50,34.312,0.9975,nan,0.09466,0.8462
1,9,0.10,63.774,1.0000,nan,0.00632,1.0000
1,9,0.20,54.132,0.9999,nan,0.01918,0.9231
1,9,0.30,49.333,0.9998,nan,0.03333,0.9231
1,9,0.40,45.408,0.9996,nan,0.05237,0.8718
1,9,0.50,41.507,0.9990,nan,0.08206,0.8462
1,10,0.10,62.911,1.0000,0.00022,0.00861,1.0000
1,10,0.20,53.383,0.9999,0.00150,0.02578,0.9744
1,10,0.30,47.210,0.9997,nan,0.05247,0.8535
1,10,0.40,42.893,0.9991,nan,0.08624,0.7912
1,10,0.50,39.649,0.9981,nan,0.12528,0.8095
1,11,0.10,53.441,0.9999,nan,0.02249,0.9231
1,11,0.20,45.763,0.9995,nan,0.05444,0.9487
1,11,0.30,40.021,0.9982,nan,0.10545,0.8278
1,11,0.40,36.866,0.9963,nan,0.15164,0.8205
1,11,0.50,33.443,0.9918,nan,0.22490,0.7582
2,0,0.10,63.768,1.0000,nan,0.00842,0.3614
2,0,0.20,51.999,1.0000,nan,0.03266,0.2943
2,0,0.30,45.261,0.9998,nan,0.07094,0.2073
2,0,0.40,40.288,0.9994,nan,0.12575,0.3477
2,0,0.50,32.712,0.9965,nan,0.30084,0.2775
2,1,0.10,67.154,1.0000,nan,0.00478,1.0000
2,1,0.20,57.083,1.0000,nan,0.01525,1.0000
2,1,0.30,51.305,0.9999,nan,0.02967,0.9487
2,1,0.40,47.196,0.9998,nan,0.04762,0.9231
2,1,0.50,42.609,0.9994,nan,0.08075,0.9231
2,2,0.10,61.942,1.0000,0.00031,0.00923,1.0000
2,2,0.20,53.242,0.9999,nan,0.02514,0.9744
