layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.79734,1.62987,0.16746,9.73285,7.15364,-0.00000,0.58301,0,0.03133,1.95420,13,169,16
0,1,4.02401,2.29386,1.73014,1.32582,7.40573,-0.00000,0.49762,0,0.09222,1.54217,13,169,16
0,2,7.06646,4.49902,2.56745,1.75233,7.04056,-0.00000,0.61209,0,0.04564,2.11570,13,169,16
0,3,6.88656,4.98489,1.90167,2.62132,6.77752,-0.00000,0.67385,0,0.03064,2.50980,13,169,16
0,4,2.76401,1.92007,0.84393,2.27515,7.37510,-0.00000,0.50364,0,0.06566,1.56098,13,169,16
0,5,4.30386,2.20532,2.09854,1.05088,7.40708,-0.00000,0.48642,0,0.10150,1.47126,13,169,16
0,6,2.50812,1.79484,0.71328,2.51631,7.38617,-0.00000,0.50506,0,0.06081,1.53293,13,169,16
0,7,3.05572,1.97924,1.07649,1.83861,7.45827,-0.00000,0.46426,0,0.08104,1.46286,13,169,16
0,8,2.71199,2.06801,0.64398,3.21128,7.24173,-0.00000,0.55537,0,0.05403,1.72973,13,169,16
0,9,2.71635,1.82525,0.89110,2.04832,7.36637,-0.00000,0.50395,0,0.05251,1.57055,13,169,16
0,10,9.50325,5.25489,4.24836,1.23692,6.85197,-0.00000,0.66412,0,0.03879,2.50980,13,169,16
0,11,3.90373,2.58435,1.31938,1.95876,7.23496,-0.00000,0.54659,0,0.05848,1.69536,13,169,16
1,0,4.50044,3.00226,1.49818,2.00394,7.07570,-0.00000,0.60667,0,0.03744,2.09836,13,169,16
1,1,8.13211,4.04539,4.08672,0.98988,7.11309,-0.00000,0.59573,1,0.06112,1.95420,13,169,16
1,2,5.11835,2.55987,2.55848,1.00054,7.23438,-0.00000,0.55241,0,0.07332,1.69536,13,169,16
1,3,6.84403,4.71075,2.13328,2.20822,6.63569,-0.00000,0.69185,0,0.02704,2.69474,13,169,16
1,4,8.97184,4.54896,4.42287,1.02851,7.09419,-0.00000,0.60125,0,0.06203,2.00000,13,169,16
1,5,3.70954,2.43148,1.27806,1.90247,7.14996,-0.00000,0.57826,0,0.05105,1.84173,13,169,16
1,6,13.12065,8.60033,4.52033,1.90259,6.23214,-0.00000,0.76905,0,0.01331,3.60563,13,169,16
1,7,5.32906,3.71708,1.61199,2.30590,7.05645,-0.00000,0.59291,0,0.06358,1.86861,13,169,16
1,8,2.34195,1.98706,0.35489,5.59908,7.17628,-0.00000,0.56869,0,0.03647,1.76552,13,169,16
1,9,3.89001,3.02721,0.86280,3.50859,6.85731,-0.00000,0.64881,0,0.03333,2.30631,13,169,16
1,10,5.48833,3.78576,1.70257,2.22356,6.97951,-0.00000,0.61051,0,0.05247,2.00000,13,169,16
1,11,4.09239,2.24091,1.85148,1.21034,7.38840,-0.00000,0.49310,0,0.10545,1.45455,13,169,16
2,0,18.91373,7.43376,11.47997,0.64754,7.12001,-0.00000,0.59257,1,0.07094,2.03175,13,169,16
2,1,6.89524,4.76351,2.13173,2.23457,6.69628,-0.00000,0.68967,0,0.02967,2.75269,13,169,16
