layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.27012,2.53724,1.73287,2.1852,7.2698,0.0000,0.5380,0.06073,0.2764
1,12,5.96156,3.01632,2.94524,1.2438,7.0023,0.0000,0.6099,0.05049,0.4714
2,12,7.48627,3.40411,4.08216,1.1036,7.0559,0.0000,0.5995,0.05632,0.4714
3,12,5.28435,2.65159,2.63276,1.1809,7.2082,0.0000,0.5599,0.06505,0.4714
4,12,7.16529,3.55385,3.61144,1.0245,6.9696,0.0000,0.6182,0.05338,0.4930
5,12,8.77392,4.28954,4.48439,0.9726,6.6845,0.0000,0.6817,0.03515,0.4930
6,12,8.64674,4.12580,4.52094,0.9205,6.8204,0.0000,0.6613,0.04006,0.4930
7,12,9.20641,4.66451,4.54190,1.1225,6.6592,0.0000,0.6852,0.03714,0.5000
8,12,7.64551,3.90835,3.73716,1.1248,6.7609,0.0000,0.6616,0.04114,0.4330
9,12,7.15235,3.85621,3.29615,1.2649,6.8527,0.0000,0.6401,0.04574,0.4714
10,12,12.37391,7.01349,5.36042,1.5311,6.6993,0.0000,0.6807,0.04029,0.2764
11,12,9.45433,7.46583,1.98850,3.9116,6.4607,0.0000,0.7278,0.02270,0.0000
