layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9002,6.9894,18.91373,0.6298,2.2069,1
2,9,0.9002,7.0045,18.57648,0.6261,2.1880,1
5,10,0.8586,6.8777,7.74794,0.6554,2.3273,1
6,9,0.8586,6.8556,8.61308,0.6581,2.3486,1
5,1,0.8314,5.8144,13.73238,0.8257,6.7368,1
5,6,0.8314,5.8965,12.83265,0.8124,6.7368,1
11,1,0.8166,6.1120,11.46869,0.7979,4.5714,1
11,6,0.8166,6.2695,10.47336,0.7736,4.1290,1
4,11,0.8041,6.8214,8.75786,0.6641,2.3486,2
7,2,0.8041,6.9419,7.74387,0.6385,2.2261,2
9,0,0.8010,6.6568,8.59871,0.6865,2.6122,1
9,7,0.8010,6.7146,9.61071,0.6768,2.5600,1
10,4,0.7918,6.7353,11.18676,0.6841,2.5859,1
10,7,0.7918,6.7413,10.31368,0.6874,2.7234,1
2,3,0.7783,7.0973,4.07415,0.5900,1.8028,2
2,7,0.7783,7.1954,4.31803,0.5572,1.6516,1
5,0,0.7718,6.6776,8.27884,0.6968,2.6122,1
6,3,0.7691,6.3599,12.00465,0.7565,3.8209,1
7,11,0.7691,6.2885,12.25863,0.7655,3.9385,1
7,1,0.7603,6.9199,7.78016,0.6409,2.2069,1
4,5,0.7589,6.8453,8.20558,0.6567,2.3273,1
5,11,0.7589,6.8815,9.01080,0.6516,2.3063,1
6,2,0.7589,6.7287,8.63535,0.6823,2.5098,1
8,4,0.7589,6.8291,7.91264,0.6621,2.3704,1
1,9,0.7587,6.9496,3.89001,0.6344,2.1880,1
0,0,0.0000,7.2107,1.79734,0.5660,1.8028,0
0,1,0.0000,7.5172,4.02401,0.4507,1.4144,0
0,2,0.0000,7.0179,7.06646,0.6216,2.0813,0
0,3,0.0000,6.8980,6.88656,0.6502,2.2857,0
0,4,0.0000,7.3636,2.76400,0.5111,1.5238,0
0,5,0.0000,7.3997,4.30386,0.4949,1.5422,0
0,6,0.0000,7.4207,2.50812,0.4942,1.5329,0
0,7,0.0000,7.4942,3.05572,0.4546,1.4463,0
0,8,0.0000,7.2969,2.71199,0.5357,1.6516,0
0,9,0.0000,7.3580,2.71635,0.5102,1.5422,0
0,10,0.0000,6.9459,9.50325,0.6413,2.2069,0
0,11,0.0000,7.3151,3.90373,0.5260,1.6203,0
1,0,0.0000,7.1470,4.50044,0.5861,1.8686,0
1,1,0.0000,7.0560,8.13211,0.6131,2.0984,0
1,2,0.0000,7.3053,5.11835,0.5330,1.6101,0
1,3,0.0000,6.7257,6.84403,0.6679,2.3704,0
1,4,0.0000,7.0520,8.97184,0.6140,2.0645,0
1,5,0.0000,7.1417,3.70954,0.5782,1.7655,0
1,6,0.0000,6.1255,13.12065,0.7876,4.7407,0
1,7,0.0000,6.9654,5.32906,0.6171,1.9542,0
1,8,0.0000,7.2681,2.34195,0.5469,1.7181,0
1,10,0.0000,6.9293,5.48833,0.6288,2.1695,0
1,11,0.0000,7.3620,4.09239,0.5120,1.5901,0
2,1,0.0000,6.7010,6.89524,0.6869,2.6947,0
2,2,0.0000,6.7648,6.75338,0.6631,2.4615,0
2,4,0.0000,6.9447,5.63475,0.6241,2.0317,0
2,5,0.0000,7.2170,3.25811,0.5608,1.7297,0
2,6,0.0000,7.3317,6.94276,0.5199,1.5901,0
2,8,0.0000,7.2927,3.75149,0.5343,1.6203,0
2,10,0.0000,7.0360,5.85688,0.6100,2.0000,0
2,11,0.0000,7.0960,4.86022,0.5913,1.8686,0
3,0,0.0000,7.1262,6.58018,0.5913,1.8686,0
3,1,0.0000,7.1804,3.65918,0.5721,1.8286,0
3,2,0.0000,7.4704,3.97928,0.4680,1.4302,0
3,3,0.0000,7.0170,5.11147,0.6196,2.0813,0
3,4,0.0000,7.3207,3.44320,0.5279,1.6000,0
3,5,0.0000,7.0557,10.76435,0.6120,2.0813,0
3,6,0.0000,7.3720,3.11190,0.5088,1.5422,0
3,7,0.0000,7.1754,3.76070,0.5758,1.7902,0
3,8,0.0000,7.3181,3.92327,0.5278,1.6306,0
3,9,0.0000,6.9260,9.31188,0.6453,2.2655,0
3,10,0.0000,7.4947,4.53788,0.4602,1.4713,0
3,11,0.0000,7.0413,5.22889,0.6095,2.0317,0
4,0,0.0000,6.7535,7.98014,0.6687,2.4381,0
4,1,0.0000,7.4643,3.00468,0.4703,1.4713,0
4,2,0.0000,7.0754,5.90692,0.5955,1.8963,0
4,3,0.0000,6.6765,11.11514,0.6901,2.6947,0
4,4,0.0000,7.3233,4.74884,0.5210,1.5706,0
4,6,0.0000,6.9401,7.37671,0.6188,2.0480,0
4,7,0.0000,6.8640,9.64920,0.6522,2.2655,0
4,8,0.0000,6.8582,6.70889,0.6509,2.2456,0
4,9,0.0000,7.0615,5.38554,0.5976,1.9542,0
4,10,0.0000,6.9513,7.14395,0.6330,2.1333,0
5,2,0.0000,6.8880,6.33485,0.6483,2.3063,0
5,3,0.0000,6.9979,6.44334,0.6230,2.1157,0
5,4,0.0000,7.2635,4.61038,0.5378,1.5802,0
5,5,0.0000,6.5793,9.82692,0.7078,2.9091,0
5,7,0.0000,6.6985,9.45582,0.6882,2.6947,0
5,8,0.0000,6.7181,6.72350,0.6841,2.6667,0
5,9,0.0000,6.9215,10.28967,0.6487,2.3486,0
6,0,0.0000,6.8817,8.66739,0.6520,2.3486,0
6,1,0.0000,7.0844,6.44193,0.5937,1.8156,0
6,4,0.0000,6.8719,8.01194,0.6557,2.3063,0
6,5,0.0000,7.1668,7.54707,0.5778,1.8551,0
6,6,0.0000,6.4394,10.19660,0.7388,3.4133,0
6,7,0.0000,7.0236,5.59233,0.6108,1.9692,0
6,8,0.0000,6.8793,7.45049,0.6570,2.4615,0
6,10,0.0000,6.7071,9.82253,0.6893,2.7527,0
6,11,0.0000,6.8468,10.77751,0.6630,2.4151,0
7,0,0.0000,6.9966,6.97878,0.6234,2.0984,0
7,3,0.0000,6.0886,11.31212,0.7893,5.2245,0
7,4,0.0000,6.6166,10.49570,0.7097,3.0118,0
7,5,0.0000,7.2599,4.06481,0.5346,1.6410,0
7,6,0.0000,5.9203,12.16824,0.8103,6.2439,0
7,7,0.0000,6.1034,13.20687,0.7931,4.9231,0
7,8,0.0000,6.9651,6.28285,0.6289,2.1157,0
7,9,0.0000,6.6853,9.20063,0.6937,2.7527,0
7,10,0.0000,7.1244,8.98426,0.5942,2.0000,0
8,0,0.0000,6.4850,7.84190,0.7275,3.2821,0
8,1,0.0000,6.8743,6.13758,0.6468,2.2261,0
8,2,0.0000,6.1058,12.41704,0.7835,5.2245,0
8,3,0.0000,6.9687,5.65085,0.6178,2.0317,0
8,5,0.0000,6.7847,8.90452,0.6652,2.4151,0
8,6,0.0000,5.8063,12.61283,0.8206,7.7576,0
8,7,0.0000,7.1565,4.01792,0.5742,1.8156,0
8,8,0.0000,7.2264,4.84232,0.5616,1.8551,0
8,9,0.0000,6.9080,6.05316,0.6440,2.2261,0
8,10,0.0000,7.1758,8.37552,0.5758,1.8417,0
8,11,0.0000,6.8102,6.97988,0.6596,2.3486,0
9,1,0.0000,6.9138,6.92533,0.6372,2.0984,0
9,2,0.0000,7.2954,4.79166,0.5315,1.5901,0
9,3,0.0000,6.8003,7.23320,0.6642,2.3486,0
9,4,0.0000,7.1437,6.27519,0.5819,1.8156,0
9,5,0.0000,7.1614,5.36291,0.5738,1.7655,0
9,6,0.0000,6.3765,9.23571,0.7439,3.5556,0
9,8,0.0000,7.3270,3.49014,0.5250,1.6516,0
9,9,0.0000,5.8817,11.67030,0.8112,7.1111,0
9,10,0.0000,7.1044,6.84405,0.5935,1.8963,0
9,11,0.0000,6.8564,5.79032,0.6556,2.3704,0
10,0,0.0000,7.2411,4.13619,0.5442,1.6516,0
10,1,0.0000,6.1669,23.44552,0.7867,4.9231,0
10,2,0.0000,7.0283,8.66174,0.6116,1.9845,0
10,3,0.0000,6.5967,10.11317,0.7140,3.0118,0
10,5,0.0000,6.0940,22.05952,0.7922,5.5652,0
10,6,0.0000,6.5031,17.02532,0.7325,3.4133,0
10,8,0.0000,7.1358,4.49410,0.5839,1.8686,0
10,9,0.0000,6.1782,21.17856,0.7848,4.9231,0
10,10,0.0000,7.1930,5.89578,0.5733,1.8551,0
10,11,0.0000,6.7777,9.97654,0.6740,2.5098,0
11,0,0.0000,6.4474,7.78840,0.7394,3.4133,0
11,2,0.0000,6.7147,6.56513,0.6778,2.5600,0
11,3,0.0000,6.5600,9.61086,0.7159,2.9425,0
11,4,0.0000,6.6756,8.73107,0.6903,2.6667,0
11,5,0.0000,6.4710,9.97776,0.7362,3.4133,0
11,7,0.0000,6.0094,13.96878,0.8110,5.3333,0
11,8,0.0000,7.0708,6.34873,0.5919,1.8824,0
11,9,0.0000,6.9767,4.65399,0.6168,2.0984,0
11,10,0.0000,6.3597,9.26630,0.7521,3.8209,0
11,11,0.0000,5.8620,14.59890,0.8307,5.3333,0
