layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,52.138,1.0000,0.00002,0.00670,0.9744
0,0,0.20,42.352,0.9998,0.00022,0.02067,0.9744
0,0,0.30,37.784,0.9995,0.00072,0.03498,0.9744
0,0,0.40,34.590,0.9989,0.00146,0.05053,0.8718
0,0,0.50,31.832,0.9980,0.00280,0.06941,0.8462
0,1,0.10,51.244,0.9999,nan,0.02385,0.9231
0,1,0.20,44.750,0.9996,nan,0.05038,0.8791
0,1,0.30,40.568,0.9989,nan,0.08153,0.8974
0,1,0.40,36.402,0.9971,nan,0.13171,0.8791
0,1,0.50,32.876,0.9934,nan,0.19767,0.8031
0,2,0.10,59.840,1.0000,nan,0.01024,0.9744
0,2,0.20,52.792,0.9999,nan,0.02306,0.9744
0,2,0.30,46.496,0.9998,nan,0.04761,0.9231
0,2,0.40,41.322,0.9992,nan,0.08638,0.8278
0,2,0.50,36.888,0.9979,nan,0.14391,0.7262
0,3,0.10,66.803,1.0000,0.00011,0.00389,1.0000
0,3,0.20,56.495,1.0000,nan,0.01274,0.9744
0,3,0.30,50.354,0.9999,nan,0.02584,0.9744
0,3,0.40,44.350,0.9997,nan,0.05157,0.9744
0,3,0.50,38.434,0.9988,nan,0.10190,0.8718
0,4,0.10,55.619,0.9999,0.00048,0.01791,0.9744
0,4,0.20,47.724,0.9995,0.00292,0.04446,0.8974
0,4,0.30,43.188,0.9987,0.00531,0.07494,0.8205
0,4,0.40,41.123,0.9979,nan,0.09505,0.7949
0,4,0.50,37.226,0.9947,nan,0.14888,0.6007
0,5,0.10,55.516,0.9999,nan,0.01767,0.9744
0,5,0.20,47.424,0.9996,nan,0.04485,0.9231
0,5,0.30,42.282,0.9988,nan,0.08107,0.9487
0,5,0.40,37.825,0.9966,nan,0.13544,0.8462
0,5,0.50,35.061,0.9935,nan,0.18617,0.8022
0,6,0.10,47.749,0.9999,nan,0.01976,1.0000
0,6,0.20,42.376,0.9996,nan,0.03669,0.9744
0,6,0.30,37.669,0.9989,nan,0.06308,0.9744
