layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.27012,2.72482,1.54530,2.5853,7.2295,0.0000,0.5490,0.05879,0.0000
1,12,5.96156,3.67331,2.28825,2.0683,6.9957,0.0000,0.6100,0.04977,0.3727
2,12,7.48627,3.98015,3.50612,1.7200,7.1031,0.0000,0.5837,0.06740,0.4330
3,12,5.28435,3.09461,2.18974,1.8316,7.1938,0.0000,0.5617,0.06720,0.4330
4,12,7.16529,4.39075,2.77453,1.6218,6.9272,0.0000,0.6286,0.05563,0.0000
5,12,8.77393,5.34718,3.42675,1.5779,6.6783,0.0000,0.6811,0.03892,0.2764
6,12,8.64674,5.10393,3.54281,1.4778,6.7974,0.0000,0.6617,0.04825,0.2764
7,12,9.20641,5.79069,3.41573,1.8107,6.5733,0.0000,0.6995,0.03643,0.2764
8,12,7.64552,4.96355,2.68196,2.0074,6.7381,0.0000,0.6582,0.04605,0.0000
9,12,7.15235,4.79791,2.35444,2.3733,6.7526,0.0000,0.6548,0.04753,0.0000
10,12,12.37391,6.73661,5.63730,1.5121,6.6645,0.0000,0.6873,0.03922,0.3727
11,12,9.45433,7.45984,1.99449,3.9936,6.3419,0.0000,0.7435,0.02040,0.0000
