layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.79848,1.61746,0.18101,8.93556,7.25357,-0.00000,0.55199,0,0.04189,1.70667,13,169,16
0,1,4.02443,2.27576,1.74867,1.30142,7.27857,-0.00000,0.53564,0,0.06861,1.61006,13,169,16
0,2,7.17739,4.35022,2.82717,1.53872,7.05759,-0.00000,0.60692,0,0.04410,2.06452,13,169,16
0,3,7.09572,4.58412,2.51160,1.82518,6.89560,-0.00000,0.65090,0,0.03739,2.32727,13,169,16
0,4,2.64448,1.92144,0.72304,2.65745,7.26379,-0.00000,0.54503,0,0.04383,1.75342,13,169,16
0,5,4.70452,2.62210,2.08242,1.25916,7.19560,-0.00000,0.56200,0,0.05744,1.74150,13,169,16
0,6,2.32169,1.73327,0.58842,2.94562,7.29821,-0.00000,0.53708,0,0.04301,1.69536,13,169,16
0,7,3.33448,2.31323,1.02125,2.26509,7.30619,-0.00000,0.51952,0,0.06308,1.59006,13,169,16
0,8,2.62005,2.09841,0.52164,4.02273,7.19459,-0.00000,0.56480,0,0.04376,1.72973,13,169,16
0,9,3.36884,2.27596,1.09288,2.08253,7.13234,-0.00000,0.58219,0,0.04339,1.84173,13,169,16
0,10,9.25647,4.84482,4.41164,1.09819,6.90177,-0.00000,0.65212,0,0.04555,2.34862,13,169,16
0,11,4.45201,2.87231,1.57970,1.81827,7.18333,-0.00000,0.56534,0,0.05535,1.80282,13,169,16
1,0,4.21097,3.05643,1.15454,2.64730,7.05561,-0.00000,0.60950,0,0.03647,2.06452,13,169,16
1,1,9.39525,4.39226,5.00299,0.87793,7.05353,-0.00000,0.61317,1,0.05148,2.08130,13,169,16
1,2,4.37423,3.25308,1.12114,2.90157,7.02351,-0.00000,0.60355,0,0.06300,1.93939,13,169,16
1,3,5.26959,4.01498,1.25461,3.20018,6.66158,-0.00000,0.68902,0,0.02592,2.69474,13,169,16
1,4,9.92944,5.14528,4.78417,1.07548,7.00955,-0.00000,0.62236,0,0.04858,2.09836,13,169,16
1,5,5.14743,3.31167,1.83575,1.80399,6.97310,-0.00000,0.62914,0,0.03316,2.09836,13,169,16
1,6,14.68102,9.84377,4.83726,2.03499,5.73616,-0.00000,0.83496,0,0.00613,5.95349,13,169,16
1,7,3.95984,3.01028,0.94956,3.17017,7.04453,-0.00000,0.60098,0,0.05228,2.00000,13,169,16
1,8,2.26102,1.86127,0.39975,4.65615,7.28801,-0.00000,0.53741,0,0.04137,1.67320,13,169,16
1,9,4.20180,3.35753,0.84427,3.97687,6.78606,-0.00000,0.65847,0,0.03853,2.39252,13,169,16
1,10,5.95281,3.87234,2.08048,1.86127,6.99018,-0.00000,0.60856,0,0.05329,1.95420,13,169,16
1,11,4.88452,2.82016,2.06436,1.36612,7.22397,-0.00000,0.55526,0,0.07015,1.74150,13,169,16
2,0,18.92762,7.44071,11.48691,0.64775,7.12010,-0.00000,0.59252,1,0.07064,2.03175,13,169,16
2,1,8.71465,4.77146,3.94319,1.21005,6.94735,-0.00000,0.63146,0,0.06749,2.18803,13,169,16
2,2,8.84830,6.12738,2.72092,2.25195,6.25872,-0.00000,0.75872,0,0.02140,4.19672,13,169,16
2,3,5.28122,3.72826,1.55296,2.40074,6.82209,-0.00000,0.65637,0,0.03829,2.32727,13,169,16
2,4,7.35707,5.18507,2.17201,2.38722,6.59464,-0.00000,0.70144,0,0.03386,2.84444,13,169,16
2,5,3.86037,2.55808,1.30229,1.96430,7.15363,-0.00000,0.57899,0,0.06129,1.84173,13,169,16
2,6,6.60620,3.58967,3.01652,1.19000,7.09478,-0.00000,0.59354,0,0.06358,1.92481,13,169,16
2,7,4.83248,3.40386,1.42861,2.38263,7.00821,-0.00000,0.60713,0,0.04071,2.04800,13,169,16
2,8,4.86135,3.53033,1.33102,2.65236,7.02362,-0.00000,0.60949,0,0.05306,2.06452,13,169,16
2,9,18.66788,7.32460,11.34328,0.64572,7.11983,-0.00000,0.59259,1,0.08083,2.03175,13,169,16
2,10,7.12815,4.29828,2.82987,1.51890,6.78371,-0.00000,0.67078,0,0.03361,2.53465,13,169,16
2,11,4.68070,3.20216,1.47854,2.16576,7.10794,-0.00000,0.57907,0,0.06371,1.88235,13,169,16
3,0,6.07429,4.21952,1.85477,2.27496,6.90323,-0.00000,0.65055,0,0.03971,2.32727,13,169,16
3,1,3.57854,2.59950,0.97905,2.65513,7.18001,-0.00000,0.56379,0,0.05412,1.77778,13,169,16
3,2,4.93122,3.77680,1.15442,3.27162,7.00854,-0.00000,0.61633,0,0.04927,2.03175,13,169,16
3,3,4.68113,3.04469,1.63644,1.86055,7.08482,-0.00000,0.60263,0,0.04570,2.06452,13,169,16
3,4,3.97102,2.43031,1.54071,1.57739,7.27010,-0.00000,0.54282,0,0.08000,1.64103,13,169,16
3,5,11.98639,5.57204,6.41434,0.86868,7.05694,-0.00000,0.61197,1,0.06098,2.08130,13,169,16
3,6,4.00857,3.37485,0.63372,5.32550,7.13381,-0.00000,0.55586,0,0.08201,1.64103,13,169,16
3,7,3.55945,2.64771,0.91174,2.90404,7.17230,-0.00000,0.56234,0,0.06798,1.68421,13,169,16
3,8,4.39954,2.68280,1.71674,1.56274,7.26799,-0.00000,0.53690,0,0.08537,1.61006,13,169,16
3,9,11.05898,4.62348,6.43550,0.71843,7.02848,-0.00000,0.61925,1,0.05652,2.09836,13,169,16
3,10,5.04143,2.81158,2.22984,1.26089,7.26027,-0.00000,0.54363,0,0.10629,1.63057,13,169,16
3,11,6.56474,4.14110,2.42364,1.70863,6.82731,-0.00000,0.65727,0,0.04461,2.34862,13,169,16
4,0,5.47526,3.38334,2.09192,1.61734,7.05922,-0.00000,0.59810,0,0.05606,1.93939,13,169,16
4,1,3.09164,1.92434,1.16729,1.64856,7.48451,-0.00000,0.46406,0,0.07970,1.49708,13,169,16
4,2,7.37150,5.23384,2.13766,2.44840,6.64235,-0.00000,0.69455,0,0.03168,2.84444,13,169,16
4,3,10.79444,7.35828,3.43616,2.14142,6.53962,-0.00000,0.71173,0,0.04303,3.01176,13,169,16
4,4,4.31794,2.37470,1.94324,1.22203,7.33958,-0.00000,0.51776,0,0.08713,1.60000,13,169,16
4,5,10.68657,4.64172,6.04485,0.76788,6.87792,-0.00000,0.65638,1,0.05555,2.46154,13,169,16
