layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.39988,2.79242,1.60745,2.6458,7.1634,0.0000,0.5728,0.04895,0.0000
1,12,6.18899,3.99492,2.19407,2.4643,6.9038,0.0000,0.6302,0.04336,0.2764
2,12,8.31383,4.59666,3.71718,1.7848,6.9196,0.0000,0.6310,0.05237,0.3727
3,12,5.82127,3.49370,2.32758,2.1657,7.0995,0.0000,0.5886,0.06438,0.3727
4,12,7.18120,4.30612,2.87508,1.6464,6.9658,0.0000,0.6181,0.05545,0.2764
5,12,8.39274,5.05368,3.33906,1.6107,6.8062,0.0000,0.6571,0.04828,0.2764
6,12,8.17124,4.96369,3.20755,1.6354,6.8282,0.0000,0.6556,0.04650,0.0000
7,12,8.82977,5.42068,3.40909,1.7039,6.7352,0.0000,0.6699,0.04106,0.2764
8,12,7.72664,5.12757,2.59906,2.0679,6.7448,0.0000,0.6636,0.04164,0.0000
9,12,6.86902,4.51405,2.35497,2.0987,6.8338,0.0000,0.6437,0.05102,0.0000
10,12,12.36451,6.61736,5.74715,1.3022,6.7349,0.0000,0.6795,0.04588,0.3727
11,12,15.95979,7.93574,8.02405,1.0487,6.4973,0.0000,0.7241,0.03446,0.4930
