layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9226,7.1201,18.92762,0.5925,2.0317,1
2,9,0.9226,7.1198,18.66788,0.5926,2.0317,1
3,2,0.8364,7.0085,4.93122,0.6163,2.0317,1
3,6,0.8364,7.1338,4.00857,0.5559,1.6410,1
5,5,0.8126,6.7848,8.20742,0.6654,2.3925,1
8,0,0.8126,6.8278,7.18365,0.6574,2.3704,2
5,1,0.8120,6.0632,12.56498,0.7846,4.4138,1
8,6,0.8120,5.9652,11.99634,0.8037,5.2245,2
4,10,0.8008,6.9916,6.30821,0.6186,2.0480,1
5,3,0.8008,6.9633,6.62889,0.6311,2.1880,3
9,9,0.7963,6.0491,11.14274,0.7808,4.8302,1
5,0,0.7945,6.7814,7.39195,0.6725,2.5098,1
7,2,0.7945,6.8978,7.46307,0.6457,2.2069,2
5,6,0.7920,6.4538,11.27716,0.7346,3.5068,2
7,3,0.7920,6.2175,11.47679,0.7699,4.4912,1
11,3,0.7894,6.5576,14.60389,0.7205,3.3684,1
11,5,0.7894,6.6439,14.14839,0.7035,2.8132,1
6,3,0.7863,6.3057,11.09014,0.7530,3.6571,1
6,2,0.7852,6.9042,7.75462,0.6469,2.2655,3
5,10,0.7760,6.7271,7.97356,0.6826,2.5859,2
6,9,0.7760,6.8863,8.11050,0.6512,2.3486,2
4,5,0.7732,6.8779,10.68657,0.6564,2.4615,1
5,7,0.7732,6.8598,10.81186,0.6604,2.5600,1
1,3,0.7727,6.6616,5.26959,0.6890,2.6947,2
2,3,0.7727,6.8221,5.28122,0.6564,2.3273,3
1,9,0.7714,6.7861,4.20180,0.6585,2.3925,2
7,9,0.7712,6.7186,7.58954,0.6813,2.5859,1
10,4,0.7708,6.7892,11.45384,0.6745,2.5347,1
10,6,0.7708,6.9876,11.28201,0.6209,2.0317,1
1,2,0.7654,7.0235,4.37423,0.6035,1.9394,1
3,7,0.7654,7.1723,3.55945,0.5623,1.6842,1
6,8,0.7652,6.7730,7.09235,0.6697,2.5098,2
2,8,0.7572,7.0236,4.86135,0.6095,2.0645,1
9,3,0.7514,6.5370,7.21569,0.7069,3.0476,1
8,4,0.7502,6.8779,7.84949,0.6512,2.3273,1
7,0,0.7455,7.0621,6.75283,0.6033,2.0317,1
7,1,0.7289,7.0332,7.00937,0.6145,2.0645,1
0,0,0.0000,7.2536,1.79848,0.5520,1.7067,0
0,1,0.0000,7.2786,4.02443,0.5356,1.6101,0
0,2,0.0000,7.0576,7.17739,0.6069,2.0645,0
0,3,0.0000,6.8956,7.09572,0.6509,2.3273,0
0,4,0.0000,7.2638,2.64448,0.5450,1.7534,0
0,5,0.0000,7.1956,4.70452,0.5620,1.7415,0
0,6,0.0000,7.2982,2.32169,0.5371,1.6954,0
0,7,0.0000,7.3062,3.33448,0.5195,1.5901,0
0,8,0.0000,7.1946,2.62005,0.5648,1.7297,0
0,9,0.0000,7.1323,3.36884,0.5822,1.8417,0
0,10,0.0000,6.9018,9.25647,0.6521,2.3486,0
0,11,0.0000,7.1833,4.45201,0.5653,1.8028,0
1,0,0.0000,7.0556,4.21097,0.6095,2.0645,0
1,1,0.0000,7.0535,9.39525,0.6132,2.0813,0
1,4,0.0000,7.0096,9.92944,0.6224,2.0984,0
1,5,0.0000,6.9731,5.14743,0.6291,2.0984,0
1,6,0.0000,5.7362,14.68102,0.8350,5.9535,0
1,7,0.0000,7.0445,3.95984,0.6010,2.0000,0
1,8,0.0000,7.2880,2.26102,0.5374,1.6732,0
1,10,0.0000,6.9902,5.95281,0.6086,1.9542,0
1,11,0.0000,7.2240,4.88452,0.5553,1.7415,0
2,1,0.0000,6.9474,8.71465,0.6315,2.1880,0
2,2,0.0000,6.2587,8.84830,0.7587,4.1967,0
2,4,0.0000,6.5946,7.35707,0.7014,2.8444,0
2,5,0.0000,7.1536,3.86037,0.5790,1.8417,0
2,6,0.0000,7.0948,6.60620,0.5935,1.9248,0
2,7,0.0000,7.0082,4.83248,0.6071,2.0480,0
2,10,0.0000,6.7837,7.12815,0.6708,2.5347,0
2,11,0.0000,7.1079,4.68070,0.5791,1.8824,0
3,0,0.0000,6.9032,6.07429,0.6505,2.3273,0
3,1,0.0000,7.1800,3.57854,0.5638,1.7778,0
3,3,0.0000,7.0848,4.68113,0.6026,2.0645,0
3,4,0.0000,7.2701,3.97102,0.5428,1.6410,0
3,5,0.0000,7.0569,11.98639,0.6120,2.0813,0
3,8,0.0000,7.2680,4.39954,0.5369,1.6101,0
3,9,0.0000,7.0285,11.05898,0.6193,2.0984,0
3,10,0.0000,7.2603,5.04143,0.5436,1.6306,0
3,11,0.0000,6.8273,6.56474,0.6573,2.3486,0
4,0,0.0000,7.0592,5.47526,0.5981,1.9394,0
4,1,0.0000,7.4845,3.09164,0.4641,1.4971,0
4,2,0.0000,6.6424,7.37150,0.6945,2.8444,0
4,3,0.0000,6.5396,10.79444,0.7117,3.0118,0
4,4,0.0000,7.3396,4.31794,0.5178,1.6000,0
4,6,0.0000,6.9283,7.38596,0.6294,2.1513,0
4,7,0.0000,6.7806,8.68359,0.6709,2.3925,0
4,8,0.0000,6.8411,7.50248,0.6522,2.3486,0
4,9,0.0000,7.1224,4.60071,0.5746,1.8028,0
4,11,0.0000,6.9820,9.95609,0.6287,2.1513,0
5,2,0.0000,7.2086,4.91381,0.5540,1.7534,0
5,4,0.0000,7.2047,5.14609,0.5461,1.6516,0
5,8,0.0000,6.8570,5.85419,0.6510,2.2261,0
5,9,0.0000,7.0203,9.83111,0.6204,2.0984,0
5,11,0.0000,6.7509,10.11182,0.6819,2.6947,0
6,0,0.0000,6.8192,9.33956,0.6495,2.2456,0
6,1,0.0000,7.0492,7.11235,0.6079,1.9692,0
6,4,0.0000,6.8163,7.71677,0.6641,2.3925,0
6,5,0.0000,7.0195,7.49640,0.6145,2.0157,0
6,6,0.0000,6.6124,8.32580,0.7031,2.8132,0
6,7,0.0000,7.0835,4.27105,0.5831,1.8286,0
6,10,0.0000,6.7177,9.25346,0.6871,2.6392,0
6,11,0.0000,6.9510,10.49187,0.6377,2.3063,0
7,4,0.0000,6.8405,11.08095,0.6619,2.4151,0
7,5,0.0000,7.3831,4.55480,0.4964,1.5329,0
7,6,0.0000,6.1451,10.78463,0.7762,4.4138,0
7,7,0.0000,6.2287,12.89392,0.7720,4.0635,0
7,8,0.0000,6.7138,5.99071,0.6851,2.6667,0
7,10,0.0000,7.0850,8.44628,0.6037,2.0645,0
7,11,0.0000,6.4966,11.91432,0.7291,3.2821,0
8,1,0.0000,6.2562,9.30892,0.7485,3.9385,0
8,2,0.0000,6.2334,11.89437,0.7588,3.7647,0
8,3,0.0000,6.7900,6.11646,0.6565,2.3704,0
