layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.537,1.0000,0.00002,0.00581,0.9744
0,0,0.20,44.208,0.9999,0.00017,0.01702,1.0000
0,0,0.30,37.164,0.9994,0.00087,0.03830,0.9487
0,0,0.40,33.518,0.9986,0.00208,0.05827,0.8974
0,0,0.50,29.640,0.9966,0.00597,0.09106,0.9048
0,1,0.10,61.844,1.0000,nan,0.00954,0.9744
0,1,0.20,52.236,0.9999,nan,0.02885,0.9487
0,1,0.30,46.651,0.9995,nan,0.05487,0.9744
0,1,0.40,41.558,0.9984,0.01242,0.09863,0.9231
0,1,0.50,37.655,0.9961,0.02302,0.15459,0.8278
0,2,0.10,63.268,1.0000,nan,0.00743,0.9744
0,2,0.20,54.330,1.0000,nan,0.02080,1.0000
0,2,0.30,46.382,0.9997,nan,0.05193,0.9487
0,2,0.40,41.194,0.9991,nan,0.09437,0.8352
0,2,0.50,37.639,0.9979,nan,0.14210,0.7518
0,3,0.10,63.944,1.0000,0.00039,0.00578,1.0000
0,3,0.20,55.175,1.0000,nan,0.01586,0.9744
0,3,0.30,49.089,0.9999,nan,0.03195,0.9487
0,3,0.40,43.800,0.9996,nan,0.05875,0.9048
0,3,0.50,38.050,0.9986,nan,0.11389,0.8791
0,4,0.10,62.769,1.0000,0.00003,0.00766,0.9744
0,4,0.20,54.348,0.9999,0.00038,0.02020,0.9487
0,4,0.30,48.145,0.9996,0.00187,0.04126,0.9231
0,4,0.40,43.356,0.9987,0.00425,0.07161,0.8718
0,4,0.50,40.046,0.9973,0.00712,0.10483,0.8535
0,5,0.10,62.334,1.0000,0.00011,0.00889,0.9744
0,5,0.20,49.692,0.9997,0.00202,0.03810,0.9048
0,5,0.30,43.946,0.9990,0.00626,0.07383,0.8864
0,5,0.40,39.365,0.9973,nan,0.12511,0.7399
0,5,0.50,35.660,0.9935,nan,0.19167,0.7326
0,6,0.10,56.462,1.0000,0.00016,0.00889,0.9744
0,6,0.20,47.686,0.9998,nan,0.02442,1.0000
0,6,0.30,41.599,0.9993,nan,0.04922,0.9487
0,6,0.40,37.048,0.9979,nan,0.08311,0.9231
0,6,0.50,33.953,0.9957,nan,0.11870,0.8205
0,7,0.10,56.070,1.0000,0.00033,0.01183,0.9487
0,7,0.20,48.153,0.9998,0.00172,0.02944,0.9487
0,7,0.30,42.082,0.9993,0.00513,0.05923,0.9304
0,7,0.40,38.853,0.9985,nan,0.08590,0.8791
0,7,0.50,34.942,0.9964,nan,0.13476,0.7766
0,8,0.10,59.649,1.0000,0.00013,0.00696,1.0000
0,8,0.20,49.366,0.9999,0.00086,0.02272,1.0000
0,8,0.30,43.592,0.9995,0.00315,0.04418,0.9231
0,8,0.40,40.011,0.9989,nan,0.06672,0.8974
0,8,0.50,36.679,0.9975,nan,0.09791,0.8718
0,9,0.10,55.232,1.0000,0.00028,0.01214,1.0000
0,9,0.20,46.565,0.9998,0.00138,0.03292,0.9744
0,9,0.30,42.175,0.9994,0.00490,0.05457,0.9487
0,9,0.40,38.756,0.9987,nan,0.08089,0.8718
0,9,0.50,36.182,0.9977,nan,0.10879,0.8718
0,10,0.10,66.031,1.0000,nan,0.00599,0.9744
0,10,0.20,55.740,1.0000,nan,0.01960,0.8791
0,10,0.30,49.691,0.9999,nan,0.03932,0.9048
0,10,0.40,42.744,0.9994,nan,0.08750,0.9048
0,10,0.50,36.724,0.9976,nan,0.17499,0.7656
0,11,0.10,56.741,1.0000,nan,0.01147,0.9487
0,11,0.20,47.845,0.9998,nan,0.03194,0.9744
0,11,0.30,41.491,0.9993,nan,0.06639,0.8791
0,11,0.40,37.086,0.9980,nan,0.11024,0.8205
0,11,0.50,33.615,0.9955,nan,0.16440,0.7839
1,0,0.10,56.319,1.0000,0.00022,0.00909,0.9744
1,0,0.20,48.820,0.9999,0.00104,0.02155,0.9487
1,0,0.30,43.206,0.9997,0.00292,0.04113,0.8974
1,0,0.40,38.668,0.9990,0.00776,0.06934,0.7766
1,0,0.50,34.904,0.9977,0.01612,0.10696,0.8095
1,1,0.10,65.161,1.0000,nan,0.00689,0.9231
1,1,0.20,55.154,1.0000,nan,0.02180,0.8535
1,1,0.30,48.285,0.9998,nan,0.04807,0.7399
1,1,0.40,42.906,0.9994,nan,0.08930,0.8168
1,1,0.50,38.051,0.9983,nan,0.15616,0.6593
1,2,0.10,58.569,1.0000,nan,0.01242,0.9744
1,2,0.20,50.645,0.9999,nan,0.03092,0.9231
1,2,0.30,45.616,0.9996,nan,0.05516,0.9487
1,2,0.40,42.185,0.9991,nan,0.08189,0.8718
1,2,0.50,39.045,0.9981,nan,0.11755,0.8205
1,3,0.10,61.835,1.0000,0.00016,0.00715,1.0000
1,3,0.20,50.351,0.9999,0.00211,0.02682,0.9744
1,3,0.30,45.561,0.9997,0.00425,0.04655,0.9744
1,3,0.40,42.498,0.9994,nan,0.06623,0.9487
1,3,0.50,39.562,0.9989,nan,0.09287,0.9487
1,4,0.10,63.916,1.0000,nan,0.00827,0.8910
1,4,0.20,56.044,1.0000,nan,0.02046,0.8214
1,4,0.30,49.420,0.9999,nan,0.04387,0.7595
1,4,0.40,44.022,0.9996,nan,0.08166,0.7326
1,4,0.50,39.160,0.9986,nan,0.14292,0.7143
1,5,0.10,57.766,1.0000,nan,0.01206,0.9744
1,5,0.20,49.518,0.9999,nan,0.03117,0.9744
1,5,0.30,44.233,0.9996,nan,0.05727,0.9560
1,5,0.40,40.258,0.9991,nan,0.09051,0.9048
1,5,0.50,37.063,0.9981,nan,0.13075,0.8974
1,6,0.10,87.852,1.0000,nan,0.00052,0.9744
1,6,0.20,78.390,1.0000,nan,0.00156,0.9048
1,6,0.30,71.867,1.0000,nan,0.00330,0.8535
1,6,0.40,66.729,1.0000,nan,0.00597,0.8471
1,6,0.50,60.056,1.0000,nan,0.01287,0.6429
1,7,0.10,63.946,1.0000,0.00011,0.00716,1.0000
1,7,0.20,52.656,0.9999,0.00157,0.02627,1.0000
1,7,0.30,47.820,0.9997,nan,0.04584,1.0000
1,7,0.40,44.128,0.9992,nan,0.07012,0.9304
1,7,0.50,40.590,0.9983,nan,0.10536,0.7509
1,8,0.10,51.553,1.0000,0.00010,0.01023,1.0000
1,8,0.20,42.357,0.9997,0.00091,0.02949,0.9744
1,8,0.30,36.096,0.9989,0.00332,0.06063,0.9231
1,8,0.40,32.508,0.9974,0.00745,0.09165,0.8974
1,8,0.50,29.472,0.9948,nan,0.13000,0.8095
