layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9226,6.9888,18.92762,0.6300,2.2261,1
2,9,0.9226,6.9982,18.66789,0.6277,2.1880,1
3,2,0.8337,7.2451,4.93122,0.5543,1.7534,1
3,6,0.8337,7.2547,4.00857,0.5495,1.6954,1
5,1,0.8136,5.9397,12.56497,0.8093,6.0952,1
8,6,0.8136,6.0129,11.99634,0.7967,5.8182,3
5,5,0.8126,6.8094,8.20742,0.6597,2.2857,1
8,0,0.8126,6.9675,7.18365,0.6244,2.0645,2
4,10,0.8012,6.9616,6.30821,0.6272,2.1157,1
5,3,0.8012,7.0208,6.62889,0.6170,2.0317,2
5,0,0.7983,6.8318,7.39195,0.6630,2.3925,1
7,2,0.7983,6.8048,7.46307,0.6687,2.4151,3
9,9,0.7963,6.0180,11.14274,0.7921,5.8182,1
7,7,0.7935,6.1882,12.89391,0.7778,4.5714,1
5,6,0.7920,6.3886,11.27716,0.7486,3.7101,2
7,3,0.7920,6.3404,11.47679,0.7563,4.0000,1
11,3,0.7893,6.5950,14.60388,0.7148,3.2000,1
11,5,0.7893,6.7879,14.14839,0.6724,2.6392,1
6,6,0.7892,6.6248,8.32580,0.7018,2.7826,1
5,10,0.7833,6.8506,7.97356,0.6584,2.3704,1
6,9,0.7833,6.9687,8.11050,0.6353,2.2069,2
6,3,0.7808,6.3790,11.09014,0.7520,3.8209,1
1,3,0.7766,6.7897,5.26959,0.6623,2.3925,2
1,9,0.7766,6.8878,4.20180,0.6457,2.1695,2
2,3,0.7737,6.7704,5.28122,0.6718,2.4381,2
4,5,0.7721,6.9045,10.68657,0.6516,2.3704,1
5,7,0.7721,6.8467,10.81186,0.6658,2.5859,1
10,4,0.7697,6.7794,11.45383,0.6811,2.6122,1
10,6,0.7697,6.9241,11.28201,0.6425,2.2857,2
7,9,0.7666,6.8628,7.58954,0.6539,2.2857,2
6,8,0.7655,6.8955,7.09235,0.6486,2.3063,2
1,2,0.7653,7.0559,4.37423,0.6066,1.9394,1
3,7,0.7653,7.1122,3.55945,0.5961,1.9394,1
8,4,0.7639,6.9640,7.84949,0.6297,2.1333,2
9,3,0.7573,6.8297,7.21569,0.6577,2.3273,2
7,0,0.7427,7.0697,6.75283,0.6050,1.9542,1
7,1,0.7382,7.0481,7.00937,0.6093,1.9845,1
10,2,0.7367,6.8372,12.27424,0.6660,2.4615,1
0,0,0.0000,7.2669,1.79848,0.5482,1.7415,0
0,1,0.0000,7.3163,4.02443,0.5262,1.6516,0
0,2,0.0000,7.0351,7.17739,0.6160,2.0480,0
0,3,0.0000,6.9405,7.09572,0.6416,2.2655,0
0,4,0.0000,7.2130,2.64448,0.5640,1.7534,0
0,5,0.0000,7.2960,4.70452,0.5278,1.5706,0
0,6,0.0000,7.3340,2.32169,0.5255,1.6203,0
0,7,0.0000,7.2827,3.33448,0.5352,1.6954,0
0,8,0.0000,7.2360,2.62005,0.5556,1.7778,0
0,9,0.0000,7.1595,3.36884,0.5776,1.8551,0
0,10,0.0000,6.9866,9.25647,0.6299,2.1513,0
0,11,0.0000,7.2607,4.45201,0.5459,1.6954,0
1,0,0.0000,7.1112,4.21097,0.5966,1.9394,0
1,1,0.0000,7.0488,9.39525,0.6154,2.0813,0
1,4,0.0000,6.9800,9.92944,0.6335,2.2069,0
1,5,0.0000,7.0648,5.14743,0.6045,1.9394,0
1,6,0.0000,5.5819,14.68102,0.8545,7.7576,0
1,7,0.0000,7.0172,3.95984,0.6171,2.0157,0
1,8,0.0000,7.3878,2.26102,0.5060,1.5515,0
1,10,0.0000,7.0203,5.95281,0.6114,2.0157,0
1,11,0.0000,7.2193,4.88452,0.5629,1.8028,0
2,1,0.0000,6.9274,8.71465,0.6433,2.2655,0
2,2,0.0000,6.2534,8.84830,0.7609,4.4912,0
2,4,0.0000,6.6417,7.35707,0.6921,2.7527,0
2,5,0.0000,7.2104,3.86037,0.5614,1.6954,0
2,6,0.0000,7.0787,6.60620,0.6025,2.0157,0
2,7,0.0000,7.0227,4.83248,0.6075,1.9394,0
2,8,0.0000,7.1927,4.86135,0.5628,1.6842,0
2,10,0.0000,6.7896,7.12815,0.6736,2.6392,0
2,11,0.0000,7.1847,4.68070,0.5624,1.7534,0
3,0,0.0000,6.9467,6.07429,0.6414,2.2857,0
3,1,0.0000,7.1905,3.57854,0.5687,1.8286,0
3,3,0.0000,7.0535,4.68113,0.6136,2.1157,0
3,4,0.0000,7.3329,3.97102,0.5232,1.5802,0
3,5,0.0000,7.0550,11.98639,0.6127,2.0984,0
3,8,0.0000,7.2315,4.39954,0.5539,1.7534,0
3,9,0.0000,7.0389,11.05898,0.6172,2.0984,0
3,10,0.0000,7.3088,5.04143,0.5325,1.6623,0
3,11,0.0000,6.9591,6.56474,0.6363,2.2655,0
4,0,0.0000,7.0789,5.47526,0.5948,1.8156,0
4,1,0.0000,7.5076,3.09164,0.4537,1.4222,0
4,2,0.0000,6.7845,7.37150,0.6738,2.4615,0
4,3,0.0000,6.5895,10.79444,0.7078,2.8444,0
4,4,0.0000,7.2559,4.31794,0.5510,1.7067,0
4,6,0.0000,6.9554,7.38596,0.6235,2.0645,0
4,7,0.0000,6.8303,8.68359,0.6630,2.4381,0
4,8,0.0000,6.8764,7.50248,0.6453,2.2069,0
4,9,0.0000,7.0949,4.60071,0.5912,1.8551,0
4,11,0.0000,7.0123,9.95609,0.6234,2.1695,0
5,2,0.0000,7.1577,4.91381,0.5754,1.8028,0
5,4,0.0000,7.1893,5.14609,0.5637,1.7181,0
5,8,0.0000,6.8591,5.85419,0.6510,2.3063,0
5,9,0.0000,7.0729,9.83111,0.6076,2.0480,0
5,11,0.0000,6.7863,10.11182,0.6752,2.5600,0
6,0,0.0000,6.7284,9.33956,0.6748,2.4854,0
6,1,0.0000,7.1164,7.11235,0.5943,1.9692,0
6,2,0.0000,6.8307,7.75462,0.6606,2.3486,0
6,4,0.0000,6.8738,7.71677,0.6478,2.2655,0
6,5,0.0000,7.0724,7.49640,0.6039,1.9845,0
6,7,0.0000,7.1360,4.27105,0.5835,1.8286,0
6,10,0.0000,6.7077,9.25346,0.6886,2.6392,0
6,11,0.0000,6.8386,10.49187,0.6666,2.5347,0
7,4,0.0000,6.7657,11.08095,0.6824,2.6392,0
7,5,0.0000,7.4111,4.55480,0.4944,1.5148,0
7,6,0.0000,6.2426,10.78462,0.7608,4.4138,0
7,8,0.0000,6.9534,5.99071,0.6337,2.1157,0
7,10,0.0000,7.0965,8.44628,0.5999,1.9692,0
7,11,0.0000,6.3984,11.91432,0.7470,3.6056,0
8,1,0.0000,6.4288,9.30892,0.7310,3.4133,0
8,2,0.0000,6.1653,11.89437,0.7747,4.5714,0
8,3,0.0000,6.9691,6.11646,0.6245,2.0317,0
8,5,0.0000,6.7364,9.73334,0.6850,2.6667,0
8,7,0.0000,7.2683,4.07577,0.5401,1.6306,0
8,8,0.0000,7.2303,4.24874,0.5575,1.7534,0
8,9,0.0000,7.0209,5.07031,0.6141,2.0000,0
8,10,0.0000,6.9812,8.01553,0.6294,2.1695,0
8,11,0.0000,6.8962,7.22673,0.6425,2.2655,0
9,0,0.0000,6.7414,8.35988,0.6846,2.6667,0
9,1,0.0000,7.0087,7.06192,0.6233,2.1157,0
9,2,0.0000,7.1558,4.91237,0.5777,1.8417,0
9,4,0.0000,7.0853,5.78936,0.5971,1.9394,0
9,5,0.0000,7.3243,5.68523,0.5286,1.6000,0
9,6,0.0000,6.4789,8.58145,0.7289,3.2405,0
9,7,0.0000,6.5758,9.39290,0.7140,3.2821,0
9,8,0.0000,7.2540,4.40419,0.5482,1.6732,0
9,10,0.0000,7.1874,4.46066,0.5721,1.8686,0
9,11,0.0000,6.9742,5.42185,0.6276,2.1880,0
10,0,0.0000,7.1890,5.12623,0.5688,1.7778,0
10,1,0.0000,6.3176,22.10559,0.7669,4.1967,0
10,3,0.0000,6.8342,10.75705,0.6631,2.4615,0
10,5,0.0000,6.4699,17.45745,0.7331,3.4133,0
10,7,0.0000,6.7299,12.90142,0.6874,2.6667,0
10,8,0.0000,6.8971,8.98181,0.6412,2.1513,0
10,9,0.0000,6.6008,17.89436,0.7171,2.9425,0
10,10,0.0000,7.0552,7.64215,0.6099,2.0317,0
10,11,0.0000,6.9625,10.49798,0.6366,2.2456,0
11,0,0.0000,6.0833,23.32165,0.8002,4.9231,0
11,1,0.0000,6.4943,15.42049,0.7344,3.4595,0
11,2,0.0000,7.0016,8.37220,0.6234,2.0984,0
11,4,0.0000,6.1852,21.37854,0.7862,4.8302,0
11,6,0.0000,6.5144,14.02770,0.7331,3.3684,0
11,7,0.0000,6.0034,25.54777,0.8070,5.5652,0
11,8,0.0000,7.0541,9.18627,0.6068,1.9542,0
11,9,0.0000,7.1084,5.31465,0.5926,1.9104,0
11,10,0.0000,6.2229,18.20914,0.7772,4.6545,0
11,11,0.0000,6.3104,21.98681,0.7624,4.4912,0
