layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,48.600,1.0000,0.00006,0.01026,0.9744
0,0,0.20,41.069,0.9998,0.00037,0.02443,0.9487
0,0,0.30,35.493,0.9991,0.00122,0.04642,0.9231
0,0,0.40,32.187,0.9981,0.00262,0.06792,0.9231
0,0,0.50,28.893,0.9959,0.00602,0.09924,0.7692
0,1,0.10,55.956,0.9999,nan,0.01880,1.0000
0,1,0.20,48.168,0.9997,nan,0.04608,0.9231
0,1,0.30,43.561,0.9990,nan,0.07831,0.9231
0,1,0.40,39.003,0.9971,nan,0.13236,0.8718
0,1,0.50,35.833,0.9941,nan,0.19065,0.8352
0,2,0.10,66.133,1.0000,nan,0.00534,1.0000
0,2,0.20,56.126,1.0000,0.00240,0.01691,0.9487
0,2,0.30,50.922,0.9999,nan,0.03079,0.9487
0,2,0.40,46.031,0.9997,nan,0.05407,0.8974
0,2,0.50,41.346,0.9991,nan,0.09273,0.7949
0,3,0.10,68.739,1.0000,0.00008,0.00333,1.0000
0,3,0.20,59.765,1.0000,0.00075,0.00935,1.0000
0,3,0.30,53.590,1.0000,0.00259,0.01903,0.9487
0,3,0.40,48.502,0.9999,nan,0.03419,0.8791
0,3,0.50,43.666,0.9996,0.01137,0.05966,0.8278
0,4,0.10,57.306,0.9999,0.00013,0.01437,0.9231
0,4,0.20,48.840,0.9996,0.00103,0.03809,0.8974
0,4,0.30,44.425,0.9990,0.00423,0.06332,0.8974
0,4,0.40,41.176,0.9979,nan,0.09205,0.8205
0,4,0.50,37.886,0.9956,nan,0.13443,0.7509
0,5,0.10,61.167,1.0000,0.00014,0.01017,0.9487
0,5,0.20,49.794,0.9998,nan,0.03766,0.8718
0,5,0.30,44.219,0.9991,nan,0.07154,0.8278
0,5,0.40,40.418,0.9978,0.01299,0.11082,0.7912
0,5,0.50,37.085,0.9954,nan,0.16267,0.6886
0,6,0.10,55.610,1.0000,0.00010,0.00981,1.0000
0,6,0.20,47.914,0.9998,nan,0.02379,0.9487
0,6,0.30,42.552,0.9994,0.00180,0.04411,0.9487
0,6,0.40,38.390,0.9985,0.00435,0.07122,0.9231
0,6,0.50,34.442,0.9962,nan,0.11219,0.7766
0,7,0.10,55.230,1.0000,0.00023,0.01304,0.9744
0,7,0.20,45.088,0.9997,nan,0.04191,0.9487
0,7,0.30,39.488,0.9987,nan,0.07984,0.8608
0,7,0.40,35.815,0.9971,nan,0.12187,0.8022
0,7,0.50,32.595,0.9938,nan,0.17657,0.7839
0,8,0.10,57.589,1.0000,0.00014,0.00882,0.9744
0,8,0.20,48.688,0.9998,0.00080,0.02457,0.9231
0,8,0.30,43.553,0.9995,nan,0.04438,0.9231
0,8,0.40,39.007,0.9986,0.00540,0.07490,0.8462
0,8,0.50,36.017,0.9971,0.01176,0.10567,0.8462
0,9,0.10,58.115,1.0000,0.00016,0.00871,1.0000
0,9,0.20,48.434,0.9999,0.00092,0.02655,0.9744
0,9,0.30,44.942,0.9997,0.00159,0.03968,0.9744
0,9,0.40,40.119,0.9991,0.00513,0.06914,0.9487
0,9,0.50,36.155,0.9977,nan,0.10913,0.8718
0,10,0.10,73.812,1.0000,nan,0.00245,1.0000
0,10,0.20,64.422,1.0000,nan,0.00721,1.0000
0,10,0.30,58.628,1.0000,nan,0.01405,0.9487
0,10,0.40,51.246,0.9999,nan,0.03288,0.7949
0,10,0.50,44.237,0.9996,nan,0.07368,0.7509
0,11,0.10,53.602,1.0000,0.00069,0.01646,0.9487
0,11,0.20,45.375,0.9997,nan,0.04245,0.8974
0,11,0.30,41.000,0.9992,nan,0.07025,0.8974
0,11,0.40,36.914,0.9979,nan,0.11245,0.8462
0,11,0.50,32.862,0.9947,nan,0.17928,0.7216
1,0,0.10,56.361,1.0000,0.00020,0.00904,0.9744
1,0,0.20,48.978,0.9999,0.00077,0.02116,0.9487
1,0,0.30,43.749,0.9997,0.00280,0.03863,0.9487
1,0,0.40,39.173,0.9991,0.00652,0.06543,0.8791
1,0,0.50,35.749,0.9981,nan,0.09705,0.7949
1,1,0.10,85.842,1.0000,0.00007,0.00064,0.9744
1,1,0.20,69.586,1.0000,nan,0.00414,0.9231
1,1,0.30,61.193,1.0000,nan,0.01088,0.9231
1,1,0.40,54.371,1.0000,nan,0.02385,0.8095
1,1,0.50,46.872,0.9998,nan,0.05656,0.7582
1,2,0.10,63.194,1.0000,0.00010,0.00729,0.9487
1,2,0.20,52.190,0.9999,nan,0.02588,0.9487
1,2,0.30,46.776,0.9997,nan,0.04827,0.8974
1,2,0.40,42.284,0.9991,nan,0.08096,0.8462
1,2,0.50,38.429,0.9978,nan,0.12618,0.7070
1,3,0.10,65.246,1.0000,0.00007,0.00483,1.0000
1,3,0.20,56.407,1.0000,0.00045,0.01336,1.0000
1,3,0.30,48.612,0.9999,0.00243,0.03276,1.0000
1,3,0.40,43.688,0.9996,0.00563,0.05775,0.9487
1,3,0.50,39.536,0.9989,0.01149,0.09315,0.9231
1,4,0.10,80.979,1.0000,nan,0.00116,0.9744
1,4,0.20,70.628,1.0000,nan,0.00382,0.9048
1,4,0.30,63.671,1.0000,nan,0.00850,0.8608
1,4,0.40,54.489,1.0000,nan,0.02447,0.8022
1,4,0.50,48.205,0.9998,0.01551,0.05045,0.7082
1,5,0.10,61.495,1.0000,0.00021,0.00785,1.0000
1,5,0.20,50.861,0.9999,nan,0.02670,0.9744
1,5,0.30,45.059,0.9997,nan,0.05208,0.9231
1,5,0.40,41.854,0.9994,nan,0.07531,0.8974
1,5,0.50,38.196,0.9985,nan,0.11476,0.8205
1,6,0.10,112.526,1.0000,0.00000,0.00003,1.0000
1,6,0.20,92.004,1.0000,nan,0.00033,1.0000
1,6,0.30,80.701,1.0000,nan,0.00120,0.9487
1,6,0.40,73.884,1.0000,nan,0.00262,0.8791
1,6,0.50,69.196,1.0000,nan,0.00449,0.7839
1,7,0.10,63.148,1.0000,0.00009,0.00785,1.0000
1,7,0.20,53.413,0.9999,0.00090,0.02407,0.9487
1,7,0.30,47.314,0.9996,0.00297,0.04858,0.9487
1,7,0.40,43.337,0.9991,0.00783,0.07679,0.9487
1,7,0.50,39.680,0.9978,0.01518,0.11700,0.8462
1,8,0.10,53.573,1.0000,0.00006,0.00811,1.0000
1,8,0.20,42.872,0.9998,0.00061,0.02779,0.9744
1,8,0.30,37.351,0.9992,nan,0.05248,0.9744
1,8,0.40,32.435,0.9974,nan,0.09243,0.9231
1,8,0.50,29.007,0.9942,nan,0.13715,0.8462
1,9,0.10,58.954,1.0000,0.00018,0.00933,1.0000
1,9,0.20,50.454,0.9999,0.00104,0.02482,0.9487
1,9,0.30,44.741,0.9997,nan,0.04792,0.8718
1,9,0.40,40.911,0.9992,nan,0.07448,0.8718
1,9,0.50,37.650,0.9982,nan,0.10841,0.8462
1,10,0.10,62.605,1.0000,0.00017,0.00916,1.0000
1,10,0.20,52.743,0.9999,nan,0.02850,0.9231
1,10,0.30,48.258,0.9997,nan,0.04776,0.8278
1,10,0.40,44.306,0.9994,nan,0.07529,0.7839
1,10,0.50,41.342,0.9987,0.01598,0.10590,0.7143
1,11,0.10,62.202,1.0000,0.00022,0.00760,1.0000
1,11,0.20,50.315,0.9999,nan,0.02987,0.9744
1,11,0.30,44.058,0.9995,nan,0.06138,0.9487
1,11,0.40,39.899,0.9986,nan,0.09909,0.8718
1,11,0.50,35.578,0.9962,nan,0.16295,0.8205
2,0,0.10,151.775,1.0000,nan,0.00000,1.0000
2,0,0.20,144.254,1.0000,nan,0.00000,0.9744
2,0,0.30,132.102,1.0000,nan,0.00000,0.8718
2,0,0.40,117.699,1.0000,nan,0.00002,0.7509
2,0,0.50,102.576,1.0000,nan,0.00010,0.6749
2,1,0.10,77.281,1.0000,nan,0.00165,0.9744
2,1,0.20,65.289,1.0000,0.00078,0.00654,0.9231
2,1,0.30,56.788,1.0000,nan,0.01741,0.8974
2,1,0.40,49.760,0.9999,nan,0.03910,0.8791
2,1,0.50,44.867,0.9996,nan,0.06869,0.8462
2,2,0.10,71.181,1.0000,0.00009,0.00323,1.0000
2,2,0.20,62.215,1.0000,nan,0.00906,0.9744
2,2,0.30,55.911,1.0000,0.00240,0.01871,0.9487
2,2,0.40,50.704,0.9999,0.00568,0.03408,0.8462
2,2,0.50,46.896,0.9998,nan,0.05283,0.7436
2,3,0.10,61.981,1.0000,0.00023,0.00786,0.9744
2,3,0.20,53.353,1.0000,nan,0.02122,0.9487
2,3,0.30,47.947,0.9998,nan,0.03955,0.9487
2,3,0.40,43.749,0.9996,nan,0.06413,0.9231
2,3,0.50,40.345,0.9990,nan,0.09488,0.8205
2,4,0.10,66.211,1.0000,0.00014,0.00552,0.9487
2,4,0.20,56.200,1.0000,0.00167,0.01749,0.9231
2,4,0.30,51.167,0.9999,nan,0.03121,0.8718
