layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.678,1.0000,0.00005,0.00907,0.9231
0,0,0.20,41.171,0.9998,0.00029,0.02414,0.9231
0,0,0.30,37.172,0.9994,0.00085,0.03826,0.9231
0,0,0.40,32.932,0.9984,0.00216,0.06234,0.9231
0,0,0.50,29.983,0.9968,0.00403,0.08753,0.7766
0,1,0.10,55.854,0.9999,nan,0.01902,0.9487
0,1,0.20,49.089,0.9997,nan,0.04144,0.9231
0,1,0.30,44.310,0.9992,nan,0.07184,0.8718
0,1,0.40,41.326,0.9983,nan,0.10130,0.8974
0,1,0.50,37.513,0.9960,nan,0.15712,0.8974
0,2,0.10,63.953,1.0000,nan,0.00687,1.0000
0,2,0.20,53.793,0.9999,nan,0.02212,0.9231
0,2,0.30,46.971,0.9998,nan,0.04853,0.9487
0,2,0.40,42.361,0.9993,nan,0.08251,0.8718
0,2,0.50,37.162,0.9977,nan,0.15011,0.7839
0,3,0.10,64.433,1.0000,0.00030,0.00546,1.0000
0,3,0.20,53.444,1.0000,nan,0.01935,0.9744
0,3,0.30,47.930,0.9999,nan,0.03652,0.8718
0,3,0.40,42.925,0.9995,nan,0.06497,0.8462
0,3,0.50,36.721,0.9981,nan,0.13272,0.8535
0,4,0.10,62.334,1.0000,0.00008,0.00806,0.9487
0,4,0.20,52.075,0.9998,0.00054,0.02625,0.8974
0,4,0.30,46.925,0.9995,0.00163,0.04749,0.8462
0,4,0.40,43.882,0.9989,0.00451,0.06740,0.7766
0,4,0.50,40.085,0.9973,0.00899,0.10436,0.7766
0,5,0.10,60.597,1.0000,0.00015,0.01086,0.9744
0,5,0.20,51.271,0.9998,nan,0.03177,0.9487
0,5,0.30,44.558,0.9992,nan,0.06881,0.8535
0,5,0.40,40.073,0.9977,nan,0.11531,0.7885
0,5,0.50,37.549,0.9958,nan,0.15421,0.7839
0,6,0.10,58.753,1.0000,0.00006,0.00683,1.0000
0,6,0.20,48.273,0.9998,0.00117,0.02283,0.9744
0,6,0.30,42.686,0.9994,nan,0.04343,0.9048
0,6,0.40,38.201,0.9984,nan,0.07279,0.8791
0,6,0.50,34.247,0.9960,nan,0.11474,0.8535
0,7,0.10,52.975,0.9999,0.00048,0.01690,0.9487
0,7,0.20,46.034,0.9997,0.00184,0.03758,0.9487
0,7,0.30,41.179,0.9991,nan,0.06572,0.9487
0,7,0.40,36.697,0.9976,nan,0.11011,0.8535
0,7,0.50,32.940,0.9943,nan,0.16969,0.8022
0,8,0.10,62.097,1.0000,0.00003,0.00525,1.0000
0,8,0.20,52.178,0.9999,nan,0.01644,0.9487
0,8,0.30,45.973,0.9997,nan,0.03358,0.9487
0,8,0.40,42.189,0.9993,nan,0.05192,0.9487
0,8,0.50,37.597,0.9980,nan,0.08810,0.8462
0,9,0.10,55.038,1.0000,0.00017,0.01241,1.0000
0,9,0.20,48.396,0.9999,0.00138,0.02666,1.0000
0,9,0.30,44.142,0.9996,0.00270,0.04351,0.9231
0,9,0.40,39.037,0.9988,nan,0.07832,0.8718
0,9,0.50,35.838,0.9975,nan,0.11319,0.8022
0,10,0.10,63.339,1.0000,nan,0.00817,1.0000
0,10,0.20,56.320,1.0000,nan,0.01833,0.9487
0,10,0.30,48.457,0.9998,nan,0.04533,0.8205
0,10,0.40,42.890,0.9994,nan,0.08604,0.7070
0,10,0.50,38.034,0.9982,nan,0.15047,0.6236
0,11,0.10,56.795,1.0000,nan,0.01140,0.9744
0,11,0.20,48.042,0.9998,nan,0.03123,0.9487
0,11,0.30,42.975,0.9995,nan,0.05596,0.9231
0,11,0.40,37.883,0.9983,nan,0.10058,0.9048
0,11,0.50,34.163,0.9961,nan,0.15434,0.8095
1,0,0.10,60.687,1.0000,0.00004,0.00550,1.0000
1,0,0.20,49.844,0.9999,0.00068,0.01915,0.9744
1,0,0.30,43.459,0.9997,0.00334,0.03995,0.9487
1,0,0.40,39.109,0.9991,nan,0.06591,0.9231
1,0,0.50,34.753,0.9976,nan,0.10884,0.7692
1,1,0.10,65.933,1.0000,nan,0.00630,0.9231
1,1,0.20,55.695,1.0000,nan,0.02048,0.8535
1,1,0.30,48.081,0.9998,nan,0.04921,0.7766
1,1,0.40,42.035,0.9993,nan,0.09872,0.7152
1,1,0.50,37.347,0.9980,nan,0.16934,0.6639
1,2,0.10,58.895,1.0000,0.00058,0.01196,0.9744
1,2,0.20,50.667,0.9999,0.00267,0.03084,0.9231
1,2,0.30,44.703,0.9995,nan,0.06128,0.8462
