layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.33459,1.96589,0.36869,5.33204,7.28509,-0.00000,0.54258,0,0.04747,1.72973,12,144,16
0,1,4.51770,2.60693,1.91077,1.36433,7.30187,-0.00000,0.53251,0,0.06720,1.64103,12,144,16
0,2,7.27005,3.59840,3.67165,0.98005,7.07584,-0.00000,0.60478,1,0.06541,1.98450,12,144,16
0,3,8.77695,4.79953,3.97742,1.20670,6.92336,-0.00000,0.64760,0,0.04605,2.37037,12,144,16
0,4,2.94393,2.13355,0.81038,2.63276,7.31684,-0.00000,0.52778,0,0.05321,1.66234,12,144,16
0,5,5.51760,2.91043,2.60717,1.11632,7.26686,-0.00000,0.54241,0,0.06995,1.68421,12,144,16
0,6,2.79768,2.13498,0.66270,3.22164,7.31469,-0.00000,0.53180,0,0.04167,1.71812,12,144,16
0,7,3.92644,2.30038,1.62606,1.41469,7.37571,-0.00000,0.51016,0,0.08214,1.59006,12,144,16
0,8,3.18640,2.35154,0.83486,2.81668,7.38944,-0.00000,0.50321,0,0.06738,1.52381,12,144,16
0,9,4.56775,2.37154,2.19621,1.07983,7.43888,-0.00000,0.47907,0,0.09364,1.47977,12,144,16
0,10,10.06397,5.44789,4.61608,1.18020,6.99939,-0.00000,0.62742,0,0.05406,2.22609,12,144,16
0,11,4.62546,2.06179,2.56367,0.80423,7.23270,-0.00000,0.55358,1,0.05706,1.75342,12,144,16
1,0,6.28059,3.24146,3.03913,1.06658,7.10731,-0.00000,0.59762,0,0.05826,1.95420,12,144,16
1,1,8.29606,3.14022,5.15584,0.60906,7.16429,-0.00000,0.58016,1,0.07593,1.85507,12,144,16
1,2,5.85837,2.82588,3.03250,0.93186,7.16096,-0.00000,0.57456,1,0.06128,1.81560,12,144,16
1,3,3.73314,1.87746,1.85569,1.01173,7.18497,-0.00000,0.56864,0,0.04788,1.82857,12,144,16
1,4,10.26004,3.61633,6.64371,0.54432,7.02135,-0.00000,0.61853,1,0.06120,2.08130,12,144,16
1,5,4.93996,2.55249,2.38747,1.06912,7.06636,-0.00000,0.60767,0,0.04122,1.98450,12,144,16
1,6,14.48821,4.78338,9.70483,0.49289,5.84316,-0.00000,0.82071,1,0.00725,5.56522,12,144,16
1,7,7.21302,2.80517,4.40785,0.63640,6.82145,-0.00000,0.65554,1,0.05283,2.32727,12,144,16
1,8,3.38671,2.13607,1.25063,1.70799,7.06383,-0.00000,0.60388,0,0.04427,1.93939,12,144,16
1,9,5.57716,2.48142,3.09575,0.80156,6.76617,-0.00000,0.67166,1,0.02802,2.43810,12,144,16
1,10,4.84236,2.40158,2.44078,0.98394,7.06717,-0.00000,0.60041,1,0.04723,1.89630,12,144,16
1,11,6.22147,2.94434,3.27713,0.89845,7.31978,-0.00000,0.52408,1,0.07896,1.57055,12,144,16
2,0,20.92243,7.15296,13.76947,0.51948,7.22915,-0.00000,0.55941,1,0.10116,1.88235,12,144,16
2,1,9.20975,3.19411,6.01564,0.53097,6.92953,-0.00000,0.64385,1,0.04898,2.28571,12,144,16
2,2,8.07521,3.11861,4.95661,0.62918,6.69542,-0.00000,0.67870,1,0.04616,2.56000,12,144,16
2,3,5.63125,2.64505,2.98620,0.88576,6.78912,-0.00000,0.66017,1,0.04345,2.30631,12,144,16
2,4,4.67144,2.29039,2.38105,0.96193,7.14555,-0.00000,0.57902,1,0.06518,1.77778,12,144,16
2,5,3.76539,2.06405,1.70133,1.21320,7.07232,-0.00000,0.60052,0,0.04200,1.89630,12,144,16
2,6,8.02386,4.19039,3.83347,1.09310,7.16746,-0.00000,0.57691,0,0.06845,1.84173,12,144,16
2,7,4.14693,2.25380,1.89313,1.19052,7.04910,-0.00000,0.60213,0,0.04703,1.89630,12,144,16
2,8,4.48266,2.19575,2.28691,0.96014,7.31135,-0.00000,0.53000,1,0.08472,1.61006,12,144,16
2,9,20.66364,7.07198,13.59166,0.52032,7.22950,-0.00000,0.55920,1,0.10833,1.88235,12,144,16
2,10,7.66736,3.56955,4.09781,0.87109,6.87778,-0.00000,0.65159,1,0.04175,2.37037,12,144,16
2,11,5.31055,2.27826,3.03229,0.75133,7.19124,-0.00000,0.55857,1,0.05284,1.74150,12,144,16
3,0,6.65741,3.94026,2.71715,1.45014,6.82894,-0.00000,0.66828,0,0.02598,2.50980,12,144,16
3,1,3.92210,2.63723,1.28487,2.05252,7.18745,-0.00000,0.56570,0,0.04929,1.76552,12,144,16
3,2,4.22355,2.84485,1.37870,2.06343,7.21378,-0.00000,0.55969,0,0.05226,1.77778,12,144,16
3,3,4.53816,2.88961,1.64855,1.75282,7.07488,-0.00000,0.60487,0,0.03967,2.03175,12,144,16
3,4,3.78296,2.47493,1.30803,1.89211,7.29431,-0.00000,0.53449,0,0.07714,1.64103,12,144,16
3,5,10.24758,4.09954,6.14804,0.66680,7.11340,-0.00000,0.59593,1,0.06371,1.98450,12,144,16
3,6,3.71000,2.72908,0.98092,2.78218,6.99450,-0.00000,0.62162,0,0.03990,2.08130,12,144,16
3,7,4.13109,2.44570,1.68539,1.45112,7.00386,-0.00000,0.61886,0,0.03218,2.00000,12,144,16
3,8,5.51204,3.01372,2.49832,1.20630,7.14929,-0.00000,0.58000,0,0.06041,1.81560,12,144,16
3,9,10.37498,4.65134,5.72363,0.81266,6.80094,-0.00000,0.66973,1,0.04188,2.43810,12,144,16
3,10,6.25856,2.98530,3.27326,0.91203,7.36740,-0.00000,0.51189,1,0.12608,1.56098,12,144,16
3,11,5.78554,2.99503,2.79051,1.07329,7.06278,-0.00000,0.59610,0,0.06418,1.88235,12,144,16
4,0,8.16327,5.44323,2.72004,2.00115,6.84840,-0.00000,0.65378,0,0.04303,2.34862,12,144,16
4,1,3.68415,2.24603,1.43812,1.56178,7.34182,-0.00000,0.51639,0,0.06437,1.60000,12,144,16
4,2,6.12608,4.11333,2.01275,2.04364,6.96395,-0.00000,0.61684,0,0.04928,2.04800,12,144,16
