layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.04404,2.89024,2.15381,1.9291,7.2434,0.0000,0.5502,0.06210,0.3727
1,12,6.75809,2.90048,3.85761,0.8962,6.9656,0.0000,0.6186,0.05036,0.4714
2,12,8.54754,3.50208,5.04546,0.8439,7.0573,0.0000,0.6000,0.06250,0.4330
3,12,5.76200,3.14222,2.61978,1.5096,7.0910,0.0000,0.5939,0.05606,0.4330
4,12,7.88417,5.00950,2.87467,1.7948,6.9178,0.0000,0.6246,0.05065,0.0000
5,12,9.04864,5.93456,3.11408,2.0217,6.6800,0.0000,0.6785,0.03798,0.0000
6,12,8.47794,5.10416,3.37379,1.6110,6.8963,0.0000,0.6387,0.05091,0.2764
7,12,9.82509,6.55339,3.27170,2.1226,6.5471,0.0000,0.7038,0.03310,0.0000
8,12,8.42117,5.80132,2.61985,2.3672,6.5913,0.0000,0.6870,0.03409,0.0000
9,12,7.28998,5.09728,2.19271,2.4573,6.6830,0.0000,0.6745,0.03467,0.0000
10,12,6.61240,4.75355,1.85885,3.6153,6.9055,0.0000,0.6372,0.03828,0.0000
11,12,8.17184,6.82886,1.34298,5.2896,6.4131,0.0000,0.7269,0.02022,0.0000
