layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9163,7.2291,20.92243,0.5594,1.8824,1
2,9,0.9163,7.2295,20.66364,0.5592,1.8824,1
11,1,0.8248,6.2365,9.47161,0.7608,4.5714,1
11,4,0.8248,6.2052,8.63358,0.7702,4.4138,1
5,10,0.8243,6.9474,7.78569,0.6360,2.2069,1
6,9,0.8243,6.7074,7.96561,0.6860,2.5859,1
4,10,0.8186,7.1486,7.39140,0.5762,1.8417,1
5,3,0.8186,7.0099,7.38433,0.6159,2.0645,1
6,5,0.8185,6.9063,8.28277,0.6371,2.1333,1
6,6,0.8185,6.8249,7.87061,0.6535,2.2456,3
11,0,0.8108,6.0378,10.18229,0.7995,5.1200,2
11,7,0.8108,6.0295,10.27781,0.7945,5.9535,1
7,3,0.8073,6.1091,11.19095,0.7785,4.4138,1
8,6,0.8073,5.9163,12.08681,0.8053,5.5652,2
5,1,0.8031,6.0631,12.78078,0.7880,4.9231,1
1,9,0.8019,6.7662,5.57716,0.6717,2.4381,1
2,3,0.8019,6.7891,5.63125,0.6602,2.3063,1
3,2,0.8007,7.2138,4.22355,0.5597,1.7778,1
3,6,0.8007,6.9945,3.71000,0.6216,2.0813,1
11,3,0.7965,6.1377,9.60451,0.7793,4.8302,2
7,2,0.7858,6.7289,8.47420,0.6786,2.5347,2
6,8,0.7831,6.8702,6.55497,0.6491,2.3486,2
9,1,0.7831,6.9130,6.21788,0.6469,2.3925,3
5,0,0.7808,6.5336,9.28185,0.7178,2.9767,1
9,6,0.7696,6.1327,10.61085,0.7710,4.0000,1
3,0,0.7666,6.8289,6.65741,0.6683,2.5098,2
4,5,0.7569,6.9482,8.74706,0.6286,2.1333,1
9,2,0.7447,7.0031,5.13181,0.6156,2.0317,1
2,5,0.7438,7.0723,3.76539,0.6005,1.8963,1
2,8,0.7438,7.3114,4.48266,0.5300,1.6101,1
5,7,0.7424,6.6159,10.51672,0.6917,2.5859,1
5,11,0.7424,6.7227,9.63605,0.6830,2.6392,1
0,0,0.0000,7.2851,2.33459,0.5426,1.7297,0
0,1,0.0000,7.3019,4.51770,0.5325,1.6410,0
0,2,0.0000,7.0758,7.27005,0.6048,1.9845,0
0,3,0.0000,6.9234,8.77695,0.6476,2.3704,0
0,4,0.0000,7.3168,2.94393,0.5278,1.6623,0
0,5,0.0000,7.2669,5.51760,0.5424,1.6842,0
0,6,0.0000,7.3147,2.79768,0.5318,1.7181,0
0,7,0.0000,7.3757,3.92644,0.5102,1.5901,0
0,8,0.0000,7.3894,3.18640,0.5032,1.5238,0
0,9,0.0000,7.4389,4.56775,0.4791,1.4798,0
0,10,0.0000,6.9994,10.06397,0.6274,2.2261,0
0,11,0.0000,7.2327,4.62546,0.5536,1.7534,0
1,0,0.0000,7.1073,6.28059,0.5976,1.9542,0
1,1,0.0000,7.1643,8.29606,0.5802,1.8551,0
1,2,0.0000,7.1610,5.85837,0.5746,1.8156,0
1,3,0.0000,7.1850,3.73314,0.5686,1.8286,0
1,4,0.0000,7.0213,10.26004,0.6185,2.0813,0
1,5,0.0000,7.0664,4.93996,0.6077,1.9845,0
1,6,0.0000,5.8432,14.48821,0.8207,5.5652,0
1,7,0.0000,6.8215,7.21302,0.6555,2.3273,0
1,8,0.0000,7.0638,3.38671,0.6039,1.9394,0
1,10,0.0000,7.0672,4.84236,0.6004,1.8963,0
1,11,0.0000,7.3198,6.22147,0.5241,1.5706,0
2,1,0.0000,6.9295,9.20975,0.6438,2.2857,0
2,2,0.0000,6.6954,8.07521,0.6787,2.5600,0
2,4,0.0000,7.1455,4.67144,0.5790,1.7778,0
2,6,0.0000,7.1675,8.02386,0.5769,1.8417,0
2,7,0.0000,7.0491,4.14693,0.6021,1.8963,0
2,10,0.0000,6.8778,7.66736,0.6516,2.3704,0
2,11,0.0000,7.1912,5.31055,0.5586,1.7415,0
3,1,0.0000,7.1874,3.92210,0.5657,1.7655,0
3,3,0.0000,7.0749,4.53816,0.6049,2.0317,0
3,4,0.0000,7.2943,3.78296,0.5345,1.6410,0
3,5,0.0000,7.1134,10.24758,0.5959,1.9845,0
3,7,0.0000,7.0039,4.13109,0.6189,2.0000,0
3,8,0.0000,7.1493,5.51204,0.5800,1.8156,0
3,9,0.0000,6.8009,10.37498,0.6697,2.4381,0
3,10,0.0000,7.3674,6.25856,0.5119,1.5610,0
3,11,0.0000,7.0628,5.78554,0.5961,1.8824,0
4,0,0.0000,6.8484,8.16327,0.6538,2.3486,0
