layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,53.287,1.0000,0.00004,0.00808,0.9722
0,0,0.20,42.771,0.9997,0.00039,0.02711,0.9444
0,0,0.30,37.387,0.9990,0.00157,0.05039,0.9167
0,0,0.40,34.347,0.9980,0.00441,0.07150,0.8333
0,0,0.50,30.898,0.9956,0.00754,0.10635,0.7857
0,1,0.10,55.350,0.9999,0.00045,0.01749,0.9444
0,1,0.20,47.052,0.9996,0.00323,0.04547,0.9444
0,1,0.30,42.508,0.9988,nan,0.07671,0.8611
0,1,0.40,37.142,0.9960,nan,0.14230,0.8413
0,1,0.50,34.922,0.9934,nan,0.18374,0.7659
0,2,0.10,61.509,1.0000,nan,0.00884,1.0000
0,2,0.20,52.610,0.9999,nan,0.02462,0.9444
0,2,0.30,44.738,0.9996,nan,0.06094,0.9167
0,2,0.40,39.868,0.9988,nan,0.10675,0.7302
0,2,0.50,35.978,0.9970,nan,0.16706,0.6548
0,3,0.10,61.630,1.0000,nan,0.00776,1.0000
0,3,0.20,52.368,0.9999,nan,0.02254,0.9722
0,3,0.30,45.888,0.9998,nan,0.04754,0.9444
0,3,0.40,41.884,0.9994,nan,0.07538,0.8611
0,3,0.50,37.758,0.9984,nan,0.12121,0.8056
0,4,0.10,59.861,1.0000,0.00006,0.00978,0.9722
0,4,0.20,50.640,0.9998,0.00066,0.02828,0.9444
0,4,0.30,45.006,0.9993,0.00239,0.05410,0.8611
0,4,0.40,40.703,0.9981,nan,0.08878,0.8611
0,4,0.50,37.361,0.9958,0.01161,0.13044,0.7778
0,5,0.10,54.211,0.9999,nan,0.02109,0.9444
0,5,0.20,47.373,0.9996,nan,0.04635,0.8889
0,5,0.30,41.348,0.9984,nan,0.09276,0.8413
0,5,0.40,38.210,0.9966,nan,0.13311,0.7857
0,5,0.50,34.818,0.9926,nan,0.19671,0.7659
0,6,0.10,52.289,0.9999,0.00022,0.01333,0.9444
0,6,0.20,44.405,0.9997,0.00119,0.03305,0.9167
0,6,0.30,40.012,0.9991,nan,0.05479,0.8611
0,6,0.40,36.934,0.9981,nan,0.07810,0.9167
0,6,0.50,33.668,0.9960,nan,0.11375,0.8611
0,7,0.10,50.330,0.9999,nan,0.02273,0.9444
0,7,0.20,42.175,0.9993,nan,0.05812,0.8889
0,7,0.30,35.926,0.9970,nan,0.11934,0.8889
0,7,0.40,33.290,0.9945,nan,0.16165,0.8889
0,7,0.50,30.587,0.9897,nan,0.22067,0.7579
0,8,0.10,54.661,1.0000,0.00016,0.01016,0.9722
0,8,0.20,46.482,0.9998,0.00091,0.02604,0.9444
