layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.04404,2.97542,2.06863,1.8859,7.2961,0.0000,0.5316,0.06916,0.2764
1,12,6.75809,3.57667,3.18142,1.2821,6.9902,0.0000,0.6089,0.05171,0.4330
2,12,8.54754,3.94858,4.59896,1.1326,7.0936,0.0000,0.5913,0.06161,0.4714
3,12,5.76200,3.16870,2.59329,1.4249,7.1435,0.0000,0.5814,0.05381,0.4330
4,12,7.88417,4.08500,3.79917,1.1179,6.8963,0.0000,0.6337,0.04310,0.4714
5,12,9.04864,4.73536,4.31327,1.1609,6.6740,0.0000,0.6834,0.03386,0.3727
6,12,8.47794,4.16033,4.31761,1.0065,6.9018,0.0000,0.6422,0.04355,0.4930
7,12,9.82509,5.18579,4.63930,1.2105,6.6123,0.0000,0.6968,0.03188,0.3727
8,12,8.42117,4.56825,3.85292,1.3136,6.5810,0.0000,0.6928,0.03178,0.3727
9,12,7.28998,4.13963,3.15036,1.4835,6.7188,0.0000,0.6726,0.03222,0.2764
10,12,6.61240,4.87858,1.73382,3.5031,6.9487,0.0000,0.6290,0.04183,0.0000
11,12,8.17184,6.79146,1.38039,5.0096,6.6095,0.0000,0.6994,0.02505,0.0000
