layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9163,7.1388,20.92243,0.5875,1.8963,1
2,9,0.9163,7.1496,20.66364,0.5847,1.8963,1
11,1,0.8254,6.5144,9.47161,0.7204,3.0476,1
11,4,0.8254,6.5217,8.63358,0.7176,2.9425,1
4,10,0.8216,6.9591,7.39140,0.6314,2.1157,1
5,3,0.8216,6.8480,7.38433,0.6565,2.3063,2
6,5,0.8179,7.0224,8.28277,0.6145,2.0480,1
6,6,0.8179,6.8554,7.87061,0.6516,2.2857,4
11,0,0.8099,6.3421,10.18229,0.7576,3.6571,2
11,7,0.8099,6.2882,10.27781,0.7630,4.0635,1
7,3,0.8081,6.1071,11.19095,0.7836,5.3333,1
8,6,0.8081,5.8890,12.08681,0.8124,6.7368,2
5,1,0.8038,6.0159,12.78078,0.7967,5.5652,1
3,2,0.8020,7.2907,4.22355,0.5393,1.6954,1
3,6,0.8020,7.0913,3.71000,0.5987,1.9248,1
1,9,0.8012,6.8893,5.57716,0.6445,2.3486,1
2,3,0.8012,6.9751,5.63125,0.6249,2.1157,1
11,3,0.7943,6.3899,9.60451,0.7472,3.4133,1
7,2,0.7825,6.8314,8.47419,0.6586,2.2857,2
6,8,0.7803,6.8867,6.55497,0.6509,2.2655,2
9,1,0.7803,6.8481,6.21788,0.6642,2.4151,3
5,0,0.7752,6.5959,9.28185,0.7072,2.9767,1
3,0,0.7634,6.8516,6.65741,0.6652,2.4381,2
7,0,0.7599,6.8542,7.14788,0.6536,2.3704,1
10,9,0.7533,6.8735,7.83175,0.6568,2.3704,1
11,5,0.7533,6.6420,7.42397,0.6922,2.6392,1
4,5,0.7531,6.8082,8.74706,0.6612,2.3486,1
2,5,0.7440,7.1740,3.76539,0.5695,1.7415,1
2,8,0.7440,7.3132,4.48266,0.5328,1.6410,1
7,1,0.7417,6.8718,7.76331,0.6499,2.2857,1
5,7,0.7408,6.5383,10.51672,0.7129,3.0843,1
5,11,0.7408,6.7658,9.63605,0.6777,2.6392,1
8,11,0.7340,6.7860,7.28867,0.6654,2.3704,1
9,3,0.7340,6.7169,7.91663,0.6854,2.6667,1
9,2,0.7333,7.0357,5.13181,0.6095,1.9248,1
0,0,0.0000,7.3472,2.33459,0.5201,1.6101,0
0,1,0.0000,7.4108,4.51770,0.4940,1.5059,0
0,2,0.0000,7.1010,7.27004,0.5974,1.9394,0
0,3,0.0000,6.9597,8.77695,0.6343,2.1695,0
0,4,0.0000,7.3039,2.94393,0.5341,1.6410,0
0,5,0.0000,7.3823,5.51760,0.5013,1.4971,0
0,6,0.0000,7.3731,2.79768,0.5125,1.6101,0
0,7,0.0000,7.5673,3.92644,0.4267,1.3838,0
0,8,0.0000,7.3916,3.18640,0.5039,1.6101,0
0,9,0.0000,7.3829,4.56775,0.5023,1.5329,0
0,10,0.0000,7.0321,10.06397,0.6187,2.0984,0
0,11,0.0000,7.3016,4.62546,0.5332,1.6410,0
1,0,0.0000,7.0838,6.28059,0.6026,1.9394,0
1,1,0.0000,7.1208,8.29606,0.5931,1.9394,0
1,2,0.0000,7.1942,5.85837,0.5626,1.7655,0
1,3,0.0000,7.2973,3.73314,0.5275,1.6306,0
1,4,0.0000,6.9918,10.26004,0.6296,2.1880,0
1,5,0.0000,7.1333,4.93996,0.5815,1.8286,0
1,6,0.0000,5.6811,14.48821,0.8437,7.3143,0
1,7,0.0000,6.8005,7.21302,0.6596,2.4151,0
1,8,0.0000,7.2121,3.38671,0.5618,1.7534,0
1,10,0.0000,7.1343,4.84236,0.5805,1.8551,0
1,11,0.0000,7.3435,6.22147,0.5198,1.6101,0
2,1,0.0000,6.8339,9.20975,0.6628,2.3925,0
2,2,0.0000,6.7597,8.07521,0.6709,2.4151,0
2,4,0.0000,7.0607,4.67144,0.6010,1.9104,0
2,6,0.0000,7.1802,8.02386,0.5755,1.8156,0
2,7,0.0000,7.2424,4.14693,0.5442,1.6623,0
2,10,0.0000,7.0280,7.66736,0.6098,1.9692,0
2,11,0.0000,7.2674,5.31055,0.5315,1.6410,0
3,1,0.0000,7.2275,3.92210,0.5566,1.7297,0
3,3,0.0000,7.1440,4.53816,0.5848,1.8686,0
3,4,0.0000,7.3146,3.78296,0.5298,1.6410,0
3,5,0.0000,7.0596,10.24758,0.6100,2.0317,0
3,7,0.0000,7.0557,4.13109,0.6092,2.0480,0
3,8,0.0000,7.2261,5.51204,0.5622,1.8028,0
3,9,0.0000,7.0459,10.37498,0.6090,1.9845,0
3,10,0.0000,7.3869,6.25856,0.5054,1.5802,0
3,11,0.0000,7.0286,5.78554,0.6064,2.0157,0
4,0,0.0000,7.0074,8.16327,0.6145,2.0645,0
4,1,0.0000,7.3459,3.68415,0.5174,1.5901,0
4,2,0.0000,6.9833,6.12608,0.6167,1.9845,0
4,3,0.0000,5.9160,13.48907,0.8148,6.2439,0
4,4,0.0000,7.4071,5.25765,0.4960,1.5422,0
4,6,0.0000,7.0141,8.58461,0.6177,2.0480,0
4,7,0.0000,6.7653,10.59584,0.6819,2.7234,0
4,8,0.0000,6.6164,7.32634,0.7000,2.7527,0
4,9,0.0000,6.9904,5.58929,0.6127,1.9845,0
4,11,0.0000,6.9419,9.65532,0.6403,2.2655,0
5,2,0.0000,6.9936,5.84393,0.6217,2.0984,0
5,4,0.0000,6.9830,6.00199,0.6150,1.9692,0
5,5,0.0000,6.0506,12.00467,0.7856,5.6889,0
5,6,0.0000,6.2763,11.55787,0.7681,4.2667,0
5,8,0.0000,6.8738,5.94879,0.6473,2.1880,0
5,9,0.0000,7.0922,9.84100,0.6009,2.0000,0
5,10,0.0000,7.0545,7.78569,0.6107,2.0317,0
6,0,0.0000,6.5801,11.56876,0.7126,3.0476,0
6,1,0.0000,7.1512,6.70723,0.5806,1.8417,0
6,2,0.0000,6.8191,8.33296,0.6594,2.3704,0
6,3,0.0000,6.6695,10.98813,0.7027,2.9091,0
6,4,0.0000,6.9323,8.10791,0.6355,2.1695,0
6,7,0.0000,7.1234,4.83881,0.5792,1.7902,0
6,9,0.0000,6.7535,7.96561,0.6788,2.5859,0
6,10,0.0000,6.9677,9.75293,0.6305,2.1880,0
6,11,0.0000,7.0602,10.76462,0.6107,2.0645,0
7,4,0.0000,6.9832,10.19279,0.6295,2.1695,0
7,5,0.0000,7.1984,5.34755,0.5584,1.7297,0
