layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.015,1.0000,0.00008,0.01049,0.9722
0,0,0.20,41.364,0.9996,0.00063,0.03187,0.9722
0,0,0.30,36.059,0.9987,0.00196,0.05871,0.8690
0,0,0.40,32.689,0.9971,0.00424,0.08653,0.8135
0,0,0.50,29.336,0.9937,0.01071,0.12731,0.6905
0,1,0.10,57.863,1.0000,0.00028,0.01310,1.0000
0,1,0.20,47.899,0.9997,0.00171,0.04124,0.9444
0,1,0.30,41.366,0.9985,nan,0.08750,0.7778
0,1,0.40,37.638,0.9964,nan,0.13441,0.8056
0,1,0.50,34.121,0.9920,nan,0.20148,0.7024
0,2,0.10,72.451,1.0000,0.00007,0.00251,1.0000
0,2,0.20,60.140,1.0000,0.00116,0.01035,0.9722
0,2,0.30,51.938,0.9999,nan,0.02660,0.9167
0,2,0.40,43.661,0.9995,nan,0.06898,0.8135
0,2,0.50,39.113,0.9986,nan,0.11645,0.7302
0,3,0.10,73.302,1.0000,0.00007,0.00202,1.0000
0,3,0.20,61.310,1.0000,0.00058,0.00805,1.0000
0,3,0.30,56.695,1.0000,nan,0.01370,1.0000
0,3,0.40,50.046,0.9999,nan,0.02945,0.9444
0,3,0.50,44.435,0.9997,0.01295,0.05619,0.8413
0,4,0.10,58.577,1.0000,0.00017,0.01134,0.9722
0,4,0.20,49.435,0.9997,0.00085,0.03249,0.8611
0,4,0.30,43.120,0.9989,0.00348,0.06722,0.8333
0,4,0.40,38.272,0.9966,nan,0.11745,0.7579
0,4,0.50,35.365,0.9934,nan,0.16414,0.7460
0,5,0.10,58.742,1.0000,0.00018,0.01252,0.9444
0,5,0.20,49.280,0.9997,nan,0.03721,0.9167
0,5,0.30,42.905,0.9989,nan,0.07753,0.8889
0,5,0.40,38.155,0.9966,nan,0.13396,0.8413
0,5,0.50,34.494,0.9921,nan,0.20419,0.7183
0,6,0.10,54.867,1.0000,0.00011,0.00991,1.0000
0,6,0.20,44.539,0.9997,nan,0.03254,0.9167
0,6,0.30,38.005,0.9985,0.00346,0.06904,0.8611
0,6,0.40,33.414,0.9957,0.00972,0.11713,0.7857
0,6,0.50,30.485,0.9916,0.01779,0.16409,0.7024
0,7,0.10,57.509,1.0000,0.00020,0.00995,0.9444
0,7,0.20,45.601,0.9997,nan,0.03918,0.9167
0,7,0.30,39.275,0.9986,nan,0.08116,0.8889
0,7,0.40,33.094,0.9942,nan,0.16533,0.7381
0,7,0.50,29.773,0.9875,nan,0.24235,0.7500
0,8,0.10,59.245,1.0000,0.00007,0.00599,1.0000
0,8,0.20,46.097,0.9998,0.00100,0.02722,1.0000
0,8,0.30,39.137,0.9990,0.00331,0.06067,0.8968
0,8,0.40,35.456,0.9976,nan,0.09269,0.8413
0,8,0.50,30.891,0.9931,nan,0.15677,0.7778
0,9,0.10,55.713,1.0000,0.00016,0.01203,0.9444
0,9,0.20,44.621,0.9996,0.00206,0.04313,0.9246
0,9,0.30,39.555,0.9989,0.00605,0.07729,0.8690
0,9,0.40,35.859,0.9974,nan,0.11828,0.7937
0,9,0.50,31.772,0.9932,0.02806,0.18935,0.7341
0,10,0.10,75.783,1.0000,0.00018,0.00183,1.0000
0,10,0.20,65.652,1.0000,nan,0.00589,1.0000
0,10,0.30,57.424,1.0000,nan,0.01519,0.9722
0,10,0.40,51.219,0.9999,nan,0.03103,0.8611
0,10,0.50,44.108,0.9996,nan,0.07035,0.7986
0,11,0.10,63.058,1.0000,0.00015,0.00684,1.0000
0,11,0.20,53.635,0.9999,nan,0.02024,0.9722
0,11,0.30,45.661,0.9996,0.00674,0.05068,0.8889
0,11,0.40,40.646,0.9987,nan,0.09028,0.8333
0,11,0.50,35.958,0.9962,nan,0.15489,0.7579
1,0,0.10,56.324,1.0000,nan,0.01079,0.9722
1,0,0.20,47.946,0.9999,nan,0.02832,0.9722
1,0,0.30,43.007,0.9996,nan,0.05001,0.8889
1,0,0.40,39.244,0.9991,nan,0.07712,0.7381
1,0,0.50,35.882,0.9981,nan,0.11358,0.6429
1,1,0.10,78.567,1.0000,nan,0.00129,1.0000
1,1,0.20,68.242,1.0000,0.00048,0.00423,0.9444
1,1,0.30,58.073,1.0000,nan,0.01365,0.9444
1,1,0.40,51.079,0.9999,nan,0.03053,0.9167
1,1,0.50,43.438,0.9995,nan,0.07359,0.8690
1,2,0.10,61.172,1.0000,0.00014,0.00976,0.9722
1,2,0.20,52.691,0.9999,0.00093,0.02592,0.9167
1,2,0.30,45.863,0.9996,0.00554,0.05690,0.9444
1,2,0.40,42.224,0.9991,0.01148,0.08651,0.8214
1,2,0.50,38.952,0.9980,nan,0.12609,0.7986
1,3,0.10,64.097,1.0000,0.00008,0.00515,0.9722
1,3,0.20,54.146,1.0000,0.00056,0.01619,0.9722
1,3,0.30,46.365,0.9997,0.00205,0.03966,0.9444
1,3,0.40,40.814,0.9990,nan,0.07515,0.9722
1,3,0.50,37.485,0.9978,0.01607,0.11024,0.9444
1,4,0.10,91.504,1.0000,0.00002,0.00031,1.0000
1,4,0.20,62.977,1.0000,nan,0.00820,0.9524
1,4,0.30,55.997,1.0000,0.00410,0.01831,0.9246
1,4,0.40,49.290,0.9999,nan,0.03964,0.8571
1,4,0.50,43.467,0.9996,nan,0.07750,0.6905
1,5,0.10,58.051,1.0000,0.00034,0.00996,1.0000
1,5,0.20,49.220,0.9999,0.00173,0.02752,1.0000
1,5,0.30,44.149,0.9996,0.00492,0.04935,0.9167
1,5,0.40,41.089,0.9993,0.00878,0.07019,0.9167
1,5,0.50,36.945,0.9981,nan,0.11310,0.8333
1,6,0.10,112.512,1.0000,0.00000,0.00003,1.0000
1,6,0.20,95.827,1.0000,0.00001,0.00019,1.0000
1,6,0.30,79.927,1.0000,nan,0.00120,1.0000
1,6,0.40,69.080,1.0000,nan,0.00420,0.9167
1,6,0.50,63.151,1.0000,nan,0.00831,0.8611
1,7,0.10,64.734,1.0000,0.00018,0.00621,1.0000
1,7,0.20,55.278,1.0000,0.00170,0.01844,0.9722
