layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.33459,2.32289,0.01170,198.62106,7.08330,0.86309,0.51211,0,0.05871,1.88235,12,144,16
0,1,4.51770,4.20914,0.30856,13.64147,7.12407,1.15607,0.56042,4,0.08750,1.81560,12,144,16
0,2,7.27004,6.10594,1.16410,5.24520,6.79169,1.56194,0.67275,4,0.02660,2.69474,12,144,16
0,3,8.77695,6.86889,1.90806,3.59993,6.54591,1.72886,0.72441,4,0.01370,3.20000,12,144,16
0,4,2.94393,2.85944,0.08449,33.84481,7.04894,1.08122,0.54607,0,0.06722,1.77778,12,144,16
0,5,5.51760,4.97579,0.54181,9.18357,7.05789,1.13506,0.58282,4,0.07753,1.85507,12,144,16
0,6,2.79768,2.68658,0.11110,24.18271,7.14164,1.20239,0.51773,0,0.06904,1.76552,12,144,16
0,7,3.92643,3.77769,0.14874,25.39767,7.29009,1.01429,0.50697,0,0.08116,1.65161,12,144,16
0,8,3.18640,3.00746,0.17894,16.80714,7.13644,1.28794,0.54329,0,0.06067,1.88235,12,144,16
0,9,4.56775,4.25117,0.31658,13.42858,7.11267,1.23200,0.57465,4,0.07729,1.89630,12,144,16
0,10,10.06397,8.07999,1.98398,4.07262,6.63289,1.59226,0.70798,4,0.01519,3.01176,12,144,16
0,11,4.62546,4.25530,0.37016,11.49586,7.03716,1.26097,0.60099,4,0.05068,2.00000,12,144,16
1,0,6.28059,5.05032,1.23027,4.10506,6.73134,1.49148,0.67678,4,0.05001,2.78261,12,144,16
1,1,8.29606,7.45289,0.84317,8.83917,6.73363,1.32324,0.68861,4,0.01365,2.63918,12,144,16
1,2,5.85837,5.22308,0.63530,8.22149,6.77778,1.35782,0.66028,4,0.05690,2.46154,12,144,16
1,3,3.73314,3.54906,0.18408,19.27948,6.85387,1.23742,0.63046,4,0.03966,2.18803,12,144,16
1,4,10.26004,9.11459,1.14544,7.95726,6.61211,1.35915,0.71515,4,0.01831,3.20000,12,144,16
1,5,4.93996,4.31425,0.62572,6.89488,6.77913,1.47498,0.66250,4,0.04935,2.48544,12,144,16
1,6,14.48821,11.90097,2.58724,4.59988,4.90863,1.61889,0.90037,4,0.00120,14.22222,12,144,16
1,7,7.21302,6.24189,0.97114,6.42741,6.32910,1.47780,0.73303,4,0.04209,3.71014,12,144,16
1,8,3.38671,3.08814,0.29856,10.34336,6.84303,1.42236,0.63378,0,0.04611,2.28571,12,144,16
1,9,5.57716,4.94393,0.63324,7.80737,6.46987,1.43925,0.71980,4,0.02795,3.32468,12,144,16
1,10,4.84236,4.25955,0.58281,7.30867,6.70209,1.49926,0.67563,4,0.04021,2.63918,12,144,16
1,11,6.22147,5.78038,0.44108,13.10494,7.10064,1.18896,0.58759,4,0.07097,1.93939,12,144,16
2,0,20.92243,18.71019,2.21224,8.45759,6.28472,1.20248,0.74025,4,0.00000,3.28205,12,144,16
2,1,9.20975,8.43673,0.77303,10.91390,6.47359,1.36588,0.74061,4,0.01754,3.55556,12,144,16
2,2,8.07521,6.96011,1.11511,6.24165,6.37156,1.50871,0.73235,4,0.03574,3.36842,12,144,16
2,3,5.63125,4.92170,0.70955,6.93634,6.57611,1.46370,0.69533,4,0.05068,3.01176,12,144,16
