layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.33459,1.97589,0.35870,5.50844,7.25060,-0.00000,0.55468,0,0.03816,1.79021,12,144,16
0,1,4.51770,2.59429,1.92342,1.34879,7.33315,-0.00000,0.51973,0,0.08361,1.55152,12,144,16
0,2,7.27005,3.59278,3.67727,0.97702,7.10942,-0.00000,0.59445,1,0.06778,1.89630,12,144,16
0,3,8.77696,4.76302,4.01394,1.18662,6.91025,-0.00000,0.65095,0,0.04364,2.43810,12,144,16
0,4,2.94393,2.11225,0.83168,2.53973,7.30501,-0.00000,0.53215,0,0.04754,1.68421,12,144,16
0,5,5.51760,2.93986,2.57775,1.14048,7.26488,-0.00000,0.54302,0,0.06899,1.67320,12,144,16
0,6,2.79768,2.13935,0.65833,3.24967,7.32261,-0.00000,0.52920,0,0.04070,1.68421,12,144,16
0,7,3.92644,2.33082,1.59561,1.46077,7.38360,-0.00000,0.50710,0,0.07245,1.59006,12,144,16
0,8,3.18640,2.37322,0.81318,2.91843,7.38151,-0.00000,0.50712,0,0.06599,1.54217,12,144,16
0,9,4.56775,2.36370,2.20405,1.07243,7.43695,-0.00000,0.47999,0,0.09785,1.49708,12,144,16
0,10,10.06397,5.38926,4.67471,1.15285,7.01947,-0.00000,0.62178,0,0.06051,2.15126,12,144,16
0,11,4.62546,2.06501,2.56045,0.80650,7.24727,-0.00000,0.54778,1,0.06419,1.70667,12,144,16
1,0,6.28059,3.29283,2.98776,1.10211,7.10528,-0.00000,0.59895,0,0.04556,2.00000,12,144,16
1,1,8.29606,3.20560,5.09046,0.62973,7.13177,-0.00000,0.58975,1,0.07152,1.89630,12,144,16
1,2,5.85837,2.85970,2.99867,0.95366,7.15837,-0.00000,0.57351,1,0.06451,1.80282,12,144,16
1,3,3.73314,1.91172,1.82142,1.04957,7.18812,-0.00000,0.56817,0,0.05451,1.79021,12,144,16
1,4,10.26004,3.65471,6.60533,0.55330,7.01970,-0.00000,0.61896,1,0.06163,2.04800,12,144,16
1,5,4.93996,2.59414,2.34582,1.10586,7.08319,-0.00000,0.60290,0,0.04953,1.95420,12,144,16
1,6,14.48821,4.98191,9.50631,0.52406,5.70598,-0.00000,0.84142,1,0.00412,6.56410,12,144,16
1,7,7.21302,2.90219,4.31083,0.67323,6.81341,-0.00000,0.65801,1,0.05171,2.41509,12,144,16
1,8,3.38671,2.15861,1.22810,1.75769,7.08835,-0.00000,0.59674,0,0.04326,1.88235,12,144,16
1,9,5.57716,2.55538,3.02178,0.84565,6.78072,-0.00000,0.66756,1,0.03034,2.37037,12,144,16
1,10,4.84236,2.44529,2.39707,1.02012,7.07048,-0.00000,0.59718,0,0.05255,1.89630,12,144,16
1,11,6.22147,2.94893,3.27254,0.90111,7.32124,-0.00000,0.52439,1,0.08443,1.61006,12,144,16
2,0,20.92243,7.01498,13.90745,0.50440,7.25068,-0.00000,0.55281,1,0.11115,1.84173,12,144,16
2,1,9.20975,3.18545,6.02430,0.52877,6.95851,-0.00000,0.63720,1,0.04104,2.24561,12,144,16
2,2,8.07521,3.19779,4.87743,0.65563,6.65361,-0.00000,0.68988,1,0.03911,2.78261,12,144,16
2,3,5.63125,2.71538,2.91588,0.93124,6.80627,-0.00000,0.65668,1,0.04999,2.26549,12,144,16
2,4,4.67144,2.32884,2.34260,0.99412,7.14181,-0.00000,0.58026,1,0.06329,1.76552,12,144,16
2,5,3.76539,2.09576,1.66962,1.25523,7.07556,-0.00000,0.60135,0,0.04708,1.98450,12,144,16
2,6,8.02386,4.15769,3.86617,1.07541,7.16717,-0.00000,0.57830,0,0.07029,1.85507,12,144,16
2,7,4.14693,2.29752,1.84941,1.24230,7.03717,-0.00000,0.60750,0,0.04047,1.96923,12,144,16
2,8,4.48266,2.21231,2.27035,0.97443,7.28557,-0.00000,0.53908,1,0.07187,1.66234,12,144,16
2,9,20.66364,6.92567,13.73797,0.50413,7.25235,-0.00000,0.55216,1,0.10504,1.82857,12,144,16
2,10,7.66736,3.59304,4.07432,0.88188,6.87569,-0.00000,0.65150,1,0.04010,2.32727,12,144,16
2,11,5.31055,2.32885,2.98170,0.78105,7.15612,-0.00000,0.57021,1,0.04752,1.82857,12,144,16
3,0,6.65741,3.92658,2.73083,1.43787,6.72333,-0.00000,0.69411,0,0.02107,2.81319,12,144,16
3,1,3.92210,2.64804,1.27406,2.07843,7.13246,-0.00000,0.58387,0,0.03505,1.85507,12,144,16
3,2,4.22355,2.80318,1.42037,1.97356,7.22758,-0.00000,0.55604,0,0.05949,1.76552,12,144,16
3,3,4.53816,2.87712,1.66103,1.73213,7.07070,-0.00000,0.60655,0,0.03715,2.06452,12,144,16
3,4,3.78296,2.43923,1.34372,1.81528,7.27853,-0.00000,0.53993,0,0.05908,1.67320,12,144,16
3,5,10.24758,4.11400,6.13358,0.67073,7.10432,-0.00000,0.59872,1,0.06111,2.01575,12,144,16
3,6,3.71000,2.73673,0.97327,2.81190,6.99518,-0.00000,0.62133,0,0.04333,2.08130,12,144,16
3,7,4.13109,2.48426,1.64683,1.50851,6.99778,-0.00000,0.62131,0,0.04043,2.03175,12,144,16
3,8,5.51204,3.01504,2.49700,1.20746,7.18148,-0.00000,0.57102,0,0.05466,1.76552,12,144,16
3,9,10.37498,4.75558,5.61940,0.84628,6.76968,-0.00000,0.67457,1,0.04274,2.50980,12,144,16
3,10,6.25856,2.96315,3.29540,0.89918,7.32799,-0.00000,0.52665,1,0.09916,1.65161,12,144,16
3,11,5.78554,2.96979,2.81576,1.05470,7.04956,-0.00000,0.60235,0,0.05590,1.93939,12,144,16
4,0,8.16327,5.34738,2.81589,1.89900,6.83481,-0.00000,0.65836,0,0.04375,2.34862,12,144,16
4,1,3.68415,2.22061,1.46355,1.51728,7.36482,-0.00000,0.50644,0,0.06196,1.54217,12,144,16
4,2,6.12608,4.07098,2.05509,1.98092,6.94932,-0.00000,0.62199,0,0.04175,2.11570,12,144,16
4,3,13.48907,9.33702,4.15206,2.24877,5.85476,-0.00000,0.82137,0,0.00851,5.81818,12,144,16
4,4,5.25765,2.62671,2.63094,0.99839,7.37871,-0.00000,0.50412,1,0.06556,1.60000,12,144,16
4,5,8.74706,5.09067,3.65639,1.39227,6.97364,-0.00000,0.62462,0,0.07417,2.18803,12,144,16
4,6,8.58461,5.09492,3.48969,1.45999,6.95168,-0.00000,0.63273,0,0.05265,2.22609,12,144,16
4,7,10.59584,6.02962,4.56622,1.32049,6.76092,-0.00000,0.67768,0,0.03491,2.56000,12,144,16
4,8,7.32634,4.99696,2.32938,2.14519,6.80326,-0.00000,0.65068,0,0.04047,2.26549,12,144,16
4,9,5.58929,3.98897,1.60033,2.49260,6.95296,-0.00000,0.61486,0,0.05491,2.00000,12,144,16
4,10,7.39141,4.13769,3.25372,1.27168,7.16093,-0.00000,0.57361,0,0.07132,1.84173,12,144,16
4,11,9.65533,5.92373,3.73160,1.58745,6.91472,-0.00000,0.64194,0,0.05111,2.28571,12,144,16
5,0,9.28185,6.02509,3.25676,1.85003,6.57582,-0.00000,0.71397,0,0.02046,2.90909,12,144,16
5,1,12.78078,8.34107,4.43972,1.87874,6.04152,-0.00000,0.79286,0,0.01463,4.92308,12,144,16
5,2,5.84393,4.25596,1.58797,2.68012,6.93649,-0.00000,0.62316,0,0.04396,2.11570,12,144,16
5,3,7.38433,4.36389,3.02044,1.44479,6.99969,-0.00000,0.61946,0,0.04815,2.11570,12,144,16
5,4,6.00199,4.59590,1.40610,3.26855,6.78810,-0.00000,0.65476,0,0.03152,2.28571,12,144,16
5,5,12.00468,8.17760,3.82707,2.13678,5.99866,-0.00000,0.79131,0,0.01715,5.33333,12,144,16
