layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.04404,2.88662,2.15742,1.9468,7.2471,0.0000,0.5490,0.06262,0.3727
1,12,6.75809,2.95925,3.79884,0.9263,6.9556,0.0000,0.6198,0.05114,0.4930
2,12,8.54754,3.50444,5.04310,0.8607,7.0550,0.0000,0.6014,0.06058,0.4330
3,12,5.76200,3.14439,2.61761,1.5030,7.0715,0.0000,0.5997,0.05076,0.4330
4,12,7.88417,4.90544,2.97874,1.6928,6.9084,0.0000,0.6274,0.05009,0.2764
5,12,9.04864,5.79443,3.25421,1.8890,6.6646,0.0000,0.6835,0.03694,0.0000
6,12,8.47794,4.98013,3.49781,1.5104,6.8876,0.0000,0.6415,0.05035,0.2764
7,12,9.82509,6.42367,3.40143,1.9956,6.5258,0.0000,0.7097,0.03304,0.0000
8,12,8.42117,5.69279,2.72838,2.2359,6.5531,0.0000,0.6954,0.03147,0.0000
9,12,7.28998,5.01546,2.27452,2.3251,6.6626,0.0000,0.6797,0.03207,0.0000
10,12,6.61240,4.74619,1.86622,3.5182,6.9183,0.0000,0.6349,0.03871,0.2764
11,12,8.17185,6.80411,1.36773,5.1618,6.4674,0.0000,0.7198,0.01864,0.0000
