layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9213,6.9356,16.89655,0.6420,2.2857,1
2,9,0.9213,6.9278,16.54568,0.6445,2.3063,1
11,4,0.8791,6.8247,7.88136,0.6699,2.7826,3
11,6,0.8791,6.7659,8.25240,0.6815,3.0118,4
11,0,0.8679,6.6512,8.71208,0.7048,3.5068,4
11,1,0.8639,6.7593,8.97353,0.6827,3.0476,4
5,0,0.8428,6.2930,8.59977,0.7609,3.8788,1
6,6,0.8428,6.3458,9.23697,0.7496,3.6571,1
10,7,0.8182,6.8956,7.70994,0.6546,2.5347,3
1,0,0.7919,6.9764,4.07075,0.6293,2.1880,1
1,7,0.7919,6.9062,4.99215,0.6390,2.1880,1
11,3,0.7909,6.7310,9.71453,0.6895,3.2000,1
10,4,0.7905,6.7583,9.95830,0.6866,2.8444,1
4,11,0.7745,6.6286,9.40651,0.7058,2.9767,1
5,7,0.7745,6.5890,9.92317,0.7162,3.1220,1
6,2,0.7691,6.7306,7.32861,0.6842,2.7234,1
8,4,0.7691,6.7397,8.23630,0.6796,2.5600,1
5,10,0.7682,6.6577,6.63718,0.7034,2.7826,2
6,9,0.7682,6.7424,7.01831,0.6816,2.5859,1
6,5,0.7546,6.9259,7.66633,0.6458,2.3063,1
7,10,0.7546,6.9302,8.06905,0.6457,2.4151,1
4,10,0.7457,6.8648,6.52294,0.6567,2.3925,1
0,0,0.0000,7.2508,1.38648,0.5538,1.7902,0
0,1,0.0000,7.4476,3.40535,0.4780,1.4798,0
0,2,0.0000,6.9446,6.11646,0.6417,2.3486,0
0,3,0.0000,6.7073,6.11190,0.6928,2.8444,0
0,4,0.0000,7.3153,2.37768,0.5257,1.6101,0
0,5,0.0000,7.3194,3.68366,0.5247,1.6101,0
0,6,0.0000,7.3848,1.90267,0.5058,1.5901,0
0,7,0.0000,7.4933,2.96609,0.4615,1.4545,0
0,8,0.0000,7.4136,2.14910,0.4914,1.5059,0
0,9,0.0000,7.3371,2.89681,0.5223,1.6410,0
0,10,0.0000,6.8208,8.36096,0.6728,2.4854,0
0,11,0.0000,7.2961,3.10710,0.5327,1.6203,0
1,1,0.0000,6.9680,8.89931,0.6360,2.2456,0
1,2,0.0000,7.1514,4.01100,0.5785,1.7902,0
1,3,0.0000,6.5559,7.13282,0.6984,2.8764,0
1,4,0.0000,7.0843,7.47860,0.6052,2.0157,0
1,5,0.0000,6.9688,4.57450,0.6258,2.0813,0
1,6,0.0000,6.0154,13.04869,0.7988,5.0196,0
1,8,0.0000,7.2696,2.05718,0.5465,1.7181,0
1,9,0.0000,6.8212,4.11379,0.6549,2.3486,0
1,10,0.0000,6.8378,5.79210,0.6545,2.2857,0
1,11,0.0000,7.3036,2.71727,0.5305,1.6410,0
2,1,0.0000,6.7513,6.21908,0.6810,2.6947,0
2,2,0.0000,6.5048,7.80696,0.7185,3.2405,0
2,3,0.0000,6.9749,3.89143,0.6239,2.0317,0
2,4,0.0000,6.9196,4.76803,0.6275,1.9845,0
2,5,0.0000,7.2110,2.76135,0.5610,1.7534,0
2,6,0.0000,7.2659,4.16058,0.5345,1.5901,0
2,7,0.0000,7.0671,3.91885,0.5985,1.9104,0
2,8,0.0000,7.1215,4.04784,0.5828,1.7778,0
2,10,0.0000,6.9051,6.03963,0.6459,2.2857,0
2,11,0.0000,6.8031,4.92737,0.6556,2.3704,0
3,0,0.0000,6.8873,6.20717,0.6536,2.3273,0
3,1,0.0000,7.0151,3.35139,0.6159,2.0984,0
3,2,0.0000,7.4224,3.31210,0.4862,1.4884,0
3,3,0.0000,6.9550,4.10182,0.6359,2.2261,0
3,4,0.0000,7.3469,3.18372,0.5140,1.5515,0
3,5,0.0000,6.9113,9.34332,0.6511,2.3273,0
3,6,0.0000,7.2496,3.12867,0.5533,1.7902,0
3,7,0.0000,7.0731,3.29572,0.6024,1.9248,0
3,8,0.0000,6.9565,5.09385,0.6313,2.0984,0
3,9,0.0000,6.8984,8.86446,0.6522,2.3704,0
3,10,0.0000,7.3676,4.23442,0.5089,1.5706,0
3,11,0.0000,6.9411,4.86499,0.6380,2.3063,0
4,0,0.0000,6.8891,7.64853,0.6467,2.2857,0
4,1,0.0000,7.4018,2.62315,0.4956,1.5610,0
4,2,0.0000,6.8458,5.87577,0.6538,2.3063,0
4,3,0.0000,6.2390,11.66850,0.7656,3.9385,0
4,4,0.0000,7.1664,3.66467,0.5703,1.7655,0
4,5,0.0000,6.7601,8.73585,0.6820,2.6947,0
4,6,0.0000,6.8247,6.45045,0.6571,2.3063,0
4,7,0.0000,6.3372,9.46953,0.7491,3.5556,0
4,8,0.0000,6.6049,6.69895,0.7044,2.9767,0
4,9,0.0000,6.8204,4.67283,0.6491,2.2261,0
5,1,0.0000,5.5837,14.22184,0.8497,7.7576,0
5,2,0.0000,6.8203,5.80227,0.6577,2.3273,0
5,3,0.0000,6.5533,7.23815,0.7176,3.0476,0
5,4,0.0000,6.9736,4.74993,0.6146,1.9692,0
5,5,0.0000,6.0235,11.76490,0.7960,5.2245,0
5,6,0.0000,6.0140,11.72923,0.8036,5.4468,0
5,8,0.0000,6.3355,7.82868,0.7491,3.7647,0
5,9,0.0000,6.8986,9.66538,0.6536,2.3704,0
5,11,0.0000,6.4109,8.52928,0.7435,3.6571,0
6,0,0.0000,6.6960,9.01255,0.6831,2.5347,0
6,1,0.0000,7.0321,5.26133,0.6136,1.9692,0
6,3,0.0000,5.9757,12.00529,0.8083,5.1200,0
6,4,0.0000,6.7773,8.40051,0.6696,2.4151,0
6,7,0.0000,6.8703,5.29193,0.6438,2.2655,0
6,8,0.0000,6.7665,6.41209,0.6821,2.6667,0
6,10,0.0000,6.4826,10.55471,0.7343,3.5068,0
6,11,0.0000,6.8100,9.98444,0.6711,2.5600,0
7,0,0.0000,6.7824,5.27924,0.6731,2.4854,0
7,1,0.0000,6.6916,7.10063,0.6956,2.8764,0
7,2,0.0000,6.4742,7.69361,0.7323,3.3684,0
7,3,0.0000,6.2884,10.51143,0.7598,4.0000,0
7,4,0.0000,6.8051,9.38275,0.6727,2.5600,0
7,5,0.0000,7.0338,4.65534,0.6068,1.9542,0
7,6,0.0000,5.8460,11.11782,0.8130,7.3143,0
7,7,0.0000,6.1349,12.45572,0.7867,4.4138,0
7,8,0.0000,6.6963,5.83333,0.6917,2.6667,0
7,9,0.0000,6.4510,8.49137,0.7351,3.4595,0
7,11,0.0000,6.2547,11.59277,0.7668,4.1967,0
8,0,0.0000,6.4044,7.23607,0.7417,3.4133,0
8,1,0.0000,6.6847,5.59763,0.6848,2.6667,0
8,2,0.0000,5.8945,12.95310,0.8136,5.6889,0
8,3,0.0000,6.8450,5.84802,0.6543,2.3273,0
8,5,0.0000,6.4140,9.53154,0.7337,3.2000,0
8,6,0.0000,5.8232,12.01823,0.8226,6.0952,0
8,7,0.0000,7.2659,2.86329,0.5411,1.6842,0
8,8,0.0000,7.1783,3.67815,0.5672,1.7655,0
8,9,0.0000,6.8699,5.67416,0.6533,2.3486,0
8,10,0.0000,6.8058,9.38023,0.6680,2.4381,0
8,11,0.0000,6.7726,6.59164,0.6693,2.5347,0
9,0,0.0000,6.3379,8.96150,0.7482,3.6571,0
9,1,0.0000,6.8921,5.85348,0.6441,2.2069,0
9,2,0.0000,7.2191,3.77941,0.5588,1.7297,0
9,3,0.0000,6.7320,6.15125,0.6812,2.5347,0
9,4,0.0000,6.6730,6.67181,0.6885,2.6667,0
9,5,0.0000,7.1837,4.93578,0.5622,1.6954,0
9,6,0.0000,6.1185,8.45328,0.7777,5.1200,0
9,7,0.0000,6.3438,10.76928,0.7463,3.6571,0
9,8,0.0000,6.9775,4.05493,0.6256,2.0984,0
9,9,0.0000,5.9048,10.79252,0.8087,6.2439,0
9,10,0.0000,6.9674,5.16840,0.6307,2.1157,0
9,11,0.0000,6.9354,3.85979,0.6358,2.1880,0
10,0,0.0000,7.3851,3.01418,0.5035,1.5610,0
10,1,0.0000,6.4633,15.04581,0.7421,3.8209,0
10,2,0.0000,6.9913,8.16349,0.6292,2.1880,0
10,3,0.0000,7.0281,5.24630,0.6180,2.1333,0
10,5,0.0000,6.3802,14.81393,0.7539,4.1290,0
10,6,0.0000,7.1066,8.31270,0.5986,2.0000,0
10,8,0.0000,7.1187,5.21004,0.5925,1.9394,0
10,9,0.0000,6.7034,13.04844,0.6976,3.0118,0
10,10,0.0000,6.8667,6.29425,0.6490,2.2456,0
10,11,0.0000,6.8991,9.25723,0.6536,2.4615,0
11,2,0.0000,7.3351,4.13923,0.5240,1.6101,0
11,5,0.0000,6.9056,7.36492,0.6521,2.5859,0
11,7,0.0000,6.7227,9.49860,0.6902,3.1605,0
11,8,0.0000,7.1592,5.89026,0.5820,1.9692,0
11,9,0.0000,7.3209,3.76267,0.5310,1.6732,0
11,10,0.0000,6.6939,9.54660,0.6947,3.3247,0
11,11,0.0000,6.5839,10.72412,0.7174,3.6571,0
