layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,52.573,1.0000,0.00004,0.00756,0.9778
0,0,0.20,43.562,0.9998,0.00029,0.02132,0.9111
0,0,0.30,37.848,0.9993,0.00104,0.04116,0.9111
0,0,0.40,33.915,0.9983,0.00218,0.06474,0.8667
0,0,0.50,30.942,0.9966,0.00430,0.09117,0.7278
0,1,0.10,53.669,0.9999,nan,0.01938,1.0000
0,1,0.20,44.229,0.9995,nan,0.05747,0.9556
0,1,0.30,39.452,0.9984,nan,0.09961,0.8508
0,1,0.40,35.384,0.9958,nan,0.15911,0.8127
0,1,0.50,32.138,0.9912,nan,0.23120,0.7524
0,2,0.10,63.540,1.0000,nan,0.00832,1.0000
0,2,0.20,54.709,1.0000,nan,0.02300,0.9778
0,2,0.30,49.256,0.9998,nan,0.04309,0.9556
0,2,0.40,43.093,0.9993,nan,0.08761,0.8889
0,2,0.50,37.510,0.9974,nan,0.16661,0.7397
0,3,0.10,68.833,1.0000,nan,0.00466,1.0000
0,3,0.20,58.674,1.0000,nan,0.01501,1.0000
0,3,0.30,53.108,0.9999,nan,0.02848,1.0000
0,3,0.40,48.921,0.9998,nan,0.04613,0.9556
0,3,0.50,44.328,0.9995,nan,0.07827,0.9111
0,4,0.10,67.002,1.0000,0.00002,0.00555,1.0000
0,4,0.20,56.881,0.9999,0.00025,0.01778,0.9778
0,4,0.30,50.649,0.9997,0.00125,0.03645,0.9556
0,4,0.40,46.651,0.9993,0.00325,0.05775,0.8889
0,4,0.50,42.908,0.9982,nan,0.08886,0.8508
0,5,0.10,56.807,1.0000,0.00041,0.01522,0.9778
0,5,0.20,47.791,0.9997,0.00226,0.04297,0.9778
0,5,0.30,42.499,0.9988,nan,0.07904,0.8667
0,5,0.40,38.225,0.9969,nan,0.12928,0.8730
0,5,0.50,34.564,0.9927,nan,0.19704,0.7841
0,6,0.10,49.412,0.9999,0.00027,0.01710,0.9778
0,6,0.20,41.074,0.9994,nan,0.04466,0.9111
0,6,0.30,36.653,0.9984,nan,0.07430,0.9556
0,6,0.40,32.838,0.9962,nan,0.11528,0.9333
0,6,0.50,29.424,0.9917,nan,0.17079,0.8889
0,7,0.10,53.144,0.9999,nan,0.01796,1.0000
0,7,0.20,44.089,0.9995,nan,0.05094,0.9111
0,7,0.30,38.428,0.9983,nan,0.09774,0.9111
0,7,0.40,34.167,0.9955,nan,0.15964,0.8889
0,7,0.50,30.844,0.9903,nan,0.23403,0.7905
0,8,0.10,59.180,1.0000,nan,0.00739,1.0000
0,8,0.20,48.856,0.9998,0.00105,0.02427,0.9333
0,8,0.30,42.643,0.9994,nan,0.04963,0.9556
0,8,0.40,38.370,0.9983,nan,0.08117,0.9556
0,8,0.50,34.594,0.9959,nan,0.12537,0.8222
0,9,0.10,53.890,1.0000,0.00032,0.01537,1.0000
0,9,0.20,45.738,0.9997,0.00182,0.03929,0.9556
0,9,0.30,40.616,0.9990,nan,0.07087,0.8667
0,9,0.40,36.864,0.9977,nan,0.10916,0.8222
0,9,0.50,33.229,0.9946,0.02088,0.16587,0.7841
0,10,0.10,67.386,1.0000,nan,0.00593,1.0000
0,10,0.20,57.455,1.0000,nan,0.01861,0.9556
0,10,0.30,52.404,0.9999,nan,0.03328,0.9175
0,10,0.40,47.005,0.9997,nan,0.06197,0.8730
0,10,0.50,41.069,0.9989,nan,0.12274,0.7460
0,11,0.10,54.240,1.0000,nan,0.01643,1.0000
0,11,0.20,46.968,0.9998,nan,0.03796,0.9778
0,11,0.30,41.294,0.9991,nan,0.07295,0.9556
0,11,0.40,37.528,0.9978,nan,0.11254,0.8444
0,11,0.50,33.848,0.9949,nan,0.17192,0.8063
1,0,0.10,59.645,1.0000,0.00025,0.00805,1.0000
1,0,0.20,51.676,0.9999,nan,0.02015,0.9333
1,0,0.30,45.886,0.9998,nan,0.03925,0.9111
1,0,0.40,41.509,0.9994,nan,0.06497,0.9333
1,0,0.50,37.205,0.9983,nan,0.10664,0.8000
1,1,0.10,61.569,1.0000,nan,0.01124,0.9778
1,1,0.20,53.391,1.0000,nan,0.02883,0.8794
1,1,0.30,46.974,0.9998,nan,0.06034,0.8063
1,1,0.40,41.547,0.9992,nan,0.11272,0.7460
1,1,0.50,36.636,0.9976,nan,0.19839,0.6857
1,2,0.10,58.222,1.0000,0.00049,0.01496,0.9778
1,2,0.20,50.190,0.9998,nan,0.03772,0.9333
1,2,0.30,44.594,0.9993,nan,0.07184,0.9111
1,2,0.40,41.075,0.9984,nan,0.10772,0.9111
1,2,0.50,37.873,0.9966,nan,0.15574,0.8508
1,3,0.10,60.105,1.0000,0.00056,0.01235,0.9778
1,3,0.20,53.025,0.9999,nan,0.02791,0.9333
1,3,0.30,48.618,0.9998,nan,0.04635,0.8889
1,3,0.40,45.332,0.9996,nan,0.06767,0.8286
1,3,0.50,41.894,0.9992,nan,0.10052,0.7683
1,4,0.10,62.764,1.0000,nan,0.01086,0.9397
1,4,0.20,53.457,0.9999,nan,0.03171,0.8508
1,4,0.30,46.673,0.9997,nan,0.06926,0.7905
1,4,0.40,41.972,0.9990,nan,0.11899,0.7376
1,4,0.50,37.146,0.9970,nan,0.20739,0.6550
1,5,0.10,60.396,1.0000,nan,0.01108,1.0000
1,5,0.20,51.337,0.9999,nan,0.03144,1.0000
1,5,0.30,45.684,0.9996,nan,0.06027,0.9333
1,5,0.40,41.249,0.9988,nan,0.10043,0.9111
1,5,0.50,37.517,0.9972,nan,0.15433,0.8730
1,6,0.10,85.091,1.0000,nan,0.00083,1.0000
1,6,0.20,73.245,1.0000,nan,0.00326,0.8889
1,6,0.30,65.292,1.0000,nan,0.00815,0.7683
1,6,0.40,57.620,1.0000,nan,0.01971,0.7460
1,6,0.50,51.489,0.9999,nan,0.03993,0.6328
1,7,0.10,59.418,1.0000,0.00092,0.01382,0.9778
1,7,0.20,50.799,0.9998,nan,0.03729,0.9556
