layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.38648,1.36351,0.02297,59.37111,6.87562,1.14651,0.55531,0,0.04301,2.20690,15,225,16
0,1,3.40535,3.28524,0.12011,27.35189,7.19822,0.92727,0.55117,4,0.09383,1.70667,15,225,16
0,2,6.11646,5.02610,1.09037,4.60955,6.68480,1.57677,0.69701,4,0.03047,3.04762,15,225,16
0,3,6.11190,4.89251,1.21940,4.01224,6.58128,1.71260,0.71828,4,0.01602,3.12195,15,225,16
0,4,2.37768,2.31460,0.06308,36.69565,6.91490,1.02532,0.60049,0,0.05803,2.09836,15,225,16
0,5,3.68366,3.40017,0.28349,11.99403,7.08609,1.17541,0.58254,4,0.07556,1.95420,15,225,16
0,6,1.90267,1.86210,0.04057,45.89707,7.23087,0.89155,0.51175,0,0.08120,1.69536,15,225,16
0,7,2.96608,2.90305,0.06304,46.05157,7.30081,0.91565,0.51458,4,0.10702,1.64103,15,225,16
0,8,2.14910,1.98515,0.16394,12.10893,7.10912,1.40488,0.55663,0,0.06804,1.86861,15,225,16
0,9,2.89681,2.72685,0.16996,16.04399,7.03469,1.20434,0.59577,4,0.06583,2.00000,15,225,16
0,10,8.36096,6.62049,1.74047,3.80386,6.62781,1.54593,0.71128,4,0.01232,2.84444,15,225,16
0,11,3.10710,2.70317,0.40392,6.69232,6.96553,1.47733,0.61776,4,0.05399,2.04800,15,225,16
1,0,4.07075,3.60963,0.46112,7.82794,6.72684,1.37402,0.67268,4,0.04296,2.58586,15,225,16
1,1,8.89931,8.04409,0.85522,9.40586,6.58622,1.25942,0.72073,4,0.01501,3.12195,15,225,16
1,2,4.01100,3.70366,0.30734,12.05080,6.90108,1.34217,0.63009,4,0.06914,2.26549,15,225,16
1,3,7.13282,6.07072,1.06210,5.71577,6.15271,1.59321,0.75127,4,0.03732,4.26667,15,225,16
1,4,7.47860,6.54440,0.93420,7.00534,6.65964,1.38493,0.70405,4,0.01633,3.01176,15,225,16
1,5,4.57450,4.16896,0.40553,10.28024,6.84507,1.33285,0.64370,4,0.06723,2.34862,15,225,16
1,6,13.04868,10.85976,2.18892,4.96124,5.32471,1.59592,0.87360,4,0.00129,8.53333,15,225,16
1,7,4.99215,4.47305,0.51910,8.61689,6.63180,1.40603,0.68581,4,0.05829,2.75269,15,225,16
1,8,2.05718,1.93375,0.12343,15.66735,6.96156,1.37265,0.59431,0,0.05496,2.06452,15,225,16
1,9,4.11379,3.69708,0.41671,8.87206,6.54105,1.41937,0.70371,4,0.04704,3.12195,15,225,16
1,10,5.79210,4.99405,0.79805,6.25781,6.49299,1.54551,0.71823,4,0.04005,3.28205,15,225,16
1,11,2.71727,2.52181,0.19546,12.90161,6.96717,1.33312,0.60495,0,0.05950,2.03175,15,225,16
2,0,16.89655,15.09048,1.80608,8.35540,6.25083,1.11337,0.74642,4,0.00001,3.45946,15,225,16
2,1,6.21908,5.52752,0.69156,7.99279,6.59285,1.46033,0.71420,4,0.02425,2.97674,15,225,16
2,2,7.80695,6.68149,1.12546,5.93667,6.19045,1.50508,0.76604,4,0.03637,4.57143,15,225,16
2,3,3.89143,3.52627,0.36516,9.65687,6.72903,1.36983,0.67047,4,0.05734,2.58586,15,225,16
2,4,4.76803,4.12377,0.64426,6.40078,6.77020,1.52146,0.64837,4,0.06176,2.24561,15,225,16
