layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,52.266,1.0000,0.00004,0.00783,0.9556
0,0,0.20,44.530,0.9999,0.00020,0.01907,0.9556
0,0,0.30,39.051,0.9995,0.00081,0.03584,0.9778
0,0,0.40,34.818,0.9986,0.00199,0.05835,0.9111
0,0,0.50,31.275,0.9968,0.00462,0.08773,0.8286
0,1,0.10,53.684,0.9999,nan,0.01935,0.9778
0,1,0.20,44.821,0.9995,nan,0.05369,0.8730
0,1,0.30,39.591,0.9984,nan,0.09803,0.8349
0,1,0.40,36.165,0.9965,nan,0.14542,0.7905
0,1,0.50,32.378,0.9917,nan,0.22488,0.7683
0,2,0.10,66.222,1.0000,nan,0.00611,0.9556
0,2,0.20,57.286,1.0000,nan,0.01710,0.9556
0,2,0.30,49.215,0.9998,nan,0.04330,0.8889
0,2,0.40,44.422,0.9995,nan,0.07518,0.9111
0,2,0.50,39.670,0.9984,nan,0.12993,0.8000
0,3,0.10,68.845,1.0000,nan,0.00465,1.0000
0,3,0.20,59.089,1.0000,nan,0.01431,1.0000
0,3,0.30,52.990,0.9999,nan,0.02887,0.9619
0,3,0.40,48.394,0.9998,nan,0.04901,0.9556
0,3,0.50,43.110,0.9993,nan,0.09005,0.9111
0,4,0.10,62.948,1.0000,0.00009,0.00885,0.9778
0,4,0.20,53.199,0.9998,0.00061,0.02717,0.9556
0,4,0.30,47.656,0.9994,nan,0.05144,0.8889
0,4,0.40,43.220,0.9984,nan,0.08573,0.8571
0,4,0.50,38.865,0.9955,nan,0.14154,0.7302
0,5,0.10,57.273,1.0000,0.00026,0.01443,0.9778
0,5,0.20,48.423,0.9997,0.00286,0.03996,0.9778
0,5,0.30,42.515,0.9988,nan,0.07889,0.8889
0,5,0.40,37.897,0.9966,nan,0.13425,0.8286
0,5,0.50,34.436,0.9925,nan,0.19998,0.7683
0,6,0.10,51.078,0.9999,0.00035,0.01412,1.0000
0,6,0.20,43.888,0.9997,nan,0.03230,0.9556
0,6,0.30,38.540,0.9990,nan,0.05979,0.8889
0,6,0.40,34.674,0.9975,nan,0.09332,0.9111
0,6,0.50,31.682,0.9951,nan,0.13169,0.8444
0,7,0.10,48.777,0.9998,nan,0.02969,1.0000
0,7,0.20,40.849,0.9990,nan,0.07396,0.8667
0,7,0.30,36.740,0.9975,nan,0.11870,0.8667
0,7,0.40,33.713,0.9950,nan,0.16820,0.7841
0,7,0.50,30.742,0.9900,nan,0.23679,0.7683
0,8,0.10,52.515,0.9999,nan,0.01593,0.9556
0,8,0.20,44.389,0.9996,nan,0.04059,0.9778
0,8,0.30,39.731,0.9988,nan,0.06940,0.9333
0,8,0.40,35.355,0.9966,nan,0.11486,0.9111
0,8,0.50,32.569,0.9935,nan,0.15828,0.8222
0,9,0.10,58.009,1.0000,0.00010,0.00957,1.0000
0,9,0.20,46.807,0.9998,0.00132,0.03474,1.0000
0,9,0.30,41.349,0.9992,0.00494,0.06513,0.9111
0,9,0.40,37.520,0.9980,0.01076,0.10121,0.8889
0,9,0.50,34.340,0.9959,nan,0.14596,0.7619
0,10,0.10,70.306,1.0000,nan,0.00424,1.0000
0,10,0.20,59.795,1.0000,nan,0.01421,1.0000
0,10,0.30,52.110,0.9999,nan,0.03443,0.9175
0,10,0.40,45.842,0.9996,nan,0.07085,0.8794
0,10,0.50,39.785,0.9985,nan,0.14229,0.7683
0,11,0.10,56.370,1.0000,nan,0.01286,1.0000
0,11,0.20,47.139,0.9998,nan,0.03722,0.9778
0,11,0.30,40.715,0.9990,nan,0.07798,0.9333
0,11,0.40,36.521,0.9973,nan,0.12637,0.9111
0,11,0.50,33.105,0.9940,nan,0.18726,0.8667
1,0,0.10,55.928,1.0000,0.00038,0.01235,0.9778
1,0,0.20,48.286,0.9999,nan,0.02977,0.9111
1,0,0.30,44.031,0.9996,nan,0.04860,0.9111
1,0,0.40,40.401,0.9992,nan,0.07381,0.8222
1,0,0.50,37.246,0.9983,nan,0.10613,0.8444
1,1,0.10,68.001,1.0000,nan,0.00536,0.9619
1,1,0.20,58.020,1.0000,nan,0.01692,0.9175
1,1,0.30,49.732,0.9999,nan,0.04393,0.8444
1,1,0.40,44.207,0.9996,nan,0.08298,0.7683
1,1,0.50,39.318,0.9987,nan,0.14569,0.6921
1,2,0.10,59.321,1.0000,0.00046,0.01318,0.9778
1,2,0.20,51.577,0.9999,nan,0.03215,0.9556
1,2,0.30,46.423,0.9995,nan,0.05820,0.9111
1,2,0.40,42.862,0.9989,nan,0.08768,0.8952
1,2,0.50,39.106,0.9974,nan,0.13513,0.7460
1,3,0.10,65.400,1.0000,0.00035,0.00671,1.0000
1,3,0.20,54.229,1.0000,nan,0.02429,0.9556
1,3,0.30,49.660,0.9999,nan,0.04111,0.9556
1,3,0.40,45.632,0.9997,nan,0.06537,0.8667
1,3,0.50,42.352,0.9993,nan,0.09536,0.8444
1,4,0.10,64.334,1.0000,nan,0.00907,0.9175
1,4,0.20,53.227,0.9999,nan,0.03256,0.8952
1,4,0.30,47.125,0.9997,nan,0.06574,0.7627
1,4,0.40,42.002,0.9990,nan,0.11858,0.6804
1,4,0.50,37.525,0.9972,nan,0.19854,0.6960
1,5,0.10,63.547,1.0000,nan,0.00771,0.9778
1,5,0.20,52.287,0.9999,nan,0.02818,0.9175
1,5,0.30,47.104,0.9997,nan,0.05118,0.9333
1,5,0.40,42.533,0.9991,nan,0.08663,0.8889
1,5,0.50,39.157,0.9980,nan,0.12777,0.8667
1,6,0.10,82.407,1.0000,nan,0.00114,1.0000
1,6,0.20,69.391,1.0000,nan,0.00508,0.9397
1,6,0.30,61.208,1.0000,nan,0.01304,0.7841
1,6,0.40,55.780,1.0000,nan,0.02436,0.6550
1,6,0.50,49.557,0.9999,nan,0.04988,0.5881
1,7,0.10,63.668,1.0000,0.00044,0.00847,1.0000
1,7,0.20,54.456,0.9999,nan,0.02448,1.0000
1,7,0.30,47.676,0.9997,nan,0.05342,0.9778
1,7,0.40,43.870,0.9992,nan,0.08280,0.8889
1,7,0.50,41.061,0.9985,nan,0.11442,0.8222
1,8,0.10,55.632,1.0000,nan,0.00992,0.9778
1,8,0.20,47.905,0.9998,nan,0.02414,0.9778
1,8,0.30,42.346,0.9994,nan,0.04578,0.9556
1,8,0.40,38.110,0.9985,nan,0.07456,0.8444
1,8,0.50,34.657,0.9967,nan,0.11096,0.8286
1,9,0.10,66.024,1.0000,0.00010,0.00560,1.0000
1,9,0.20,54.459,0.9999,0.00096,0.02120,0.9111
1,9,0.30,48.696,0.9998,nan,0.04117,0.8952
1,9,0.40,44.526,0.9994,nan,0.06653,0.7683
1,9,0.50,41.450,0.9989,nan,0.09481,0.7619
1,10,0.10,64.131,1.0000,nan,0.00892,0.9556
1,10,0.20,55.108,0.9999,nan,0.02521,0.9333
1,10,0.30,50.157,0.9998,nan,0.04458,0.9175
1,10,0.40,45.681,0.9995,nan,0.07463,0.8833
1,10,0.50,42.120,0.9989,nan,0.11245,0.8389
1,11,0.10,56.011,1.0000,0.00047,0.01397,0.9778
1,11,0.20,47.884,0.9998,nan,0.03561,0.9778
1,11,0.30,42.394,0.9991,nan,0.06700,0.8889
1,11,0.40,38.771,0.9980,nan,0.10169,0.8667
1,11,0.50,35.155,0.9954,nan,0.15418,0.8508
2,0,0.10,66.953,1.0000,nan,0.00674,0.3862
2,0,0.20,57.774,1.0000,nan,0.01938,0.3347
2,0,0.30,50.974,0.9999,nan,0.04240,0.2884
2,0,0.40,43.820,0.9997,nan,0.09663,0.3188
2,0,0.50,36.317,0.9982,nan,0.22921,0.3188
2,1,0.10,67.834,1.0000,nan,0.00559,1.0000
2,1,0.20,59.059,1.0000,nan,0.01536,1.0000
2,1,0.30,53.792,0.9999,nan,0.02817,0.9556
2,1,0.40,48.167,0.9998,nan,0.05383,0.9333
2,1,0.50,44.033,0.9994,nan,0.08664,0.9016
2,2,0.10,66.282,1.0000,nan,0.00637,0.9778
2,2,0.20,56.757,1.0000,nan,0.01907,0.9111
2,2,0.30,51.089,0.9999,nan,0.03662,0.8444
2,2,0.40,47.208,0.9998,nan,0.05726,0.7175
2,2,0.50,43.539,0.9995,nan,0.08735,0.7397
2,3,0.10,63.001,1.0000,0.00010,0.00793,1.0000
2,3,0.20,53.762,0.9999,0.00086,0.02297,0.9111
2,3,0.30,49.228,0.9998,0.00239,0.03872,0.9333
2,3,0.40,44.995,0.9995,nan,0.06303,0.8952
2,3,0.50,41.013,0.9987,nan,0.09969,0.8127
2,4,0.10,63.946,1.0000,0.00013,0.00695,1.0000
2,4,0.20,54.732,1.0000,nan,0.02006,0.9778
2,4,0.30,47.525,0.9998,nan,0.04600,0.9556
2,4,0.40,42.961,0.9993,nan,0.07779,0.8444
2,4,0.50,38.840,0.9983,nan,0.12502,0.8000
2,5,0.10,61.352,1.0000,0.00015,0.00942,1.0000
2,5,0.20,51.087,0.9998,0.00141,0.03071,0.9778
2,5,0.30,46.404,0.9995,nan,0.05266,0.9111
2,5,0.40,42.954,0.9988,0.00822,0.07834,0.9333
2,5,0.50,39.295,0.9972,0.01492,0.11938,0.8889
2,6,0.10,56.845,1.0000,nan,0.01670,1.0000
2,6,0.20,48.080,0.9997,nan,0.04580,0.9778
2,6,0.30,42.902,0.9991,nan,0.08313,0.8889
2,6,0.40,39.087,0.9979,nan,0.12897,0.8444
2,6,0.50,36.166,0.9958,nan,0.18054,0.7238
2,7,0.10,60.955,1.0000,nan,0.01217,0.9333
2,7,0.20,52.293,0.9999,0.00271,0.03299,0.8889
2,7,0.30,47.095,0.9995,nan,0.06001,0.8730
2,7,0.40,43.658,0.9989,nan,0.08914,0.7683
2,7,0.50,40.619,0.9979,nan,0.12649,0.6857
2,8,0.10,60.616,1.0000,nan,0.01081,0.9778
2,8,0.20,50.868,0.9999,nan,0.03321,0.9778
2,8,0.30,45.218,0.9994,nan,0.06366,0.9175
