layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,54.990,1.0000,0.00002,0.00556,1.0000
0,0,0.20,44.903,0.9999,0.00019,0.01776,0.9744
0,0,0.30,39.034,0.9995,0.00069,0.03491,0.9744
0,0,0.40,35.635,0.9989,0.00159,0.05164,0.9231
0,0,0.50,32.261,0.9976,0.00346,0.07615,0.8974
0,1,0.10,46.817,0.9999,nan,0.02558,0.9487
0,1,0.20,38.563,0.9990,nan,0.06617,0.9487
0,1,0.30,33.877,0.9971,nan,0.11348,0.8718
0,1,0.40,30.289,0.9934,nan,0.17153,0.8974
0,1,0.50,27.364,0.9870,nan,0.24023,0.8462
0,2,0.10,61.669,1.0000,nan,0.00920,0.9744
0,2,0.20,52.976,0.9999,nan,0.02502,0.9231
0,2,0.30,47.393,0.9998,nan,0.04758,0.8791
0,2,0.40,41.296,0.9991,nan,0.09600,0.8352
0,2,0.50,37.595,0.9980,nan,0.14701,0.7766
0,3,0.10,62.749,1.0000,nan,0.00688,1.0000
0,3,0.20,54.895,1.0000,nan,0.01700,1.0000
0,3,0.30,48.663,0.9999,nan,0.03483,0.9744
0,3,0.40,44.276,0.9996,nan,0.05772,0.9487
0,3,0.50,38.883,0.9987,nan,0.10740,0.8791
0,4,0.10,60.316,1.0000,0.00010,0.01039,0.9487
0,4,0.20,52.129,0.9998,0.00076,0.02666,0.9487
0,4,0.30,46.970,0.9995,nan,0.04828,0.9744
0,4,0.40,42.931,0.9986,nan,0.07686,0.9231
0,4,0.50,39.287,0.9968,nan,0.11693,0.8397
0,5,0.10,59.179,1.0000,0.00027,0.01261,1.0000
0,5,0.20,51.050,0.9998,0.00122,0.03215,1.0000
0,5,0.30,44.925,0.9993,nan,0.06507,0.9487
0,5,0.40,40.183,0.9978,nan,0.11234,0.9048
0,5,0.50,36.796,0.9952,0.03581,0.16590,0.8397
0,6,0.10,58.320,1.0000,0.00015,0.01040,1.0000
0,6,0.20,49.122,0.9998,0.00103,0.02998,0.9744
0,6,0.30,42.735,0.9990,nan,0.06255,0.8791
0,6,0.40,39.895,0.9980,nan,0.08673,0.8535
0,6,0.50,35.874,0.9949,nan,0.13781,0.7839
0,7,0.10,57.769,1.0000,0.00015,0.00962,1.0000
0,7,0.20,48.729,0.9998,nan,0.02725,0.9744
0,7,0.30,40.713,0.9990,nan,0.06857,0.9231
0,7,0.40,36.763,0.9976,nan,0.10805,0.9304
0,7,0.50,33.676,0.9951,nan,0.15416,0.8535
0,8,0.10,58.517,1.0000,0.00016,0.00930,1.0000
0,8,0.20,48.746,0.9998,nan,0.02863,0.9487
0,8,0.30,43.943,0.9994,nan,0.04977,0.9487
0,8,0.40,39.640,0.9984,nan,0.08169,0.9048
0,8,0.50,35.991,0.9963,nan,0.12434,0.8791
0,9,0.10,57.882,1.0000,0.00010,0.00959,1.0000
0,9,0.20,45.736,0.9997,0.00173,0.03883,0.9231
0,9,0.30,39.873,0.9988,0.00579,0.07627,0.8974
0,9,0.40,36.667,0.9976,0.01360,0.11032,0.8022
0,9,0.50,33.397,0.9948,0.02430,0.16074,0.7473
0,10,0.10,61.830,1.0000,nan,0.00988,0.9744
0,10,0.20,54.839,1.0000,nan,0.02209,0.9487
0,10,0.30,48.166,0.9998,nan,0.04763,0.8864
0,10,0.40,43.155,0.9995,nan,0.08480,0.7839
0,10,0.50,37.378,0.9979,nan,0.16492,0.7143
0,11,0.10,60.565,1.0000,nan,0.00926,1.0000
0,11,0.20,50.510,0.9998,nan,0.02945,0.9487
