layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.76651,1.56241,0.20410,7.65494,7.23649,-0.00000,0.55778,0,0.03491,1.80282,13,169,16
0,1,3.70996,2.01019,1.69977,1.18263,7.53317,-0.00000,0.44391,0,0.11348,1.39130,13,169,16
0,2,8.39637,4.42154,3.97484,1.11238,7.06604,-0.00000,0.60848,0,0.04758,2.06452,13,169,16
0,3,6.66302,4.44685,2.21616,2.00655,6.92395,-0.00000,0.64248,0,0.03483,2.26549,13,169,16
0,4,2.75780,1.74819,1.00962,1.73154,7.26462,-0.00000,0.54851,0,0.04828,1.71812,13,169,16
0,5,4.93441,2.21786,2.71656,0.81642,7.31594,-0.00000,0.52629,1,0.06507,1.66234,13,169,16
0,6,2.55359,1.75614,0.79745,2.20220,7.33897,-0.00000,0.52257,0,0.06255,1.60000,13,169,16
0,7,3.21826,1.81527,1.40299,1.29386,7.40507,-0.00000,0.49560,0,0.06857,1.56098,13,169,16
0,8,2.82843,1.82628,1.00216,1.82234,7.30256,-0.00000,0.53581,0,0.04977,1.67320,13,169,16
0,9,3.47542,1.91768,1.55775,1.23106,7.34699,-0.00000,0.51523,0,0.07627,1.61006,13,169,16
0,10,9.23411,4.85562,4.37849,1.10897,7.03696,-0.00000,0.61752,0,0.04763,2.11570,13,169,16
0,11,3.68541,2.14146,1.54395,1.38699,7.20172,-0.00000,0.56512,0,0.05682,1.75342,13,169,16
1,0,3.70169,2.27582,1.42587,1.59609,7.14590,-0.00000,0.58129,0,0.05512,1.84173,13,169,16
1,1,8.94709,3.64826,5.29883,0.68850,7.09019,-0.00000,0.60338,1,0.04573,2.06452,13,169,16
1,2,3.46422,2.16371,1.30051,1.66375,7.23439,-0.00000,0.55378,0,0.06127,1.70667,13,169,16
1,3,4.87101,2.46453,2.40647,1.02413,7.00374,-0.00000,0.61408,0,0.05284,2.00000,13,169,16
1,4,10.27900,4.44322,5.83578,0.76138,7.05196,-0.00000,0.61378,1,0.05091,2.08130,13,169,16
1,5,3.94241,2.16964,1.77277,1.22387,7.19835,-0.00000,0.56933,0,0.06278,1.77778,13,169,16
1,6,14.06871,6.79042,7.27829,0.93297,5.79204,-0.00000,0.82879,1,0.00566,6.91892,13,169,16
1,7,4.71129,2.79119,1.92010,1.45367,6.92435,-0.00000,0.64195,0,0.04329,2.20690,13,169,16
1,8,2.63134,1.77104,0.86031,2.05861,7.27117,-0.00000,0.54615,0,0.05644,1.70667,13,169,16
1,9,3.77931,2.36253,1.41678,1.66754,6.89168,-0.00000,0.64431,0,0.04308,2.22609,13,169,16
1,10,5.63641,2.85961,2.77680,1.02982,7.00264,-0.00000,0.61904,0,0.03841,2.06452,13,169,16
1,11,5.94253,2.97055,2.97199,0.99952,7.14661,-0.00000,0.58578,1,0.06321,1.89630,13,169,16
2,0,18.93874,6.52051,12.41823,0.52508,6.98906,-0.00000,0.62993,1,0.04403,2.22609,13,169,16
