layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.43528,2.55996,1.87532,1.9625,7.2477,0.0000,0.5483,0.05881,0.2764
1,12,5.99792,3.05921,2.93871,1.2583,6.9794,0.0000,0.6168,0.04823,0.4714
2,12,7.62533,3.44612,4.17921,1.0461,7.0035,0.0000,0.6160,0.05137,0.4714
3,12,5.52791,2.79666,2.73125,1.1940,7.1262,0.0000,0.5847,0.05166,0.4330
4,12,6.93488,3.55640,3.37847,1.0994,6.8945,0.0000,0.6374,0.03966,0.4714
5,12,8.73060,4.47746,4.25314,1.0864,6.6442,0.0000,0.6921,0.03065,0.4714
6,12,8.71750,4.21549,4.50201,0.9627,6.7604,0.0000,0.6745,0.03527,0.4714
7,12,9.07489,4.69204,4.38285,1.1595,6.6422,0.0000,0.6916,0.03000,0.4930
8,12,8.39004,4.49511,3.89493,1.2794,6.5892,0.0000,0.6975,0.02984,0.4714
9,12,7.52800,4.14072,3.38728,1.3568,6.6361,0.0000,0.6869,0.03098,0.0000
10,12,11.74825,6.65232,5.09592,1.5393,6.7864,0.0000,0.6687,0.04688,0.2764
11,12,8.99507,6.77671,2.21836,3.1732,6.6100,0.0000,0.7049,0.02786,0.0000
