layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.269,1.0000,0.00004,0.00854,0.9487
0,0,0.20,43.117,0.9998,0.00030,0.02182,0.9304
0,0,0.30,37.830,0.9993,0.00095,0.04010,0.8791
0,0,0.40,33.545,0.9982,0.00258,0.06568,0.7949
0,0,0.50,29.818,0.9958,0.00577,0.10088,0.8022
0,1,0.10,49.432,0.9999,0.00066,0.01893,0.9744
0,1,0.20,40.287,0.9993,nan,0.05426,0.9487
0,1,0.30,35.567,0.9980,nan,0.09342,0.9231
0,1,0.40,32.127,0.9957,nan,0.13883,0.8791
0,1,0.50,28.707,0.9905,nan,0.20581,0.8718
0,2,0.10,70.139,1.0000,0.00025,0.00347,0.9744
0,2,0.20,61.512,1.0000,0.00152,0.00936,0.9487
0,2,0.30,54.707,1.0000,nan,0.02050,0.9487
0,2,0.40,49.308,0.9999,0.00812,0.03816,0.8974
0,2,0.50,45.316,0.9997,nan,0.06043,0.8462
0,3,0.10,68.460,1.0000,0.00018,0.00357,1.0000
0,3,0.20,60.179,1.0000,0.00083,0.00925,1.0000
0,3,0.30,56.415,1.0000,0.00139,0.01427,1.0000
0,3,0.40,49.846,0.9999,0.00425,0.03040,0.9487
0,3,0.50,44.885,0.9997,0.01013,0.05381,0.8974
0,4,0.10,61.518,1.0000,0.00008,0.00904,1.0000
0,4,0.20,51.655,0.9998,0.00067,0.02815,0.9744
0,4,0.30,46.386,0.9994,0.00171,0.05164,0.8974
0,4,0.40,42.170,0.9983,nan,0.08390,0.8022
0,4,0.50,38.457,0.9961,nan,0.12865,0.7582
0,5,0.10,60.456,1.0000,0.00021,0.01089,1.0000
0,5,0.20,50.280,0.9998,0.00167,0.03513,0.9487
0,5,0.30,45.264,0.9993,0.00525,0.06259,0.9304
0,5,0.40,40.472,0.9980,nan,0.10866,0.8791
0,5,0.50,35.983,0.9942,nan,0.18218,0.7701
0,6,0.10,55.679,0.9999,0.00025,0.01409,0.9487
0,6,0.20,48.898,0.9997,nan,0.03077,0.9487
0,6,0.30,42.705,0.9989,nan,0.06276,0.9744
0,6,0.40,39.070,0.9976,0.00932,0.09538,0.8205
0,6,0.50,35.468,0.9944,0.01502,0.14439,0.8022
0,7,0.10,58.372,1.0000,nan,0.00898,0.9744
0,7,0.20,46.511,0.9997,nan,0.03517,0.9487
0,7,0.30,40.680,0.9990,0.00824,0.06883,0.9744
0,7,0.40,35.793,0.9970,nan,0.12081,0.8974
