layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.43528,3.86796,0.56732,20.3928,6.9474,1.3201,0.6047,0.05215,1.8856
1,12,5.99792,5.21848,0.77944,8.3003,6.6186,1.4556,0.6776,0.04064,1.7321
2,12,7.62533,6.71260,0.91273,7.4736,6.6372,1.4353,0.6831,0.03994,0.0000
3,12,5.52790,4.93492,0.59299,10.3711,6.8290,1.3640,0.6468,0.04215,1.1055
4,12,6.93488,5.91409,1.02078,8.0387,6.5351,1.4876,0.7033,0.03466,0.0000
5,12,8.73060,7.29455,1.43605,5.3613,6.1619,1.5810,0.7669,0.02109,0.0000
6,12,8.71750,7.44099,1.27651,6.1902,6.2866,1.5144,0.7592,0.01938,0.0000
7,12,9.07489,7.48587,1.58901,6.8522,6.1585,1.5502,0.7659,0.02107,0.0000
8,12,8.39004,6.92611,1.46393,5.4610,6.0918,1.5990,0.7655,0.02561,0.0000
9,12,7.52800,6.18418,1.34382,5.3673,6.1374,1.6041,0.7570,0.02610,1.1055
10,12,11.74825,7.83913,3.90911,2.4426,6.2877,1.5215,0.7492,0.02423,1.1055
11,12,8.99507,5.13910,3.85596,1.4978,6.0478,1.7479,0.7823,0.01867,1.1055
