layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.930,1.0000,0.00003,0.00791,0.9744
0,0,0.20,46.371,0.9999,0.00012,0.01500,0.9487
0,0,0.30,38.913,0.9995,0.00069,0.03540,0.9231
0,0,0.40,34.974,0.9987,0.00183,0.05572,0.8974
0,0,0.50,32.746,0.9978,0.00285,0.07201,0.9231
0,1,0.10,47.846,0.9999,0.00115,0.02272,1.0000
0,1,0.20,39.884,0.9993,nan,0.05683,0.9744
0,1,0.30,35.293,0.9979,nan,0.09642,0.9487
0,1,0.40,30.528,0.9937,nan,0.16688,0.8974
0,1,0.50,27.497,0.9874,nan,0.23657,0.7766
0,2,0.10,60.630,1.0000,nan,0.01037,1.0000
0,2,0.20,50.530,0.9999,nan,0.03316,0.9487
0,2,0.30,45.139,0.9996,nan,0.06167,0.8974
0,2,0.40,40.466,0.9990,nan,0.10562,0.8095
0,2,0.50,35.559,0.9968,nan,0.18582,0.7216
0,3,0.10,60.365,1.0000,nan,0.00906,1.0000
0,3,0.20,52.568,0.9999,nan,0.02222,0.9744
0,3,0.30,47.588,0.9998,nan,0.03942,0.9744
0,3,0.40,42.827,0.9995,nan,0.06820,0.9487
0,3,0.50,38.479,0.9986,nan,0.11252,0.9231
0,4,0.10,57.656,1.0000,0.00023,0.01411,0.9487
0,4,0.20,48.888,0.9996,0.00134,0.03871,0.9487
0,4,0.30,44.348,0.9990,0.00511,0.06529,0.8718
0,4,0.40,40.181,0.9974,nan,0.10550,0.7509
0,4,0.50,36.690,0.9941,nan,0.15768,0.6868
0,5,0.10,58.479,1.0000,0.00028,0.01367,0.9744
0,5,0.20,50.829,0.9998,0.00131,0.03298,0.9744
0,5,0.30,44.120,0.9991,nan,0.07139,0.8791
0,5,0.40,39.973,0.9977,nan,0.11508,0.8278
0,5,0.50,36.284,0.9946,nan,0.17599,0.7582
0,6,0.10,56.284,1.0000,0.00043,0.01314,0.9744
0,6,0.20,49.337,0.9998,nan,0.02925,0.9487
0,6,0.30,44.449,0.9993,nan,0.05134,0.9487
0,6,0.40,40.810,0.9984,nan,0.07807,0.8718
0,6,0.50,37.846,0.9968,nan,0.10981,0.8462
0,7,0.10,53.482,0.9999,0.00172,0.01576,1.0000
0,7,0.20,45.053,0.9996,nan,0.04160,0.9744
0,7,0.30,38.285,0.9983,nan,0.09068,0.9487
0,7,0.40,35.176,0.9966,nan,0.12970,0.8718
0,7,0.50,31.853,0.9926,nan,0.19016,0.7949
0,8,0.10,56.760,1.0000,0.00035,0.01138,1.0000
0,8,0.20,47.834,0.9998,nan,0.03180,0.9487
0,8,0.30,41.600,0.9990,nan,0.06518,0.8974
0,8,0.40,38.371,0.9978,nan,0.09454,0.8718
0,8,0.50,35.353,0.9957,nan,0.13380,0.8278
0,9,0.10,54.158,1.0000,0.00019,0.01473,0.9487
0,9,0.20,45.471,0.9997,0.00147,0.04004,0.8974
0,9,0.30,39.385,0.9987,0.00683,0.08068,0.8462
0,9,0.40,35.092,0.9965,0.01781,0.13226,0.8022
0,9,0.50,31.907,0.9927,nan,0.19082,0.6374
0,10,0.10,66.828,1.0000,nan,0.00556,1.0000
0,10,0.20,55.265,1.0000,nan,0.02103,0.9560
0,10,0.30,48.622,0.9998,nan,0.04520,0.9231
0,10,0.40,42.531,0.9994,nan,0.09112,0.8022
0,10,0.50,37.686,0.9981,nan,0.15918,0.7070
0,11,0.10,63.155,1.0000,nan,0.00687,1.0000
0,11,0.20,52.086,0.9999,nan,0.02456,0.9744
0,11,0.30,46.083,0.9996,nan,0.04904,0.8974
0,11,0.40,42.078,0.9989,nan,0.07775,0.8462
0,11,0.50,38.583,0.9976,nan,0.11628,0.7436
1,0,0.10,60.585,1.0000,0.00013,0.00970,1.0000
1,0,0.20,51.346,0.9999,0.00144,0.02810,0.9231
1,0,0.30,45.790,0.9995,0.00591,0.05326,0.9231
1,0,0.40,43.312,0.9991,0.00921,0.07084,0.8974
1,0,0.50,38.980,0.9975,nan,0.11666,0.8974
1,1,0.10,63.098,1.0000,nan,0.00830,0.9231
