layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.89452,1.63915,0.25537,6.41886,7.21606,-0.00000,0.56315,0,0.03417,1.81560,13,169,16
0,1,5.04676,2.88045,2.16631,1.32966,7.37871,-0.00000,0.49902,0,0.10883,1.46286,13,169,16
0,2,7.18475,4.94191,2.24284,2.20342,6.80469,-0.00000,0.66808,0,0.03522,2.56000,13,169,16
0,3,6.35624,4.35724,1.99900,2.17971,6.88562,-0.00000,0.64999,0,0.03269,2.28571,13,169,16
0,4,2.68709,1.88179,0.80530,2.33677,7.32535,-0.00000,0.52134,0,0.04823,1.65161,13,169,16
0,5,4.38220,2.44431,1.93789,1.26132,7.29095,-0.00000,0.52862,0,0.05826,1.64103,13,169,16
0,6,2.23394,1.64301,0.59093,2.78039,7.41586,-0.00000,0.49381,0,0.06216,1.50588,13,169,16
0,7,3.97611,2.36572,1.61039,1.46903,7.46334,-0.00000,0.46442,0,0.10871,1.43820,13,169,16
0,8,2.55547,2.02438,0.53109,3.81178,7.29944,-0.00000,0.53552,0,0.05897,1.64103,13,169,16
0,9,3.72603,2.17158,1.55446,1.39700,7.37134,-0.00000,0.50273,0,0.07114,1.55152,13,169,16
0,10,9.94373,5.44692,4.49682,1.21128,6.94854,-0.00000,0.64036,0,0.04494,2.28571,13,169,16
0,11,5.78539,3.44168,2.34371,1.46848,7.10613,-0.00000,0.58781,0,0.06263,1.86861,13,169,16
1,0,3.13770,2.29211,0.84559,2.71067,7.23778,-0.00000,0.55309,0,0.04631,1.72973,13,169,16
1,1,8.25350,4.39499,3.85850,1.13904,6.94557,-0.00000,0.64015,0,0.04495,2.20690,13,169,16
1,2,5.33641,3.62740,1.70901,2.12251,6.94625,-0.00000,0.62144,0,0.05737,2.04800,13,169,16
1,3,5.75571,4.20994,1.54578,2.72350,6.86050,-0.00000,0.64162,0,0.04842,2.22609,13,169,16
1,4,10.01372,4.54385,5.46986,0.83071,7.05931,-0.00000,0.61144,1,0.06435,2.15126,13,169,16
1,5,4.43764,2.92135,1.51629,1.92664,7.22012,-0.00000,0.55457,0,0.06854,1.69536,13,169,16
1,6,14.12211,9.31129,4.81082,1.93549,5.96388,-0.00000,0.80698,0,0.00677,4.65455,13,169,16
1,7,4.25533,3.22064,1.03468,3.11268,6.98262,-0.00000,0.61209,0,0.04319,2.03175,13,169,16
1,8,2.54607,1.96364,0.58242,3.37151,7.33308,-0.00000,0.51865,0,0.06548,1.54217,13,169,16
1,9,3.97034,3.12744,0.84290,3.71033,6.83543,-0.00000,0.64642,0,0.04427,2.26549,13,169,16
1,10,5.75003,3.81240,1.93764,1.96755,6.90387,-0.00000,0.63587,0,0.04011,2.18803,13,169,16
1,11,4.07810,2.35747,1.72064,1.37011,7.28084,-0.00000,0.53632,0,0.07584,1.60000,13,169,16
2,0,18.89917,7.43336,11.46580,0.64831,7.12010,-0.00000,0.59258,1,0.07086,2.03175,13,169,16
2,1,6.86316,4.14944,2.71371,1.52906,6.86396,-0.00000,0.65263,0,0.04344,2.30631,13,169,16
2,2,8.16489,5.69788,2.46701,2.30963,6.34218,-0.00000,0.73891,0,0.03243,3.76471,13,169,16
2,3,4.03827,3.00326,1.03500,2.90170,6.99793,-0.00000,0.60965,0,0.05581,2.00000,13,169,16
2,4,4.94337,3.35841,1.58496,2.11892,7.10534,-0.00000,0.57858,0,0.07641,1.75342,13,169,16
