layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,0,0.9095,7.1201,18.89917,0.5926,2.0317,1
2,9,0.9095,7.1237,18.58542,0.5916,2.0157,1
7,3,0.8288,5.8428,11.45840,0.8178,6.0952,1
8,6,0.8288,5.9495,11.54005,0.8008,5.6889,1
11,3,0.8191,6.1385,9.55338,0.7806,5.2245,4
11,10,0.8191,6.1995,9.98576,0.7767,4.7407,5
10,5,0.8163,6.2267,16.74780,0.7746,5.1200,1
10,9,0.8163,6.4027,16.73608,0.7505,3.9385,1
11,5,0.8108,6.0851,10.78935,0.7913,5.3333,2
11,4,0.8101,6.2555,8.91716,0.7593,4.8302,3
9,6,0.8092,6.2017,9.18867,0.7642,4.1290,3
11,7,0.8076,5.9274,11.90986,0.8104,6.2439,2
11,11,0.8012,5.9470,12.36706,0.8117,5.9535,1
11,1,0.8009,6.0541,10.22821,0.7958,5.3333,2
5,6,0.7969,6.4125,9.89723,0.7321,3.3247,1
6,3,0.7969,6.6175,10.25394,0.7064,2.9091,1
5,0,0.7952,6.7522,7.47506,0.6796,2.6122,2
6,6,0.7952,6.7008,7.92040,0.6873,2.7527,2
5,3,0.7856,7.0166,6.52247,0.6158,2.0645,1
6,2,0.7856,6.9778,7.10519,0.6286,2.1880,1
5,11,0.7823,6.6185,9.87099,0.7046,2.9767,1
7,8,0.7823,6.7910,8.77969,0.6733,2.6947,1
1,4,0.7800,7.0593,10.01372,0.6114,2.1513,1
3,5,0.7800,7.0558,10.16784,0.6113,2.0984,1
9,0,0.7742,6.7337,8.65896,0.6832,2.6122,1
9,7,0.7742,6.8802,7.96437,0.6398,2.1880,1
5,8,0.7669,6.8696,6.78558,0.6475,2.3273,1
10,4,0.7626,6.9589,10.11085,0.6337,2.2857,1
10,6,0.7626,7.0158,10.57027,0.6197,2.1695,1
1,5,0.7518,7.2201,4.43764,0.5546,1.6954,1
3,7,0.7518,7.1269,4.19465,0.5781,1.7778,1
6,8,0.7424,6.7705,6.60838,0.6774,2.6667,1
