layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,55.542,1.0000,0.00003,0.00706,1.0000
0,0,0.20,47.268,0.9999,0.00023,0.01831,1.0000
0,0,0.30,41.117,0.9995,0.00081,0.03717,0.9487
0,0,0.40,36.472,0.9985,0.00255,0.06345,0.8974
0,0,0.50,32.671,0.9964,0.00654,0.09828,0.7509
0,1,0.10,59.736,1.0000,0.00035,0.01080,1.0000
0,1,0.20,47.105,0.9997,nan,0.04624,0.8791
0,1,0.30,41.841,0.9989,nan,0.08477,0.8352
0,1,0.40,38.525,0.9976,nan,0.12417,0.7958
0,1,0.50,35.104,0.9948,nan,0.18411,0.6960
0,2,0.10,60.553,1.0000,0.00061,0.00925,0.9487
0,2,0.20,52.045,0.9999,nan,0.02463,0.9231
0,2,0.30,45.517,0.9997,nan,0.05223,0.8974
0,2,0.40,41.592,0.9993,nan,0.08206,0.7985
0,2,0.50,38.633,0.9987,nan,0.11537,0.7839
0,3,0.10,64.987,1.0000,nan,0.00575,1.0000
0,3,0.20,55.740,1.0000,nan,0.01668,0.9744
0,3,0.30,50.025,0.9999,nan,0.03220,0.9231
0,3,0.40,44.296,0.9996,nan,0.06228,0.9231
0,3,0.50,39.737,0.9988,nan,0.10526,0.8205
0,4,0.10,57.676,1.0000,0.00017,0.01386,1.0000
0,4,0.20,49.120,0.9997,0.00140,0.03711,0.9487
0,4,0.30,44.003,0.9989,nan,0.06689,0.9231
0,4,0.40,40.746,0.9978,0.00764,0.09733,0.8095
0,4,0.50,37.873,0.9957,nan,0.13547,0.7509
0,5,0.10,55.985,0.9999,0.00043,0.01806,0.9744
0,5,0.20,47.452,0.9995,0.00218,0.04823,0.9744
0,5,0.30,42.604,0.9986,0.00761,0.08429,0.8718
0,5,0.40,38.808,0.9966,nan,0.13049,0.7692
0,5,0.50,35.299,0.9923,nan,0.19544,0.7115
0,6,0.10,51.989,1.0000,0.00014,0.01216,0.9231
0,6,0.20,42.308,0.9996,nan,0.03708,0.9231
0,6,0.30,37.911,0.9988,nan,0.06151,0.8718
0,6,0.40,33.822,0.9969,nan,0.09849,0.8462
0,6,0.50,30.965,0.9940,nan,0.13685,0.7949
0,7,0.10,49.478,0.9998,0.00222,0.03040,0.8974
0,7,0.20,42.953,0.9993,nan,0.06444,0.9744
0,7,0.30,37.418,0.9973,nan,0.12187,0.8718
0,7,0.40,34.875,0.9952,nan,0.16333,0.8462
0,7,0.50,30.909,0.9879,nan,0.25782,0.8278
0,8,0.10,57.808,1.0000,0.00007,0.00752,1.0000
0,8,0.20,47.390,0.9998,nan,0.02495,0.9744
0,8,0.30,40.954,0.9992,nan,0.05235,0.9487
0,8,0.40,35.596,0.9974,nan,0.09702,0.8462
0,8,0.50,32.221,0.9942,nan,0.14308,0.7949
0,9,0.10,57.883,1.0000,0.00010,0.00925,0.9744
0,9,0.20,47.791,0.9998,0.00101,0.02956,0.9231
0,9,0.30,41.378,0.9993,0.00517,0.06186,0.8718
0,9,0.40,36.788,0.9979,nan,0.10492,0.8535
0,9,0.50,32.429,0.9942,nan,0.17331,0.6886
0,10,0.10,64.871,1.0000,nan,0.00693,0.9744
0,10,0.20,56.767,1.0000,nan,0.01762,0.9744
0,10,0.30,50.715,0.9999,nan,0.03536,0.8791
0,10,0.40,42.765,0.9994,nan,0.08830,0.7189
0,10,0.50,36.847,0.9976,nan,0.17453,0.6374
0,11,0.10,58.387,1.0000,nan,0.01307,0.9744
0,11,0.20,49.800,0.9998,nan,0.03513,0.9744
0,11,0.30,43.236,0.9993,nan,0.07480,0.9231
0,11,0.40,39.492,0.9983,nan,0.11510,0.8205
0,11,0.50,36.052,0.9963,nan,0.17103,0.6374
1,0,0.10,55.337,1.0000,0.00020,0.01194,0.9487
1,0,0.20,46.132,0.9997,0.00131,0.03447,0.9487
1,0,0.30,40.979,0.9991,0.00486,0.06238,0.8718
1,0,0.40,36.876,0.9978,nan,0.10006,0.8462
1,0,0.50,33.201,0.9948,nan,0.15276,0.8022
1,1,0.10,63.909,1.0000,nan,0.00766,1.0000
1,1,0.20,55.098,1.0000,nan,0.02113,0.9744
1,1,0.30,49.389,0.9999,nan,0.04077,0.8791
1,1,0.40,45.234,0.9997,nan,0.06578,0.7143
1,1,0.50,39.526,0.9987,nan,0.12692,0.7262
1,2,0.10,63.734,1.0000,0.00016,0.00695,1.0000
1,2,0.20,53.421,0.9999,nan,0.02279,0.9744
1,2,0.30,47.916,0.9998,nan,0.04296,0.9231
1,2,0.40,43.328,0.9994,nan,0.07285,0.8974
1,2,0.50,39.609,0.9986,nan,0.11179,0.8278
1,3,0.10,61.828,1.0000,0.00016,0.00747,1.0000
1,3,0.20,53.672,1.0000,0.00196,0.01911,0.9744
1,3,0.30,48.810,0.9999,nan,0.03344,0.8974
1,3,0.40,43.967,0.9996,nan,0.05841,0.9231
1,3,0.50,39.953,0.9990,nan,0.09272,0.8205
1,4,0.10,67.532,1.0000,nan,0.00543,0.9744
1,4,0.20,56.143,1.0000,nan,0.02016,0.8910
1,4,0.30,47.624,0.9998,nan,0.05375,0.8471
1,4,0.40,42.073,0.9993,nan,0.10183,0.7308
1,4,0.50,38.008,0.9982,nan,0.16261,0.6459
1,5,0.10,56.690,1.0000,0.00058,0.01519,0.9744
1,5,0.20,47.965,0.9998,nan,0.04147,0.8974
1,5,0.30,43.475,0.9993,nan,0.06955,0.8462
1,5,0.40,39.369,0.9983,nan,0.11157,0.7582
1,5,0.50,36.053,0.9963,nan,0.16344,0.8022
1,6,0.10,80.962,1.0000,nan,0.00116,0.9744
1,6,0.20,69.362,1.0000,nan,0.00441,0.8791
1,6,0.30,63.950,1.0000,nan,0.00823,0.7778
1,6,0.40,57.877,1.0000,nan,0.01656,0.7143
1,6,0.50,52.754,1.0000,nan,0.02986,0.5806
1,7,0.10,62.565,1.0000,0.00017,0.00867,1.0000
1,7,0.20,53.849,0.9999,nan,0.02364,1.0000
1,7,0.30,48.112,0.9997,nan,0.04577,0.9231
1,7,0.40,44.527,0.9993,nan,0.06915,0.8718
1,7,0.50,41.423,0.9986,nan,0.09886,0.7949
1,8,0.10,59.116,1.0000,0.00008,0.00708,1.0000
1,8,0.20,45.451,0.9997,0.00124,0.03414,0.9487
1,8,0.30,41.751,0.9993,0.00286,0.05227,0.8974
