layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.64769,2.62402,2.02367,1.7227,7.2496,0.0000,0.5453,0.06377,0.4330
1,12,5.97139,3.06797,2.90341,1.2851,6.9779,0.0000,0.6136,0.04795,0.4330
2,12,7.64074,3.42605,4.21469,1.0361,7.0022,0.0000,0.6150,0.05288,0.4930
3,12,5.42463,2.83723,2.58740,1.3227,7.1278,0.0000,0.5865,0.05795,0.4714
4,12,7.38475,3.69099,3.69377,1.0344,6.9250,0.0000,0.6323,0.04556,0.5000
5,12,8.59970,4.36622,4.23348,1.0720,6.7139,0.0000,0.6792,0.03380,0.4930
6,12,8.41059,4.09524,4.31535,0.9949,6.8506,0.0000,0.6560,0.04211,0.4930
7,12,9.27364,4.78502,4.48862,1.0940,6.6738,0.0000,0.6835,0.03704,0.4330
8,12,7.57606,4.01332,3.56275,1.2513,6.8153,0.0000,0.6538,0.04141,0.4714
9,12,6.76561,3.55961,3.20600,1.1792,6.8039,0.0000,0.6549,0.04019,0.4714
10,12,10.80596,6.47072,4.33524,1.7821,6.7594,0.0000,0.6736,0.03863,0.0000
11,12,8.89493,7.05767,1.83726,4.0026,6.4997,0.0000,0.7247,0.02002,0.0000
